Row,init_loss,z_i,kap_i,v_i,p_M_i,E_Hb_i,E_Hp_i,final_loss,z_f,kap_f,v_f,p_M_f,E_Hb_f,E_Hp_f,convergence,n_runs,n_iter,execution_time,error,error_message
Sepiella_inermis,0.422620784916398,0.459774600376524,0.746539882955133,0.0277411164427826,796.203900013315,51.5531790496806,17601.3325358055,0.422568092047557,0.459750785972837,0.746687796311528,0.0277351299840374,796.32411139882,51.5595717346259,17598.3324211091,1,1,449,49.3145426,0,""
Peucaea_botterii,0.109256995170826,0.909771066282576,0.965543178425086,0.0242981207814307,4466.18663361155,63.5343471781661,511.215271325122,0.108608659612984,0.873689855658782,0.96579711706447,0.0233162294884545,5069.36372522195,56.5388146921241,449.971497896871,0,4,2000,136.4051793,0,""
Molothrus_bonariensis,0.14240860094822,1.98253966215025,0.828091376914313,0.0534464162943843,690.886797842854,2179.89018454405,30682.2376893925,0.142347579445189,1.9789882542167,0.827881888576445,0.0531488466444107,693.326526572768,2162.31989049008,30541.1835497987,0,1,500,57.3879779,0,""
Xiphophorus_maculatus,0.34867434938062,0.964847504882307,0.578890450311812,0.0226520471958011,287.8024,12.0401679026223,1646.30047975784,0.348674349380579,0.964847481219305,0.578890423977453,0.0226520458906169,287.8024,12.0401670352537,1646.30036321244,1,1,356,17.1959755,0,""
Cnidoglanis_macrocephalus,0.0476728244188035,8.94482582982567,0.500467030944885,0.0240989728324883,30.3225853688801,162.263735802457,599751.616484142,0.0187554094160176,7.35965566214279,0.475890186429055,0.0255834590337303,21.7430705069709,273.985028908064,1054952.62128309,0,5,2500,110.6147654,0,""
Pterodroma_macroptera,0.106162328219805,3.39357626580435,0.710344037181006,0.0191761919889266,422.617243112449,24318.5535302499,371023.167068407,0.105866138473384,3.41514055426236,0.713860212870744,0.0193481782131304,419.389224224017,24291.5314555072,372957.512344412,0,3,1500,111.498346,0,""
Sufflogobius_bibarbatus,0.0488588658402888,3.07880706779903,0.909040406677079,0.0202830774989814,22.4131953531362,0.0139062757538932,837.321112123073,0.0488588655196641,3.07882355644111,0.909041359122054,0.0202830305264604,22.4128227202878,0.0139060158799944,837.307424141787,0,1,500,26.9567959,0,""
Stercorarius_parasiticus,0.117599992316206,3.69434866599599,0.967421963500791,0.0380959656455119,541.965159536335,2021.31390127653,31256.0005066976,0.116782516446857,3.61738523743278,0.967676454199943,0.0372274700555814,586.453492000795,1900.44950030883,29065.6752470247,0,5,2500,193.9440487,0,""
Mustelus_punctulatus,0.228096256975204,22.3174437626481,0.864834550318287,0.0318792040622453,20.6526138151895,33547.7295952257,1986704.17142929,0.228096141557751,22.3140819558557,0.864847024966368,0.0318650402649219,20.6577124223767,33525.1046085398,1986163.39044315,1,1,358,85.2656334,0,""
Basileuterus_tristriatus,0.12073449586725,1.24801393070063,0.979470057835076,0.0269618421027707,682.164207986218,76.2379270875708,656.695973003243,0.12067350751799,1.24222055589886,0.9791665699081,0.02700429036892,697.475520693837,76.7395461432715,663.5532419286,0,1,500,36.4702048,0,""
Brycon_melanopterus,0.207168490435001,2.54250851728039,0.509161161008834,0.0235132643983025,219.681666790418,1.93837327716354,124812.382627969,0.199564031239568,2.54944761200624,0.509632329897415,0.0235864818679245,217.898537988856,1.94786916298748,145035.11479109,0,2,1000,76.0796375,0,""
Sardinella_fimbriata,0.0332305462493148,2.87134326920686,0.863195840579739,0.0200646598334131,36.9122909805876,0.105831449582306,9337.69827674086,0.00760152595770177,2.2664345446312,0.7688702082148,0.020512751110443,19.7387792739299,0.312756458204321,19157.7398712351,0,8,4000,145.2421054,0,""
