species,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hj,E_Hx,E_Hp,k_J,kap_R,kap_X,kap_P,family,order,class,phylum,climate,ecozone,habitat,embryo,migrate,food,gender,reprod,ab,ah,aj,ax,ap,am,tg,tb,tj,tx,tp,Wwb,Wwj,Wwx,Wwp,Wwi,Lb,Lj,Lx,Lp,Li,Ri,Ni,GSI,NR,estim_z,estim_kap,estim_v,estim_p_M,estim_k_J,estim_E_Hb,estim_E_Hj,estim_E_Hp,d_V,T_typical,f,t_0,model,completeness,s_M,estim_s_M,metamorphosis,weaning,foetus,genus
Abatus_cordatus,41.9184491584311,0.77712,0.02722,13.8449,2393.8237,5.047e-06,0.4876,6.941,,1403.0,0.002,0.95,0.8,0.1,Schizasteridae,Spatangoida,Echinoidea,Echinodermata,ME,MIS,0iMb,Mbf,,biP bjD,D,O,,,,,5749.57610896325,11467.7337692436,,,743.569952161003,,,,0.0103,,2.9,233.65248560686786,,0.276,,1.9,8.0,,,0.07,,True,True,True,True,False,True,True,True,0.09,278.15,1.0,,abj,2.5,2.408003771143018,True,True,False,False,Abatus
Abbottina_rivularis,53.6175320846939,0.971489133026326,0.0220913131194359,21.5179088147305,5226.31388443581,2.6488049004066e-07,0.0527192393290196,0.192016514869265,,128.863864771242,0.002,0.95,0.8,0.1,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,Cfa,THp,0iFr 0iFc,Fs,Mp,biCi,D,O,18.0927665433463,,,,,1761.02927688571,,,,,,0.00052,,,0.87,79.0,0.3657908012019477,,,4.5,18.9,7.77272710889087,,,,True,True,True,True,False,True,True,True,0.2,291.15,1.0,153.832270723871,abj,2.5,1.5339678156048435,True,True,False,False,Abbottina
Ablennes_hians,231.831215254105,0.996901987317395,0.0223239992519656,21.2677761305934,5227.56915304464,1.4760229862396102e-09,0.0026045037564789,0.0225746976939212,,955.472281361649,0.002,0.95,0.8,0.1,Belonidae,Beloniformes,Actinopterygii,Chordata,MB,MC,biMcp,Ms,Mo,biCvf,D,O,1.95456924560254,,,,,2675.31665491847,,,,,,0.00052,,,144.0,4200.0,0.7118815962613262,,,47.4,140.0,179.418013608796,,,,True,True,True,True,False,True,True,True,0.2,301.05,1.0,,abj,2.8,2.0524456553888273,True,True,False,False,Ablennes
Abra_segmentum,8.26667378817204,0.93,0.020926,25.2041,2349.9631,7.505e-07,0.0006014,0.01146,,10.94,0.002,0.95,0.8,0.1,Semelidae,Cardiida,Bivalvia,Mollusca,MC,MAE MAm,0jMp jiMb jiMi,Mp,,bjPp jiD,D,O,,,,,,853.371348225839,,,,,,4e-06,,,,,,,,0.9,1.9,48.9597195929658,,,,True,False,True,True,False,True,True,True,0.09,288.15,1.0,,abj,2.1,2.641807462137571,True,True,False,False,Abra
Abralia_trigonura,109.48428387965,0.98081,0.0095145,1009.8108,5492.358,1.526e-10,0.001511,2.628,,14.09,0.002,0.95,0.8,0.1,Enoploteuthidae,Oegopsida,Cephalopoda,Mollusca,MA,MP,0jMp jiMd,Mp,,bjPz jiCi,D,Os,,,,,,246.956482699288,,,,,,,,,,,0.08,,,1.4,4.0,,11000.0,,,True,True,True,True,False,True,True,True,0.21,291.15,1.0,,abj,2.3,11.189710949309488,True,True,False,False,Abralia
Abraliopsis_morisii,144.888157453174,0.61504,0.020611,17.8381,5492.4179,2.598e-05,0.954,8.97,,1127.0,0.002,0.95,0.8,0.1,Enoploteuthidae,Oegopsida,Cephalopoda,Mollusca,MA MB,MAE MAm,0iMp,Mp,,bjPz jiCi jiCvf,D,Os,,,,,,273.41954664043,,,,,,0.00068,,,,,,,,2.2,7.0,,10000.0,,,True,True,True,True,False,True,True,True,0.21,294.15,1.0,,abj,2.5,2.1079064949495,True,True,False,False,Abraliopsis
Abramis_brama,469.51008871911,0.62164324787015,0.0145337927904851,28.0275641923116,5208.2421106767,3.27200040924679e-08,0.549493002607385,0.549493004056424,,242260.145127358,0.0015625796067016,0.95,0.8,0.1,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,Cfb Dfb,THp,0iFr 0iFl,Fs Fh,Mp,biCi biHl,D,O,15.6803976709001,,,,1336.45235533518,6603.85978832139,,,,,1320.77195766428,0.0028,,,319.0,6050.0,0.5569417786673704,,,27.0,72.0,2271.39892135911,,,,True,True,True,True,True,True,True,True,0.2,291.15,1.0,,abj,2.5,1.000000000873883,True,True,False,False,Abramis
Abroscopus_superciliaris,852.227337959589,0.947561879536933,0.0316662545358543,742.535587026053,7313.4844398213,4.19841221261421e-12,103.106259408849,,695.611468218637,1507.58483095253,0.0302122763508428,0.95,0.8,0.1,Cisticolidae,Passeriformes,Aves,Chordata,A,TPi,0iThf 0iTa 0iTd,Tnpfm,,biCi,Dg,O,2.24559490204167,,,3.94822358034308,7.35348093694591,443.899619700011,,,,1.70262867830141,5.10788603490424,0.78,,,6.175,6.5,,,,,,0.0720883699373874,,,,True,True,True,True,True,True,False,True,0.28,314.75,1.0,,std,2.5,1.0,True,False,False,False,Abroscopus
Abudefduf_vaigiensis,717.167834909036,0.53098,0.0019181,636.6858,5233.1119,4.694e-08,0.2181,3.407,,44590.0,0.002,0.95,0.8,0.1,Pomacentridae,OvalentariaIncSed,Actinopterygii,Chordata,MC,MI MPW,0iMr,Mnm,,biCi,D,O,9.99358410844093,,,,,694.792038015417,,,,,,0.0017,,,50.5,242.0,0.3942221523985959,,,12.6,20.0,,,,,True,True,True,True,False,True,True,True,0.2,301.35,1.0,,abj,2.5,2.357980030367724,True,True,False,False,Abudefduf
Acantharchus_pomotis,350.050387104542,0.99663,0.0094914,137.5402,5217.7681,8.24e-08,0.0003328,0.0003329,,181.5,0.002,0.95,0.8,0.1,Centrarchidae,Centrarchiformes,Actinopterygii,Chordata,Cfa Dfa,THn,0iFl 0iFr 0iFp,Fnm,,biCi,D,O,,,,,,1995.96269047514,,,,,,0.00018,,,18.9,137.0,0.23156314489536278,,,11.0,21.0,11.4591320314486,,,,True,True,True,True,False,True,True,True,0.2,294.15,1.0,,abj,2.6,1.0000980322254733,True,True,False,False,Acantharchus
