species,ab,ap,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,weaning,foetus,p_Am,kap,v,p_M,h_a,E_Hb,E_Hp,Wwj,E_Hj,Wwx,E_Hx,class_other,class_Actinopterygii,class_Aves,class_Mammalia,class_Reptilia,class_Amphibia,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C
Erpetoichthys_calabaricus,1.099117e+01,1.266877e+03,4.222924e+03,2.000000e-01,1.192427e-03,3.670000e+01,6.040000e+01,5.683265e+00,2.991500e+02,False,False,False,5.482991e+01,9.262000e-01,9.734000e-03,1.703000e+01,6.520000e-10,2.588000e-01,1.094000e+04,,,,,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True
Chiromantis_petersii,2.531071e+00,3.489714e+02,5.462412e+03,2.800000e-01,5.230000e-04,2.536855e-01,5.500000e+00,1.407169e+00,2.981500e+02,False,False,False,1.256426e+04,9.950000e-01,4.285600e-02,2.463873e+04,7.555000e-08,1.025000e-03,3.664000e+03,,1.342000e+03,,,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,True
Rana_latastei,4.257443e+01,2.632519e+03,4.784457e+03,2.800000e-01,4.200000e-03,4.014370e+00,3.950000e+01,2.180643e+00,2.831500e+02,False,False,False,2.513687e+02,8.534100e-01,1.436500e-01,6.847130e+01,2.759000e-07,4.291000e+00,1.010000e+04,2.057043e-01,8.712000e+01,,,False,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,True
Pungitius_pungitius,7.840199e+00,5.470000e+02,1.825000e+03,2.000000e-01,2.755518e-03,5.581961e-01,4.465568e+00,2.191781e-01,2.931500e+02,False,False,False,3.187773e+01,9.500000e-01,1.305000e-01,1.874000e+01,8.666000e-09,7.561000e-01,1.786000e+02,,,,,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True
Heteronotia_binoei_3N1A,3.090354e+01,5.560351e+01,5.475000e+03,3.000000e-01,1.817239e-01,1.295577e+00,3.831962e+00,3.322151e-02,2.991500e+02,False,False,False,5.018636e+01,9.137500e-01,8.164400e-03,3.795860e+01,3.848000e-09,9.364000e+01,7.479000e+02,,,,,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
Ophiura_ophiura,5.243240e+00,1.919026e+03,2.870674e+03,9.000000e-02,5.236000e-07,1.777778e-02,1.186778e+01,3.356703e+02,2.831500e+02,True,False,False,4.903733e+00,9.000000e-01,6.507700e-02,3.383700e+00,1.174000e-06,1.467000e-04,4.698000e+00,9.502007e-06,6.911000e-04,,,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
Euryalona_orientalis,9.758849e-01,3.238164e+00,1.064602e+01,1.700000e-01,4.508387e-06,1.227869e-05,4.764706e-05,2.385571e+00,3.021500e+02,False,False,False,3.490541e+01,6.857800e-01,1.978500e-02,7.495204e+02,4.373000e-05,5.831000e-03,4.003000e-02,,,,,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
Bufo_bufo,2.097296e+01,1.486137e+03,2.087357e+04,2.800000e-01,4.200000e-03,3.500000e+02,4.170000e+02,2.559441e+00,2.881500e+02,False,False,False,4.168302e+02,9.865300e-01,1.865300e-01,6.043110e+01,2.917000e-10,3.073000e-01,2.686000e+04,3.500000e-01,2.694000e+01,,,False,False,False,False,False,True,False,False,True,True,False,True,True,False,False,False,False,False,True,False,True
Coronatella_rectangula,1.206508e+00,2.987543e+00,3.303533e+01,1.700000e-01,9.110572e-07,4.217857e-06,1.100000e-05,1.378524e+00,2.967500e+02,False,False,False,6.736159e+01,7.264700e-01,1.410300e-02,2.861095e+03,1.978000e-05,1.300000e-03,6.314000e-03,,,,,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False
Peltophryne_lemur,4.973512e-01,1.820305e+02,1.942405e+03,2.800000e-01,5.000000e-02,8.788000e+02,6.912000e+02,8.262951e+00,3.008500e+02,False,False,False,3.782350e+02,8.578700e-01,9.540000e-02,6.925120e+01,4.327000e-10,3.613000e+01,1.907000e+05,4.000000e-01,7.531000e+02,,,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True
