species,ab,ap,am,d_V,Wwb,Wwbjx,Wwp,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hbjx,E_Hp
Oryzias_latipes,6.960445e+00,3.470897e+01,3.042667e+03,2.000000e-01,6.500000e-04,2.746250e-02,1.780000e-01,8.000000e-01,6.193875e+01,2.991500e+02,True,False,1.460752e+02,4.705100e-01,1.055600e-02,3.639773e+02,5.208755e+03,3.281000e-08,1.318000e+00,4.975000e+01,7.155000e+02
Ophiura_ophiura,5.243240e+00,1.919026e+03,2.870674e+03,9.000000e-02,5.236000e-07,9.535590e-06,1.777778e-02,1.186778e+01,3.356703e+02,2.831500e+02,True,False,4.903733e+00,9.000000e-01,6.507700e-02,3.383700e+00,2.357606e+03,1.174000e-06,1.467000e-04,6.911000e-04,4.698000e+00
Tachyglossus_aculeatus,1.195804e+01,6.634038e+02,6.514457e+03,3.000000e-01,3.800000e-01,1.500000e+03,3.800000e+03,3.800000e+03,7.675236e-03,3.046500e+02,False,False,1.356882e+03,9.992700e-01,4.969600e-02,1.440048e+02,7.822994e+03,2.385000e-12,4.372000e-01,6.022000e+03,4.271000e+04
Galeopterus_variegatus,4.703728e+01,2.514979e+02,1.431224e+03,3.000000e-01,3.500000e+01,3.500000e+01,1.300000e+03,1.750000e+03,6.866096e-02,3.101500e+02,False,True,2.746939e+02,7.167700e-01,2.561000e-02,2.283260e+01,7.859151e+03,6.275600e-13,4.724749e+04,3.410104e+05,2.179788e+06
Necturus_maculosus,6.000000e+01,3.576393e+03,1.992623e+04,2.800000e-01,8.710000e-02,8.710000e-02,1.000000e+02,4.530000e+02,1.160280e-01,2.881500e+02,False,False,1.997983e+02,9.582600e-01,2.087300e-02,2.571020e+01,7.316246e+03,3.316000e-09,1.294000e+01,1.294000e+01,1.941000e+04
Amblyopsis_spelaea,3.270315e+02,2.824363e+03,7.115737e+03,2.000000e-01,5.200000e-03,5.200000e-03,1.700000e+00,6.900000e+00,9.837351e-02,2.861500e+02,False,False,4.598062e+01,9.019400e-01,2.183400e-02,2.414940e+01,5.223227e+03,5.117000e-08,2.072000e+00,2.072000e+00,9.235000e+02
Dipodomys_stephensi,2.434539e+01,4.484747e+01,7.933072e+02,3.000000e-01,7.000000e+00,7.000000e+00,5.500000e+01,6.500000e+01,1.222729e-01,3.101500e+02,False,True,5.978847e+03,9.305600e-01,3.545200e-02,4.148901e+03,7.852485e+03,8.141000e-12,1.442000e+03,1.859000e+04,1.513000e+05
Pogona_barbata,3.085593e+01,2.639142e+02,2.181186e+03,3.000000e-01,2.810000e+00,2.810000e+00,5.670000e+01,7.180000e+02,4.133302e-01,3.081500e+02,False,False,3.261758e+03,9.306100e-01,5.011500e-02,7.449078e+02,7.847925e+03,1.527000e-09,3.356000e+02,6.230000e+02,7.107000e+04
Chologaster_cornuta,3.567616e+01,5.113583e+02,7.115737e+03,2.000000e-01,5.200000e-04,5.200000e-04,4.600000e-01,1.700000e+00,1.377229e-01,2.861500e+02,False,False,4.998713e+02,9.931200e-01,2.171300e-02,7.633660e+02,5.229249e+03,1.946000e-08,3.944000e-03,3.944000e-03,1.839000e+01
Pangasianodon_hypophthalmus,4.641682e-01,6.324294e+02,5.055722e+03,2.000000e-01,7.000000e-04,7.000000e-04,3.000000e+03,4.400000e+04,5.821956e+05,2.971500e+02,True,False,1.119505e+03,4.500000e-01,1.002800e-01,2.793160e+01,5.224092e+03,2.240000e-10,1.212000e+00,2.791000e+00,8.017000e+06
Baikaiobia_guttata,1.738456e+02,5.286325e+02,2.589945e+03,7.000000e-02,9.400000e-04,9.400000e-04,3.600000e-02,2.800000e-01,3.088869e-03,2.931500e+02,True,False,7.953393e+01,9.938500e-01,1.735300e-02,3.503293e+02,1.828986e+03,6.374000e-06,4.922000e-03,4.199000e-02,3.149000e-01
Isurus_oxyrinchus,2.911215e+02,4.091753e+03,6.756679e+03,2.000000e-01,2.000000e+03,2.000000e+03,2.000000e+05,5.058000e+05,1.821559e-02,2.991500e+02,False,False,8.127857e+02,8.727800e-01,2.165200e-02,1.885930e+01,5.227650e+03,9.015000e-10,2.228000e+05,2.228000e+05,3.735000e+07
Forbesichthys_agassizii,5.946027e+01,5.351424e+02,7.115737e+03,2.000000e-01,2.800000e-03,2.800000e-03,5.200000e-01,3.700000e+00,2.136110e-01,2.861500e+02,False,False,2.123106e+02,9.488200e-01,2.431100e-02,1.855435e+02,5.226597e+03,2.902000e-08,3.129000e-01,3.129000e-01,1.256000e+02
Lota_lota,1.819363e+02,3.028231e+03,1.423147e+04,2.000000e-01,5.200000e-04,5.200000e-04,3.200000e+02,3.400000e+04,1.826937e+03,2.861500e+02,True,False,6.088788e+02,9.401400e-01,1.980600e-02,8.253880e+01,5.217667e+03,2.857000e-08,2.791000e-02,3.532000e-01,3.444000e+04
Perna_canaliculus,5.665630e+00,1.946224e+02,1.075477e+04,9.000000e-02,6.298945e-07,2.000000e-05,1.666667e+00,3.888889e+02,1.859639e+05,2.881500e+02,True,False,3.280993e+01,8.575600e-01,1.359100e-02,2.658900e+01,3.555621e+03,3.083000e-09,6.694000e-05,5.684000e-03,2.801000e+02
Deania_calceus,2.258862e+03,2.213554e+04,5.565469e+04,2.000000e-01,8.730000e+01,8.730000e+01,4.800000e+03,6.600000e+03,6.715047e-03,2.781500e+02,False,False,7.149429e+02,7.070300e-01,7.392500e-02,3.758680e+01,5.219922e+03,3.080000e-08,7.776000e+04,7.776000e+04,7.274000e+06
Heteronotia_binoei_3N1A,3.090354e+01,5.560351e+01,5.475000e+03,3.000000e-01,1.817239e-01,1.817239e-01,1.295577e+00,3.831962e+00,3.322151e-02,2.991500e+02,False,False,5.018636e+01,9.137500e-01,8.164400e-03,3.795860e+01,7.904216e+03,3.848000e-09,9.364000e+01,9.364000e+01,7.479000e+02
Ruditapes_philippinarum,1.799879e+00,3.647999e+02,8.594417e+03,9.000000e-02,2.555556e-08,1.111111e-04,4.777778e-01,1.088889e+01,5.084831e+03,2.881500e+02,True,False,3.432868e+00,9.916600e-01,5.821200e-03,1.110790e+01,2.357883e+03,3.054000e-09,4.482000e-07,1.341000e-04,8.885000e+00
