species,Wwi,d_V,genus,family,order,class,phylum,kap,v,s_p_M,E_Hb,E_Hj,E_Hp,k_J,s_M,p_M,metamorphosis,estim_p_M,estim_v,estim_kap,estim_k_J,estim_E_Hb,estim_E_Hj,estim_E_Hp,estim_s_M,estim_s_p_M,estim_p_Am
Ichthyophis_kohtaoensis,3.5600000000e+02,2.8000000000e-01,Ichthyophis,Ichthyophiidae,Gymnophiona,Amphibia,Chordata,7.1424172712e-01,2.6055932393e-02,1.0148396812e-01,2.6055874007e+03,3.0727980820e+04,8.0950814697e+04,2.0000000000e-03,1.0000000000e+00,2.1011838423e+01,False,True,True,True,False,True,True,True,True,True,True
Copsychus_malabaricus,2.6700000000e+01,2.8000000000e-01,Copsychus,Muscicapidae,Passeriformes,Aves,Chordata,8.9717201748e-01,2.4670139383e-02,8.1472919865e-01,3.1244569331e+02,3.1244569334e+02,3.0889269160e+03,9.8826713277e-02,1.0000000000e+00,2.4047684347e+03,False,True,True,True,True,True,False,True,True,True,True
Protonibea_diacanthus,5.2200000000e+04,2.0000000000e-01,Protonibea,Sciaenidae,Sciaeniformes,Actinopterygii,Chordata,9.5365933322e-01,2.5330000000e-02,1.1523671870e-01,1.6299274677e-02,1.1279069368e-01,8.2390896344e+05,2.0000000000e-03,1.9049087129e+00,1.7645508252e+01,True,True,False,True,False,True,True,True,True,True,True
Mustelus_canis,1.3600000000e+04,2.0000000000e-01,Mustelus,Triakidae,Carcharhiniformes,Chondrichthyes,Chordata,6.4108187473e-01,3.0026449500e-02,1.8530817999e-01,1.6504333753e+05,1.6504333754e+05,3.5999516700e+06,2.0000000000e-03,1.0000000000e+00,2.6404997574e+01,False,True,True,True,False,True,False,True,True,True,True
Calidris_maritima,9.0000000000e+01,2.8000000000e-01,Calidris,Scolopacidae,Charadriiformes,Aves,Chordata,8.2401620858e-01,7.6266063786e-02,9.4510707776e-01,5.0928823189e+03,5.0928823194e+03,9.6247899567e+04,2.2334000000e-02,1.0000000000e+00,5.4911116797e+02,False,True,True,True,False,True,False,True,True,True,True
Latonopsis_australis,3.1176470588e-04,1.7000000000e-01,Latonopsis,Sididae,Ctenopoda,Branchiopoda,Arthropoda,6.8327589210e-01,2.0324889369e-02,1.4974877944e-03,1.0621425698e-02,1.0621425699e-02,8.7824851710e-02,2.0000000000e-03,1.0000000000e+00,2.5994117898e+03,False,True,True,True,False,True,False,True,True,True,True
Myliobatis_californica,6.3400000000e+04,2.0000000000e-01,Myliobatis,Myliobatidae,Myliobatiformes,Chondrichthyes,Chordata,8.3753975260e-01,3.1234514119e-02,6.7031580818e-02,6.2179331894e+04,6.2179331900e+04,1.6054779941e+06,2.0000000000e-03,1.0000000000e+00,1.8501094225e+01,False,True,True,True,False,True,False,True,True,True,True
Turdus_viscivorus,1.1750000000e+02,2.8000000000e-01,Turdus,Turdidae,Passeriformes,Aves,Chordata,9.5780502419e-01,2.3208183426e-02,7.5657454553e-01,1.3374407838e+02,1.3374407840e+02,2.2648520464e+03,1.7168409178e-01,1.0000000000e+00,4.1958915015e+03,False,True,True,True,True,True,False,True,True,True,True
Balaenoptera_acutorostrata,9.2000000000e+06,3.0000000000e-01,Balaenoptera,Balaenopteridae,Cetartiodactyla,Mammalia,Chordata,8.2937114972e-01,1.0895374150e-01,7.2931413245e-01,1.1999688843e+08,1.1999688844e+08,2.6275048837e+09,2.0000000000e-03,1.0000000000e+00,1.7795168974e+01,False,True,True,True,False,True,False,True,True,True,True
Ctenophorus_adelaidensis,5.4000000000e+00,3.0000000000e-01,Ctenophorus,Agamidae,Squamata,Reptilia,Chordata,9.0838276349e-01,1.7183334547e-02,1.1078413147e-01,2.4763693810e+02,2.4763693813e+02,2.5717153588e+03,2.0000000000e-03,1.0000000000e+00,1.5776384155e+02,False,True,True,True,False,True,False,True,True,True,True
Parvaspina_collina,1.2900000000e+01,9.0000000000e-02,Parvaspina,Unionidae,Unionoida,Bivalvia,Mollusca,9.9911558629e-01,1.2643798452e-02,3.6238786350e-02,3.4627105403e-07,3.4627105447e-07,1.7712572641e+00,1.4221312075e-03,1.0000000004e+00,1.0830475713e+01,True,True,True,True,True,True,True,True,True,True,True
Tylosurus_crocodilus,6.3000000000e+03,2.0000000000e-01,Tylosurus,Belonidae,Beloniformes,Actinopterygii,Chordata,9.9686827098e-01,2.0363205581e-02,8.5964597648e-03,2.9953680572e-03,1.0961289292e-02,1.4975774310e+03,2.0000000000e-03,1.5405361855e+00,1.4340250276e+01,True,True,True,True,False,True,True,True,True,True,True
Orectolobus_halei,1.2700000000e+05,2.0000000000e-01,Orectolobus,Orectolobidae,Orectolobiformes,Chondrichthyes,Chordata,5.6951636116e-01,2.4879608953e-02,3.4953899170e-02,8.5198575983e+04,8.5198575991e+04,3.8789597009e+06,2.0000000000e-03,1.0000000000e+00,1.9300230043e+01,False,True,True,True,False,True,False,True,True,True,True
