species,ab,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,p_Am,1-kap,v,p_M,s_Hb_bj,s_Hbj_p,E_Hp,s_p_M,1/s_M,estim_k_J,class_other,class_Aves,class_Actinopterygii,class_Reptilia,class_Chondrichthyes,class_Amphibia,class_Mammalia,class_Bivalvia,class_Branchiopoda,class_Malacostraca,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C,data_split
Abbottina_rivularis,1.8092766543e+01,1.7610292769e+03,2.0000000000e-01,5.2000000000e-04,8.7000000000e-01,7.9000000000e+01,7.7727271089e+00,2.9115000000e+02,True,5.3617532085e+01,2.8510866974e-02,2.2091313119e-02,2.1517908815e+01,2.7455575561e-01,1.4900726065e-03,1.2886386477e+02,7.9708704664e-03,6.5190415981e-01,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,train
Ablennes_hians,1.9545692456e+00,2.6753166549e+03,2.0000000000e-01,5.2000000000e-04,1.4400000000e+02,4.2000000000e+03,1.7941801361e+02,3.0105000000e+02,True,2.3183121525e+02,3.0980126826e-03,2.2323999252e-02,2.1267776131e+01,1.1537269698e-01,2.3626742643e-05,9.5547228136e+02,2.6059939206e-03,4.8722361899e-01,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,test
Abramis_brama,1.5680397671e+01,6.6038597883e+03,2.0000000000e-01,2.8000000000e-03,3.1900000000e+02,6.0500000000e+03,2.2713989214e+03,2.9115000000e+02,True,4.6951008872e+02,3.7835675213e-01,1.4533792790e-02,2.8027564192e+01,9.9999999736e-01,2.2681939853e-06,2.4226014513e+05,1.9650613747e-02,9.9999999913e-01,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,train
Abroscopus_superciliaris,2.2455949020e+00,4.4389961970e+02,2.8000000000e-01,7.8000000000e-01,6.1750000000e+00,6.5000000000e+00,7.2088369937e-02,3.1475000000e+02,False,8.5222733796e+02,5.2438120463e-02,3.1666254536e-02,7.4253558703e+02,1.0000000000e+00,6.8391680051e-02,1.5075848310e+03,8.6172975674e-01,1.0000000000e+00,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,train
Acanthis_flammea,2.0414499109e+00,5.4155753603e+02,2.8000000000e-01,1.3000000000e+00,1.3490000000e+01,1.4200000000e+01,2.2527615605e-01,3.1475000000e+02,False,3.2777103956e+03,1.2102716117e-01,2.6571018578e-02,3.2301478427e+03,1.0000000000e+00,8.4135459849e-02,2.0674514926e+03,8.6803382211e-01,1.0000000000e+00,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,val
Acanthis_hornemanni,2.2455949020e+00,3.0185174140e+02,2.8000000000e-01,1.3000000000e+00,1.2065000000e+01,1.2700000000e+01,1.0137427022e-01,3.1475000000e+02,False,2.2959366038e+03,7.7976872807e-02,2.7040333002e-02,2.1849350764e+03,1.0000000000e+00,8.5380260256e-02,1.6755704187e+03,8.8827486689e-01,1.0000000000e+00,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,train
Acanthisitta_chloris,4.0828998219e+00,4.4389961970e+02,2.8000000000e-01,1.0000000000e+00,6.6500000000e+00,7.0000000000e+00,1.3516569363e-01,3.1475000000e+02,False,6.9132225927e+02,3.0536607448e-01,1.9257383797e-02,4.6894788622e+02,1.0000000000e+00,9.2044418598e-02,1.0406578483e+04,9.0276548660e-01,1.0000000000e+00,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,train
Acanthiza_chrysorrhoa,3.5725373442e+00,3.9950965773e+02,2.8000000000e-01,3.0000000000e+00,2.9450000000e+01,3.1000000000e+01,1.5769330924e-01,3.1475000000e+02,False,1.6877837011e+03,1.5044231058e-01,2.4590322658e-02,1.0354548935e+03,1.0000000000e+00,7.9647110090e-02,9.8676963303e+03,8.5857648838e-01,1.0000000000e+00,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,test
Acanthiza_inornata,3.8787548308e+00,3.9950965773e+02,2.8000000000e-01,3.0000000000e+00,1.9950000000e+01,2.1000000000e+01,1.3516569363e-01,3.1475000000e+02,False,1.3454062480e+03,1.7246141408e-01,2.4382399825e-02,8.5288197565e+02,1.0000000000e+00,1.1460754602e-01,9.5259321309e+03,8.4559093488e-01,1.0000000000e+00,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,train
Acanthochromis_polyacanthus,8.0996361290e+00,2.2172753903e+03,2.0000000000e-01,4.4000000000e-03,9.8000000000e+00,1.5200000000e+02,5.9532523825e+00,3.0065000000e+02,True,3.4347889601e+01,1.4246637357e-02,1.9714744275e-02,2.5615178538e+01,1.9851269558e-02,8.1240982790e-03,1.5461188816e+03,7.5837861210e-02,2.7575443152e-01,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,train
Acanthoclinus_littoreus,2.0552902708e+01,4.2335898545e+03,2.0000000000e-01,5.2000000000e-04,1.0100000000e+01,4.9000000000e+01,6.6761244021e+01,2.9045000000e+02,True,4.8423123963e+01,2.7733552031e-01,2.3423000000e-02,2.0006622633e+01,1.5595423974e-01,2.2185197947e-04,2.0902680890e+04,1.6088145967e-01,5.4073928896e-01,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,train
Acanthocybium_solandri,2.1766399653e+00,2.2699245353e+03,2.0000000000e-01,6.0000000000e-04,6.0000000000e+03,1.1260000000e+05,2.6432596797e+04,2.9785000000e+02,True,4.0852933372e+02,1.9790044355e-02,3.3994293594e-02,5.1259418328e+01,1.5385719643e-02,3.2065462686e-06,3.5817307924e+05,2.2482295885e-02,2.4925374920e-01,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,train
Acanthodactylus_boskianus,2.0713002444e+02,5.2745901574e+03,3.0000000000e-01,2.9268690790e-01,1.9966289845e+00,4.0200000000e+00,1.7062937084e-02,2.8815000000e+02,False,1.5903617477e+02,5.2781506446e-01,2.2705433027e-02,5.9671370380e+01,1.0000000000e+00,5.4593371862e-02,1.5629881708e+04,2.3513859041e-01,1.0000000000e+00,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,train
Acanthodactylus_harranensis,2.0713002444e+02,5.8606557304e+03,3.0000000000e-01,2.9301121029e-01,1.9988412855e+00,8.7000000000e+00,1.7062937084e-02,2.8815000000e+02,False,8.6132021545e+01,4.6147009934e-01,2.7443757605e-02,2.5621496776e+01,1.0000000000e+00,8.5994263230e-02,1.0260842719e+04,1.5753058650e-01,1.0000000000e+00,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,train
Acanthogobius_flavimanus,5.9337046733e+01,2.0497853166e+03,2.0000000000e-01,2.3000000000e-03,2.4000000000e+01,1.9300000000e+02,8.1228018686e+01,2.9105000000e+02,False,2.9080565695e+03,1.4783424513e-01,2.1517741432e-02,1.3395817850e+03,1.0000000000e+00,9.3513502733e-06,1.0199919291e+04,1.3865433217e-02,1.0000000000e+00,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,test
Acanthopagrus_arabicus,2.8592418848e+00,2.6564956421e+03,2.0000000000e-01,2.2000000000e-04,1.7300000000e+02,1.5000000000e+03,5.2701008721e+03,3.0035000000e+02,True,1.1280290320e+02,1.7305796035e-01,1.9444000000e-02,1.5278784766e+01,3.5862736358e-01,3.0487819155e-06,1.0013292553e+05,9.8836978743e-02,7.1079739863e-01,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,test
Acanthopagrus_australis,3.5755606851e+00,3.3220209274e+03,2.0000000000e-01,2.2000000000e-04,2.0676183321e+02,4.3000000000e+03,1.2642906507e+04,2.9785000000e+02,True,1.6156235354e+02,2.2424202307e-01,1.7731109173e-02,1.6273047252e+01,3.1089866814e-01,2.2837361520e-06,1.5817958416e+05,4.5826434771e-02,6.7773923855e-01,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,train
Acarichthys_heckelii,1.9858234652e+00,1.4496511296e+03,2.0000000000e-01,1.8000000000e-03,4.7000000000e+01,2.7600000000e+02,1.4396015410e+02,2.9765000000e+02,False,5.5200981020e+03,3.7194920874e-02,2.0800935030e-02,3.1846458832e+03,1.0000000000e+00,1.7735555811e-06,5.9356069189e+03,2.0759488643e-02,1.0000000000e+00,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,train
Accipiter_cooperii,4.4911898041e+00,1.0428704837e+03,2.8000000000e-01,2.2000000000e+01,4.9210000000e+02,5.1800000000e+02,7.7862017644e-02,3.1315000000e+02,False,4.7402365172e+03,2.8804414533e-02,2.7138642329e-02,1.7429010465e+03,1.0000000000e+00,4.9845461773e-02,9.2631839586e+03,6.8897510675e-01,1.0000000000e+00,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,train
Accipiter_fasciatus,6.1243497328e+00,1.0274586046e+03,2.8000000000e-01,1.4000000000e+01,5.5100000000e+02,5.8000000000e+02,5.8396513233e-02,3.1315000000e+02,False,1.5685105579e+02,1.5940552626e-02,5.8072422023e-02,2.0332154725e+01,1.0000000000e+00,1.0197075616e-01,1.2501353846e+04,7.2354805207e-02,1.0000000000e+00,True,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,True,train
Accipiter_nisus,6.7367847061e+00,1.0377331906e+03,2.8000000000e-01,1.6500000000e+01,2.9450000000e+02,3.1000000000e+02,8.7594769850e-02,3.1315000000e+02,False,1.3143829537e+02,5.2229414815e-02,5.9058299783e-02,1.9833587613e+01,1.0000000000e+00,2.0693974273e-01,2.6299732763e+04,7.8917911427e-02,1.0000000000e+00,True,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,True,train
Achoerodus_gouldii,1.1244642567e+01,3.0242170272e+04,2.0000000000e-01,2.7000000000e-04,7.6390967627e+03,2.0000000000e+04,9.3259973562e+02,2.9135000000e+02,True,2.9106083125e+02,3.2207693103e-02,2.1022000000e-02,1.6485123810e+01,9.9999993502e-01,1.2092944883e-08,9.8011518213e+05,3.4064551411e-01,9.9999997838e-01,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,test
Achoerodus_viridis,2.1958239637e+00,1.2775000000e+04,2.0000000000e-01,2.4833333333e-04,7.0000000000e+01,3.6000000000e+03,9.5890410959e+03,2.9315000000e+02,True,1.4827697579e+02,4.7784002138e-01,9.9420584280e-02,5.7037530932e+00,9.9999999398e-01,9.8770117261e-07,3.1048570944e+05,7.7045752616e-03,9.9999999800e-01,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,train
Achondrostoma_arcasii,2.7296204772e+01,8.2049180226e+03,2.0000000000e-01,9.0000000000e-04,7.6000000000e-01,1.6200000000e+02,7.3797202889e+00,2.8815000000e+02,True,1.0632253520e+02,2.3195075971e-02,2.4900000000e-02,2.0536843447e+01,6.9083479111e-01,5.1432631781e-04,1.6427267531e+02,3.6060921454e-03,8.8461409157e-01,False,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,val
Acipenser_baerii,4.4452166886e+01,3.9173594936e+04,2.0000000000e-01,9.2000000000e-03,9.0000000000e+03,8.5300000000e+04,5.8700254693e+02,2.8815000000e+02,False,6.5478804376e+02,3.0062566995e-01,1.3783669803e-02,2.1168910664e+01,1.0000000000e+00,7.0808776227e-07,2.8325219392e+06,6.1496817150e-02,1.0000000000e+00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,val
Acipenser_gueldenstaedtii,1.3127928389e+01,2.2856557349e+04,2.0000000000e-01,5.1024569211e-02,1.1645010566e+04,1.1500000000e+05,3.6465006953e+02,2.8815000000e+02,False,1.5725472522e+04,3.5032443080e-01,3.8675878482e-02,9.7949352415e+02,1.0000000000e+00,4.0250227874e-09,2.5002752737e+08,8.3434631322e-01,1.0000000000e+00,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,val
Acipenser_medirostris,3.8990339275e+01,4.2694421507e+04,2.0000000000e-01,4.3100000000e-02,2.7190602652e+04,1.1700000000e+05,3.4009126925e+02,2.8615000000e+02,False,8.8927825748e+02,5.2634652580e-01,6.2878831723e-02,1.4445896321e+01,1.0000000000e+00,1.5768336843e-06,3.6192719016e+07,1.8190052675e-01,1.0000000000e+00,False,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,True,train
Acipenser_persicus,1.3670977332e+01,1.4235000000e+04,2.0000000000e-01,1.1264608462e-01,2.8000000000e+04,7.0000000000e+04,3.0130000000e+02,2.9315000000e+02,False,5.6207311063e+02,4.3429310583e-01,4.3759255353e-02,1.2326835884e+01,1.0000000000e+00,1.4484745693e-06,3.6130167289e+07,4.4489639836e-01,1.0000000000e+00,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,test
Acipenser_ruthenus,1.2845272834e+01,2.2548134817e+04,2.0000000000e-01,1.4000000000e-03,2.9200000000e+02,6.4000000000e+03,1.8427972051e+02,2.8815000000e+02,False,2.2144547559e+02,2.1959960095e-01,5.1789185174e-02,1.1875799851e+01,1.0000000000e+00,3.6008913041e-06,2.7403695843e+05,5.3222825490e-02,1.0000000000e+00,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,test
Acipenser_stellatus,1.0979119818e+01,9.2454037036e+03,2.0000000000e-01,4.3816679189e-02,1.2982719760e+04,8.0000000000e+04,2.4650000000e+02,2.9115000000e+02,False,1.0073963254e+04,3.7265312876e-01,2.4365657266e-02,6.8291197073e+02,1.0000000000e+00,4.9043217557e-09,1.5011832346e+08,9.3383859774e-01,1.0000000000e+00,False,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,train
Acipenser_sturio,1.9298950980e+01,7.0327868765e+04,2.0000000000e-01,1.2420000000e-02,1.2420000000e+04,4.6000000000e+05,9.3419580536e+02,2.9315000000e+02,False,2.0352028943e+02,4.1779021401e-01,8.9592770423e-02,1.7621102117e+00,1.0000000000e+00,3.0231474479e-06,1.5529733907e+07,8.0782957014e-02,1.0000000000e+00,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,test
