species,ab,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,p_Am,1-kap,v,p_M,s_Hb_bj,s_Hbj_p,E_Hp,s_p_M,1/s_M,estim_k_J,class_other,class_Aves,class_Actinopterygii,class_Reptilia,class_Chondrichthyes,class_Amphibia,class_Mammalia,class_Bivalvia,class_Branchiopoda,class_Malacostraca,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C
Thalassarche_chrysostoma,1.4978070171e+01,2.5155917740e+03,2.8000000000e-01,1.8700000000e+02,4.7500000000e+03,5.0000000000e+03,1.8762980738e-02,3.1275000000e+02,False,3.3437850882e+03,6.7742867034e-02,1.7264184674e-02,5.7295811209e+02,1.0000000000e+00,3.4393860751e-02,2.5728814571e+05,9.0163946143e-01,1.0000000000e+00,True,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True
Hynobius_quelpaertensis,5.6198068648e+01,5.8606557304e+03,2.8000000000e-01,1.1100000000e-02,1.7578486522e+00,2.4100000000e+00,5.2096599660e-01,2.8815000000e+02,False,1.2320291182e+02,5.0926129200e-01,3.7123739784e-02,5.1098232526e+01,1.0000000000e+00,4.8481737888e-03,1.1324853136e+04,2.5785176965e-01,1.0000000000e+00,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True
Astyanax_mexicanus,2.1991668460e+00,3.2107835951e+03,2.0000000000e-01,4.0000000000e-04,1.9714653863e+00,1.6800000000e+01,5.6061081249e+00,2.9715000000e+02,True,8.4993813311e+01,6.6088248734e-03,2.2779429193e-02,4.9129131965e+01,5.4265183943e-01,1.2113269416e-04,1.1709004343e+02,7.7439684000e-02,8.1862952391e-01,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
Butastur_rufipennis,6.4305672195e+00,1.9521713487e+03,2.8000000000e-01,3.9000000000e+01,3.5150000000e+02,3.7000000000e+02,3.8931008822e-02,3.1315000000e+02,False,3.5312316406e+03,7.0356809742e-02,2.5569437529e-02,1.2800821648e+03,1.0000000000e+00,1.0642142609e-01,2.5360233550e+04,8.1901374496e-01,1.0000000000e+00,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
Chioglossa_lusitanica,1.6506075194e+02,5.8606557304e+03,2.8000000000e-01,1.4400000000e-01,1.2900000000e+00,3.4100000000e+00,2.9006993043e-02,2.9115000000e+02,False,1.4020943982e+02,3.8608174456e-01,2.4678515317e-01,5.7151233247e+01,1.0000000000e+00,4.5796607995e-02,1.0476069399e+04,1.7062688022e-01,1.0000000000e+00,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
Pteroglossus_viridis,3.2663198575e+00,7.1925493414e+02,2.8000000000e-01,8.0000000000e+00,1.2825000000e+02,1.3500000000e+02,6.8821217138e-02,3.1495000000e+02,False,1.3556032018e+03,1.5162953381e-01,4.3605041932e-02,3.9957833064e+02,1.0000000000e+00,3.0138219515e-02,9.9277542734e+04,9.5915921894e-01,1.0000000000e+00,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True
Aerodramus_bartschi,4.6953347952e+00,1.2919289030e+03,2.8000000000e-01,1.1100000000e+00,7.7995000000e+00,8.2100000000e+00,1.6333228410e-02,3.1125000000e+02,False,4.0174927865e+01,3.8694293849e-02,4.0851818294e-02,2.0049391173e+01,1.0000000000e+00,1.8892823764e-01,1.6183857134e+03,2.3061514043e-01,1.0000000000e+00,True,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Ardea_alba,4.6953347952e+00,1.1188494616e+03,2.8000000000e-01,3.5000000000e+01,9.5000000000e+02,1.0000000000e+03,1.2226845942e-01,3.1365000000e+02,False,2.8308848591e+03,1.4087796519e-01,3.8894605781e-02,5.6108629516e+02,1.0000000000e+00,2.3998632416e-02,2.9778833391e+05,9.0962603320e-01,1.0000000000e+00,True,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True
Trematomus_nicolai,4.8677810642e+02,5.9478809932e+04,2.0000000000e-01,4.2000000000e-03,1.4730000000e+02,6.2480000000e+02,2.8430293107e+00,2.7175000000e+02,True,3.3116974855e+02,4.9663975987e-01,4.5609323399e-02,2.7942268460e+01,8.4614837867e-01,1.8868303267e-05,5.0572378440e+05,1.4644130508e-01,9.4634477834e-01,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
Caretta_caretta_MED,2.8735889309e+01,6.1632853657e+01,2.8000000000e-01,1.5590000000e+01,5.2000000000e+04,8.7000000000e+04,5.2418227290e-01,2.9415000000e+02,False,8.9501896113e+02,2.6657000000e-01,7.2137000000e-02,1.3504700000e+01,1.0000000000e+00,3.8101741209e-04,5.8580000000e+07,1.5823708599e-01,1.0000000000e+00,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True
Streptocephalus_vitreus,1.2500000000e+00,3.0000000000e+01,1.7000000000e-01,5.8823529412e-06,2.5882352941e-03,7.6470588235e-03,1.0500000000e+01,2.9315000000e+02,True,1.7979256124e+02,1.1830349806e-02,4.0908943945e-02,8.7401491000e+03,8.3823943190e-04,9.8696093152e-01,3.4442355341e-01,1.7806638559e-03,1.3146164511e-01,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
