species,ab,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,p_Am,1-kap,v,s_p_M,s_Hb_bj,s_Hbj_p,E_Hp,k_J,1/s_M,class_other,class_Aves,class_Actinopterygii,class_Reptilia,class_Chondrichthyes,class_Amphibia,class_Mammalia,class_Bivalvia,class_Branchiopoda,class_Malacostraca,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C,data_split
Abbottina_rivularis,1.809277e+01,1.761029e+03,2.000000e-01,5.200000e-04,8.700000e-01,7.900000e+01,7.772727e+00,2.911500e+02,True,7.530925e+01,2.945000e-02,2.022100e-02,5.675091e-03,6.599569e-01,7.784867e-04,8.934000e+01,2.000000e-03,8.716723e-01,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,train
Ablennes_hians,1.954569e+00,2.675317e+03,2.000000e-01,5.200000e-04,1.440000e+02,4.200000e+03,1.794180e+02,3.010500e+02,True,2.013985e+02,3.600000e-03,2.279700e-02,2.896199e-03,1.205722e-01,2.710988e-05,1.083000e+03,2.000000e-03,4.943480e-01,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,val
Abramis_brama,1.568040e+01,6.603860e+03,2.000000e-01,2.800000e-03,3.190000e+02,6.050000e+03,2.271399e+03,2.911500e+02,True,4.010921e+02,3.363300e-01,1.641600e-02,1.679914e-02,9.998177e-01,2.318259e-06,2.366000e+05,1.245200e-03,9.999395e-01,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,train
Abroscopus_superciliaris,2.245595e+00,4.438996e+02,2.800000e-01,7.800000e-01,6.175000e+00,6.500000e+00,7.208837e-02,3.147500e+02,False,6.630061e+02,4.178000e-02,3.479000e-02,8.170111e-01,1.000000e+00,6.523777e-02,1.472000e+03,2.183800e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,train
Acanthis_flammea,2.041450e+00,5.415575e+02,2.800000e-01,1.300000e+00,1.349000e+01,1.420000e+01,2.252762e-01,3.147500e+02,False,1.294710e+03,7.092000e-02,3.765300e-02,7.600791e-01,1.000000e+00,6.411498e-02,3.305000e+03,3.709000e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,test
Acanthis_hornemanni,2.245595e+00,3.018517e+02,2.800000e-01,1.300000e+00,1.206500e+01,1.270000e+01,1.013743e-01,3.147500e+02,False,7.095930e+02,4.207000e-02,4.746800e-02,7.512956e-01,1.000000e+00,6.175461e-02,3.203000e+03,1.732800e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,train
Acanthisitta_chloris,4.082900e+00,4.438996e+02,2.800000e-01,1.000000e+00,6.650000e+00,7.000000e+00,1.351657e-01,3.147500e+02,False,7.262339e+02,3.137600e-01,1.929700e-02,9.073893e-01,1.000000e+00,9.198488e-02,1.058000e+04,2.005400e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,train
Acanthiza_chrysorrhoa,3.572537e+00,3.995097e+02,2.800000e-01,3.000000e+00,2.945000e+01,3.100000e+01,1.576933e-01,3.147500e+02,False,1.535986e+03,1.222000e-01,2.477500e-02,8.317368e-01,1.000000e+00,7.616629e-02,8.467000e+03,3.826500e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,val
Acanthiza_inornata,3.878755e+00,3.995097e+02,2.800000e-01,3.000000e+00,1.995000e+01,2.100000e+01,1.351657e-01,3.147500e+02,False,1.307576e+03,1.567700e-01,2.392600e-02,8.310237e-01,1.000000e+00,1.146692e-01,8.419000e+03,3.485100e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,train
Acanthochromis_polyacanthus,8.099636e+00,2.217275e+03,2.000000e-01,4.400000e-03,9.800000e+00,1.520000e+02,5.953252e+00,3.006500e+02,True,3.048360e+01,1.270000e-02,2.037400e-02,3.285483e-02,1.183914e-02,3.029645e-02,6.443000e+02,2.000000e-03,2.331055e-01,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,train
