species,ab,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,p_Am,1-kap,v,s_p_M,s_Hb_bj,s_Hbj_p,E_Hp,k_J,1/s_M,class_other,class_Aves,class_Actinopterygii,class_Reptilia,class_Chondrichthyes,class_Amphibia,class_Mammalia,class_Bivalvia,class_Branchiopoda,class_Malacostraca,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C
Thalassarche_chrysostoma,1.497807e+01,2.515592e+03,2.800000e-01,1.870000e+02,4.750000e+03,5.000000e+03,1.876298e-02,3.127500e+02,False,3.343785e+03,6.774287e-02,1.726418e-02,9.016395e-01,1.000000e+00,3.439386e-02,2.572881e+05,2.349727e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True
Hynobius_quelpaertensis,5.619807e+01,5.860656e+03,2.800000e-01,1.110000e-02,1.757849e+00,2.410000e+00,5.209660e-01,2.881500e+02,False,1.232029e+02,5.092613e-01,3.712374e-02,2.578518e-01,1.000000e+00,4.848174e-03,1.132485e+04,2.000000e-03,1.000000e+00,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True
Astyanax_mexicanus,2.199167e+00,3.210784e+03,2.000000e-01,4.000000e-04,1.971465e+00,1.680000e+01,5.606108e+00,2.971500e+02,True,8.499381e+01,6.608825e-03,2.277943e-02,7.743968e-02,5.426518e-01,1.211327e-04,1.170900e+02,2.000000e-03,8.186295e-01,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
Butastur_rufipennis,6.430567e+00,1.952171e+03,2.800000e-01,3.900000e+01,3.515000e+02,3.700000e+02,3.893101e-02,3.131500e+02,False,3.531232e+03,7.035681e-02,2.556944e-02,8.190137e-01,1.000000e+00,1.064214e-01,2.536023e+04,5.276909e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
Chioglossa_lusitanica,1.650608e+02,5.860656e+03,2.800000e-01,1.440000e-01,1.290000e+00,3.410000e+00,2.900699e-02,2.911500e+02,False,1.402094e+02,3.860817e-01,2.467852e-01,1.706269e-01,1.000000e+00,4.579661e-02,1.047607e+04,2.000000e-03,1.000000e+00,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
Pteroglossus_viridis,3.266320e+00,7.192549e+02,2.800000e-01,8.000000e+00,1.282500e+02,1.350000e+02,6.882122e-02,3.149500e+02,False,1.355603e+03,1.516295e-01,4.360504e-02,9.591592e-01,1.000000e+00,3.013822e-02,9.927754e+04,1.645085e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True
Aerodramus_bartschi,4.695335e+00,1.291929e+03,2.800000e-01,1.110000e+00,7.799500e+00,8.210000e+00,1.633323e-02,3.112500e+02,False,4.017493e+01,3.869429e-02,4.085182e-02,2.306151e-01,1.000000e+00,1.889282e-01,1.618386e+03,8.219373e-04,1.000000e+00,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Ardea_alba,4.695335e+00,1.118849e+03,2.800000e-01,3.500000e+01,9.500000e+02,1.000000e+03,1.222685e-01,3.136500e+02,False,2.830885e+03,1.408780e-01,3.889461e-02,9.096260e-01,1.000000e+00,2.399863e-02,2.977883e+05,2.288839e-02,1.000000e+00,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True
Trematomus_nicolai,4.867781e+02,5.947881e+04,2.000000e-01,4.200000e-03,1.473000e+02,6.248000e+02,2.843029e+00,2.717500e+02,True,3.311697e+02,4.966398e-01,4.560932e-02,1.464413e-01,8.461484e-01,1.886830e-05,5.057238e+05,2.000000e-03,9.463448e-01,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
Caretta_caretta_MED,2.873589e+01,6.163285e+01,2.800000e-01,1.559000e+01,5.200000e+04,8.700000e+04,5.241823e-01,2.941500e+02,False,8.950190e+02,2.665700e-01,7.213700e-02,1.582371e-01,1.000000e+00,3.810174e-04,5.858000e+07,1.522700e-03,1.000000e+00,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True
