species,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hj,E_Hx,E_Hp,k_J,kap_R,kap_X,kap_P,family,order,class,phylum,climate,ecozone,habitat,embryo,migrate,food,gender,reprod,ab,ah,aj,ax,ap,am,tg,tb,tj,tx,tp,Wwb,Wwj,Wwx,Wwp,Wwi,Lb,Lj,Lx,Lp,Li,Ri,Ni,GSI,NR,d_V,T_typical,f,t_0,model,completeness,s_M,metamorphosis,weaning,foetus,genus
Abbottina_rivularis,7.530925e+01,9.705500e-01,2.022100e-02,2.383700e+01,5.215814e+03,3.547000e-07,4.590000e-02,6.955000e-02,,8.934000e+01,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,Cfa,THp,0iFr 0iFc,Fs,Mp,biCi,D,O,1.809277e+01,,,,,1.761029e+03,,,,,,5.200000e-04,,,8.700000e-01,7.900000e+01,,,,4.500000e+00,1.890000e+01,7.772727e+00,,,,2.000000e-01,2.911500e+02,1.000000e+00,1.498737e+02,abj,2.500000e+00,1.147220e+00,True,False,False,Abbottina
Ablennes_hians,2.013985e+02,9.964000e-01,2.279700e-02,1.797650e+01,5.237106e+03,1.614000e-09,3.540000e-03,2.936000e-02,,1.083000e+03,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Belonidae,Beloniformes,Actinopterygii,Chordata,MB,MC,biMcp,Ms,Mo,biCvf,D,O,1.954569e+00,,,,,2.675317e+03,,,,,,5.200000e-04,,,1.440000e+02,4.200000e+03,,,,4.740000e+01,1.400000e+02,1.794180e+02,,,,2.000000e-01,3.010500e+02,1.000000e+00,,abj,2.800000e+00,2.022866e+00,True,False,False,Ablennes
Abramis_brama,4.010921e+02,6.636700e-01,1.641600e-02,2.334840e+01,5.228964e+03,4.116000e-08,5.484000e-01,5.485000e-01,,2.366000e+05,1.245200e-03,9.500000e-01,8.000000e-01,1.000000e-01,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,Cfb Dfb,THp,0iFr 0iFl,Fs Fh,Mp,biCi biHl,D,O,1.568040e+01,,,,1.336452e+03,6.603860e+03,,,,,1.320772e+03,2.800000e-03,,,3.190000e+02,6.050000e+03,,,,2.700000e+01,7.200000e+01,2.271399e+03,,,,2.000000e-01,2.911500e+02,1.000000e+00,,abj,2.500000e+00,1.000060e+00,True,False,False,Abramis
Abroscopus_superciliaris,6.630061e+02,9.582200e-01,3.479000e-02,5.330640e+02,7.316542e+03,4.147000e-12,9.603000e+01,,6.314000e+02,1.472000e+03,2.183800e-02,9.500000e-01,8.000000e-01,1.000000e-01,Cisticolidae,Passeriformes,Aves,Chordata,A,TPi,0iThf 0iTa 0iTd,Tnpfm,,biCi,Dg,O,2.245595e+00,,,3.948224e+00,7.353481e+00,4.438996e+02,,,,1.702629e+00,5.107886e+00,7.800000e-01,,,6.175000e+00,6.500000e+00,,,,,,7.208837e-02,,,,2.800000e-01,3.147500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Abroscopus
Acanthis_flammea,1.294710e+03,9.290800e-01,3.765300e-02,9.076351e+02,7.320725e+03,2.215000e-12,2.119000e+02,,1.348000e+03,3.305000e+03,3.709000e-02,9.500000e-01,8.000000e-01,1.000000e-01,Fringillidae,Passeriformes,Aves,Chordata,Dfc ET,TH,0iTht 0iThh,Tnpf,Ml,biCi biHs,Dg,O,2.041450e+00,,,3.379230e+00,6.054789e+00,5.415575e+02,,,,1.337780e+00,4.013339e+00,1.300000e+00,,,1.349000e+01,1.420000e+01,,,,,,2.252762e-01,,,,2.800000e-01,3.147500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acanthis
Acanthis_hornemanni,7.095930e+02,9.579300e-01,4.746800e-02,4.321025e+02,7.335350e+03,8.946000e-13,1.978000e+02,,1.236000e+03,3.203000e+03,1.732800e-02,9.500000e-01,8.000000e-01,1.000000e-01,Fringillidae,Passeriformes,Aves,Chordata,Dfc ET,TH,0iTf,Tnpf,Ml,biCi biHn biHs,Dg,O,2.245595e+00,,,3.826607e+00,6.988632e+00,3.018517e+02,,,,1.581012e+00,4.743037e+00,1.300000e+00,,,1.206500e+01,1.270000e+01,,,,,,1.013743e-01,,,,2.800000e-01,3.147500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acanthis
Acanthisitta_chloris,7.262339e+02,6.862400e-01,1.929700e-02,4.919751e+02,7.319902e+03,7.532000e-13,9.732000e+02,,5.615000e+03,1.058000e+04,2.005400e-02,9.500000e-01,8.000000e-01,1.000000e-01,Acanthisittidae,Passeriformes,Aves,Chordata,Cfb,TAz,0iTf,Tnwfm Tntfm,,biCii,Dg,O,4.082900e+00,,,7.001692e+00,1.283928e+01,4.438996e+02,,,,2.918792e+00,8.756376e+00,1.000000e+00,,,6.650000e+00,7.000000e+00,,,,,,1.351657e-01,,,,2.800000e-01,3.147500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acanthisitta
Acanthiza_chrysorrhoa,1.535986e+03,8.778000e-01,2.477500e-02,9.359217e+02,7.323476e+03,1.093000e-11,6.449000e+02,,3.886000e+03,8.467000e+03,3.826500e-02,9.500000e-01,8.000000e-01,1.000000e-01,Acanthizidae,Passeriformes,Aves,Chordata,BWh BSh Cfb Cfc,TA,0iTf 0iTh,Tnpf,,biCi,Dg,O,3.572537e+00,,,5.883248e+00,1.050467e+01,3.995097e+02,,,,2.310710e+00,6.932131e+00,3.000000e+00,,,2.945000e+01,3.100000e+01,,,,,,1.576933e-01,,,,2.800000e-01,3.147500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acanthiza
Acanthiza_inornata,1.307576e+03,8.432300e-01,2.392600e-02,8.401305e+02,7.319117e+03,1.023000e-11,9.654000e+02,,4.197000e+03,8.419000e+03,3.485100e-02,9.500000e-01,8.000000e-01,1.000000e-01,Acanthizidae,Passeriformes,Aves,Chordata,BSk Csa Csb,TA,0iTf 0iTh,Tnpf,,biCi,Dg,O,3.878755e+00,,,6.007041e+00,1.026361e+01,3.995097e+02,,,,2.128286e+00,6.384858e+00,3.000000e+00,,,1.995000e+01,2.100000e+01,,,,,,1.351657e-01,,,,2.800000e-01,3.147500e+02,1.000000e+00,,std,2.500000e+00,1.000000e+00,False,False,False,Acanthiza
Acanthochromis_polyacanthus,3.048360e+01,9.873000e-01,2.037400e-02,2.656820e+01,5.220472e+03,3.663000e-10,2.311000e-01,1.952000e+01,,6.443000e+02,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Pomacentridae,OvalentariaIncSed,Actinopterygii,Chordata,MA,MPW,0iMc 0iMr,Mnm,,biCi,D,O,8.099636e+00,,,,,2.217275e+03,,,,,,4.400000e-03,,,9.800000e+00,1.520000e+02,,,,6.500000e+00,1.600000e+01,5.953252e+00,,,,2.000000e-01,3.006500e+02,1.000000e+00,,abj,2.500000e+00,4.289903e+00,True,False,False,Acanthochromis
Acanthoclinus_littoreus,6.480231e+01,7.324300e-01,2.342300e-02,2.127820e+01,5.220250e+03,2.458000e-08,6.132000e-01,1.716000e+00,,1.703000e+04,2.000000e-03,9.500000e-01,6.800000e-01,1.000000e-01,Plesiopidae,OvalentariaIncSed,Actinopterygii,Chordata,MB,MPSW,0jMp jiMcd,Mnm,Mo,bjPz jiCi jiCvf,D,O,2.055290e+01,,,,,4.233590e+03,,,,,,5.200000e-04,,,1.010000e+01,4.900000e+01,,,,1.200000e+01,2.000000e+01,6.676124e+01,,,,2.000000e-01,2.904500e+02,1.000000e+00,,abj,3.500000e+00,1.405255e+00,True,False,False,Acanthoclinus
Acanthocybium_solandri,4.021079e+02,9.790800e-01,3.301300e-02,5.093550e+01,5.230779e+03,4.925000e-09,1.886000e-02,1.244000e+00,,3.440000e+05,2.000000e-03,9.500000e-01,8.000000e-01,1.000000e-01,Scombridae,Scombriformes,Actinopterygii,Chordata,MA MB,MC,0jMp jiMr,Mp,Mo,bjPz jiCi jiCvf,D,O,2.176640e+00,,,,,2.269925e+03,,,,,,6.000000e-04,,,6.000000e+03,1.126000e+05,,,,9.930000e+01,2.500000e+02,2.643260e+04,,,,2.000000e-01,2.978500e+02,1.000000e+00,,abj,2.500000e+00,4.031588e+00,True,False,False,Acanthocybium
