species,ab,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,p_Am,kap,v,p_M,E_Hb,E_Hp,k_J,s_M,E_Hbj,class_other,class_Aves,class_Actinopterygii,class_Reptilia,class_Chondrichthyes,class_Amphibia,class_Mammalia,class_Bivalvia,class_Branchiopoda,class_Malacostraca,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C,data_split
Abbottina_rivularis,1.809277e+01,1.761029e+03,2.000000e-01,5.200000e-04,8.700000e-01,7.900000e+01,7.772727e+00,2.911500e+02,True,5.361753e+01,9.714891e-01,2.209131e-02,2.151791e+01,5.271924e-02,1.288639e+02,2.000000e-03,1.533968e+00,1.920165e-01,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,train
Ablennes_hians,1.954569e+00,2.675317e+03,2.000000e-01,5.200000e-04,1.440000e+02,4.200000e+03,1.794180e+02,3.010500e+02,True,2.318312e+02,9.969020e-01,2.232400e-02,2.126778e+01,2.604504e-03,9.554723e+02,2.000000e-03,2.052446e+00,2.257470e-02,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,test
Abramis_brama,1.568040e+01,6.603860e+03,2.000000e-01,2.800000e-03,3.190000e+02,6.050000e+03,2.271399e+03,2.911500e+02,True,4.695101e+02,6.216432e-01,1.453379e-02,2.802756e+01,5.494930e-01,2.422601e+05,1.562580e-03,1.000000e+00,5.494930e-01,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,train
Abroscopus_superciliaris,2.245595e+00,4.438996e+02,2.800000e-01,7.800000e-01,6.175000e+00,6.500000e+00,7.208837e-02,3.147500e+02,False,8.522273e+02,9.475619e-01,3.166625e-02,7.425356e+02,1.031063e+02,1.507585e+03,3.021228e-02,1.000000e+00,1.031063e+02,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,train
Acanthis_flammea,2.041450e+00,5.415575e+02,2.800000e-01,1.300000e+00,1.349000e+01,1.420000e+01,2.252762e-01,3.147500e+02,False,3.277710e+03,8.789728e-01,2.657102e-02,3.230148e+03,1.739460e+02,2.067451e+03,1.324958e-01,1.000000e+00,1.739460e+02,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,val
Acanthis_hornemanni,2.245595e+00,3.018517e+02,2.800000e-01,1.300000e+00,1.206500e+01,1.270000e+01,1.013743e-01,3.147500e+02,False,2.295937e+03,9.220231e-01,2.704033e-02,2.184935e+03,1.430606e+02,1.675570e+03,8.909160e-02,1.000000e+00,1.430606e+02,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,True,True,train
Acanthisitta_chloris,4.082900e+00,4.438996e+02,2.800000e-01,1.000000e+00,6.650000e+00,7.000000e+00,1.351657e-01,3.147500e+02,False,6.913223e+02,6.946339e-01,1.925738e-02,4.689479e+02,9.578675e+02,1.040658e+04,1.920402e-02,1.000000e+00,9.578675e+02,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,train
Acanthiza_chrysorrhoa,3.572537e+00,3.995097e+02,2.800000e-01,3.000000e+00,2.945000e+01,3.100000e+01,1.576933e-01,3.147500e+02,False,1.687784e+03,8.495577e-01,2.459032e-02,1.035455e+03,7.859335e+02,9.867696e+03,4.236498e-02,1.000000e+00,7.859335e+02,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,test
Acanthiza_inornata,3.878755e+00,3.995097e+02,2.800000e-01,3.000000e+00,1.995000e+01,2.100000e+01,1.351657e-01,3.147500e+02,False,1.345406e+03,8.275386e-01,2.438240e-02,8.528820e+02,1.091744e+03,9.525932e+03,3.509973e-02,1.000000e+00,1.091744e+03,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,train
Acanthochromis_polyacanthus,8.099636e+00,2.217275e+03,2.000000e-01,4.400000e-03,9.800000e+00,1.520000e+02,5.953252e+00,3.006500e+02,True,3.434789e+01,9.857534e-01,1.971474e-02,2.561518e+01,2.493483e-01,1.546119e+03,2.000000e-03,3.626415e+00,1.256082e+01,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,train
Acanthoclinus_littoreus,2.055290e+01,4.233590e+03,2.000000e-01,5.200000e-04,1.010000e+01,4.900000e+01,6.676124e+01,2.904500e+02,True,4.842312e+01,7.226645e-01,2.342300e-02,2.000662e+01,7.232068e-01,2.090268e+04,2.000000e-03,1.849320e+00,4.637301e+00,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,train
Acanthocybium_solandri,2.176640e+00,2.269925e+03,2.000000e-01,6.000000e-04,6.000000e+03,1.126000e+05,2.643260e+04,2.978500e+02,True,4.085293e+02,9.802100e-01,3.399429e-02,5.125942e+01,1.767048e-02,3.581731e+05,2.000000e-03,4.011976e+00,1.148499e+00,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,True,False,False,True,train
Acanthodactylus_boskianus,2.071300e+02,5.274590e+03,3.000000e-01,2.926869e-01,1.996629e+00,4.020000e+00,1.706294e-02,2.881500e+02,False,1.590362e+02,4.721849e-01,2.270543e-02,5.967137e+01,8.532879e+02,1.562988e+04,2.000000e-03,1.000000e+00,8.532879e+02,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,train
Acanthodactylus_harranensis,2.071300e+02,5.860656e+03,3.000000e-01,2.930112e-01,1.998841e+00,8.700000e+00,1.706294e-02,2.881500e+02,False,8.613202e+01,5.385299e-01,2.744376e-02,2.562150e+01,8.823736e+02,1.026084e+04,2.000000e-03,1.000000e+00,8.823736e+02,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,train
Acanthogobius_flavimanus,5.933705e+01,2.049785e+03,2.000000e-01,2.300000e-03,2.400000e+01,1.930000e+02,8.122802e+01,2.910500e+02,False,2.908057e+03,8.521658e-01,2.151774e-02,1.339582e+03,9.538302e-02,1.019992e+04,2.000000e-03,1.000000e+00,9.538302e-02,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,test
Acanthopagrus_arabicus,2.859242e+00,2.656496e+03,2.000000e-01,2.200000e-04,1.730000e+02,1.500000e+03,5.270101e+03,3.003500e+02,True,1.128029e+02,8.269420e-01,1.944400e-02,1.527878e+01,1.094830e-01,1.001329e+05,2.000000e-03,1.406871e+00,3.052835e-01,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,test
Acanthopagrus_australis,3.575561e+00,3.322021e+03,2.000000e-01,2.200000e-04,2.067618e+02,4.300000e+03,1.264291e+04,2.978500e+02,True,1.615624e+02,7.757580e-01,1.773111e-02,1.627305e+01,1.123092e-01,1.581796e+05,2.000000e-03,1.475494e+00,3.612404e-01,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,train
Acarichthys_heckelii,1.985823e+00,1.449651e+03,2.000000e-01,1.800000e-03,4.700000e+01,2.760000e+02,1.439602e+02,2.976500e+02,False,5.520098e+03,9.628051e-01,2.080094e-02,3.184646e+03,1.052713e-02,5.935607e+03,2.000000e-03,1.000000e+00,1.052713e-02,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,train
Accipiter_cooperii,4.491190e+00,1.042870e+03,2.800000e-01,2.200000e+01,4.921000e+02,5.180000e+02,7.786202e-02,3.131500e+02,False,4.740237e+03,9.711956e-01,2.713864e-02,1.742901e+03,4.617277e+02,9.263184e+03,7.085496e-02,1.000000e+00,4.617277e+02,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,True,train
Accipiter_fasciatus,6.124350e+00,1.027459e+03,2.800000e-01,1.400000e+01,5.510000e+02,5.800000e+02,5.839651e-02,3.131500e+02,False,1.568511e+02,9.840594e-01,5.807242e-02,2.033215e+01,1.274773e+03,1.250135e+04,8.339728e-04,1.000000e+00,1.274773e+03,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,True,False,False,False,False,False,False,False,True,train
Accipiter_nisus,6.736785e+00,1.037733e+03,2.800000e-01,1.650000e+01,2.945000e+02,3.100000e+02,8.759477e-02,3.131500e+02,False,1.314383e+02,9.477706e-01,5.905830e-02,1.983359e+01,5.442460e+03,2.629973e+04,8.126603e-04,1.000000e+00,5.442460e+03,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,True,train
Achoerodus_gouldii,1.124464e+01,3.024217e+04,2.000000e-01,2.700000e-04,7.639097e+03,2.000000e+04,9.325997e+02,2.913500e+02,True,2.910608e+02,9.677923e-01,2.102200e-02,1.648512e+01,1.185248e-02,9.801152e+05,9.512976e-04,1.000000e+00,1.185248e-02,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,test
Achoerodus_viridis,2.195824e+00,1.277500e+04,2.000000e-01,2.483333e-04,7.000000e+01,3.600000e+03,9.589041e+03,2.931500e+02,True,1.482770e+02,5.221600e-01,9.942058e-02,5.703753e+00,3.066671e-01,3.104857e+05,3.239638e-04,1.000000e+00,3.066671e-01,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True,train
Achondrostoma_arcasii,2.729620e+01,8.204918e+03,2.000000e-01,9.000000e-04,7.600000e-01,1.620000e+02,7.379720e+00,2.881500e+02,True,1.063225e+02,9.768049e-01,2.490000e-02,2.053684e+01,5.836847e-02,1.642727e+02,2.000000e-03,1.130436e+00,8.448976e-02,False,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True,val
Acipenser_baerii,4.445217e+01,3.917359e+04,2.000000e-01,9.200000e-03,9.000000e+03,8.530000e+04,5.870025e+02,2.881500e+02,False,6.547880e+02,6.993743e-01,1.378367e-02,2.116891e+01,2.005674e+00,2.832522e+06,2.000000e-03,1.000000e+00,2.005674e+00,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,val
Acipenser_gueldenstaedtii,1.312793e+01,2.285656e+04,2.000000e-01,5.102457e-02,1.164501e+04,1.150000e+05,3.646501e+02,2.881500e+02,False,1.572547e+04,6.496756e-01,3.867588e-02,9.794935e+02,1.006366e+00,2.500275e+08,2.000000e-03,1.000000e+00,1.006366e+00,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,val
Acipenser_medirostris,3.899034e+01,4.269442e+04,2.000000e-01,4.310000e-02,2.719060e+04,1.170000e+05,3.400913e+02,2.861500e+02,False,8.892783e+02,4.736535e-01,6.287883e-02,1.444590e+01,5.706990e+01,3.619272e+07,2.000000e-03,1.000000e+00,5.706990e+01,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,True,train
Acipenser_persicus,1.367098e+01,1.423500e+04,2.000000e-01,1.126461e-01,2.800000e+04,7.000000e+04,3.013000e+02,2.931500e+02,False,5.620731e+02,5.657069e-01,4.375926e-02,1.232684e+01,5.233363e+01,3.613017e+07,2.000000e-03,1.000000e+00,5.233363e+01,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,test
Acipenser_ruthenus,1.284527e+01,2.254813e+04,2.000000e-01,1.400000e-03,2.920000e+02,6.400000e+03,1.842797e+02,2.881500e+02,False,2.214455e+02,7.804004e-01,5.178919e-02,1.187580e+01,9.867773e-01,2.740370e+05,2.000000e-03,1.000000e+00,9.867773e-01,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,test
Acipenser_stellatus,1.097912e+01,9.245404e+03,2.000000e-01,4.381668e-02,1.298272e+04,8.000000e+04,2.465000e+02,2.911500e+02,False,1.007396e+04,6.273469e-01,2.436566e-02,6.829120e+02,7.362286e-01,1.501183e+08,2.000000e-03,1.000000e+00,7.362286e-01,False,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,train
Acipenser_sturio,1.929895e+01,7.032787e+04,2.000000e-01,1.242000e-02,1.242000e+04,4.600000e+05,9.341958e+02,2.931500e+02,False,2.035203e+02,5.822098e-01,8.959277e-02,1.762110e+00,4.694868e+01,1.552973e+07,2.000000e-03,1.000000e+00,4.694868e+01,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,test
Acipenser_transmontanus,3.070489e+01,7.684996e+04,2.000000e-01,2.240000e-02,3.391074e+04,8.160000e+05,2.810672e+02,2.861500e+02,False,9.727199e+02,4.500000e-01,6.047259e-02,7.779984e+00,2.858884e+01,8.489418e+07,4.226678e-04,1.000000e+00,2.858884e+01,False,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,True,val
Acridotheres_cristatellus,3.062175e+00,5.326795e+02,2.800000e-01,6.900000e+00,1.106750e+02,1.165000e+02,9.574237e-02,3.147500e+02,False,3.022805e+03,9.113524e-01,3.070824e-02,1.419058e+03,6.627609e+02,1.624025e+04,5.732456e-02,1.000000e+00,6.627609e+02,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,test
Acridotheres_tristis,3.572537e+00,2.663398e+02,2.800000e-01,4.200000e+00,1.073500e+02,1.130000e+02,3.041228e-01,3.147500e+02,False,1.787919e+03,8.984579e-01,2.833723e-02,7.368904e+02,7.686645e+02,2.221950e+04,3.017529e-02,1.000000e+00,7.686645e+02,False,True,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,False,True,test
Acrocephalus_arundinaceus,2.858030e+00,4.483386e+02,2.800000e-01,2.000000e+00,2.441500e+01,2.570000e+01,1.126381e-01,3.147500e+02,False,2.529971e+03,9.543076e-01,2.288269e-02,2.149643e+03,1.022930e+02,1.295986e+03,8.808643e-02,1.000000e+00,1.022930e+02,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True,train
