species,ab,am,d_V,Wwb,Wwp,Wwi,Ri,T_typical,metamorphosis,p_Am,kap,v,p_M,E_Hb,E_Hp,k_J,s_M,E_Hbj,class_other,class_Aves,class_Actinopterygii,class_Reptilia,class_Chondrichthyes,class_Amphibia,class_Mammalia,class_Bivalvia,class_Branchiopoda,class_Malacostraca,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C
Thalassarche_chrysostoma,1.497807e+01,2.515592e+03,2.800000e-01,1.870000e+02,4.750000e+03,5.000000e+03,1.876298e-02,3.127500e+02,False,3.343785e+03,9.322571e-01,1.726418e-02,5.729581e+02,8.849133e+03,2.572881e+05,2.349727e-02,1.000000e+00,8.849133e+03,False,True,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,True
Hynobius_quelpaertensis,5.619807e+01,5.860656e+03,2.800000e-01,1.110000e-02,1.757849e+00,2.410000e+00,5.209660e-01,2.881500e+02,False,1.232029e+02,4.907387e-01,3.712374e-02,5.109823e+01,5.490486e+01,1.132485e+04,2.000000e-03,1.000000e+00,5.490486e+01,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,True,False,False,True,False,False,False,False,True
Astyanax_mexicanus,2.199167e+00,3.210784e+03,2.000000e-01,4.000000e-04,1.971465e+00,1.680000e+01,5.606108e+00,2.971500e+02,True,8.499381e+01,9.933912e-01,2.277943e-02,4.912913e+01,7.696666e-03,1.170900e+02,2.000000e-03,1.221554e+00,1.418343e-02,False,False,True,False,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True
Butastur_rufipennis,6.430567e+00,1.952171e+03,2.800000e-01,3.900000e+01,3.515000e+02,3.700000e+02,3.893101e-02,3.131500e+02,False,3.531232e+03,9.296432e-01,2.556944e-02,1.280082e+03,2.698872e+03,2.536023e+04,5.276909e-02,1.000000e+00,2.698872e+03,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True
Chioglossa_lusitanica,1.650608e+02,5.860656e+03,2.800000e-01,1.440000e-01,1.290000e+00,3.410000e+00,2.900699e-02,2.911500e+02,False,1.402094e+02,6.139183e-01,2.467852e-01,5.715123e+01,4.797684e+02,1.047607e+04,2.000000e-03,1.000000e+00,4.797684e+02,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,False,False,True
Pteroglossus_viridis,3.266320e+00,7.192549e+02,2.800000e-01,8.000000e+00,1.282500e+02,1.350000e+02,6.882122e-02,3.149500e+02,False,1.355603e+03,8.483705e-01,4.360504e-02,3.995783e+02,2.992048e+03,9.927754e+04,1.645085e-02,1.000000e+00,2.992048e+03,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,True
Aerodramus_bartschi,4.695335e+00,1.291929e+03,2.800000e-01,1.110000e+00,7.799500e+00,8.210000e+00,1.633323e-02,3.112500e+02,False,4.017493e+01,9.613057e-01,4.085182e-02,2.004939e+01,3.057588e+02,1.618386e+03,8.219373e-04,1.000000e+00,3.057588e+02,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Ardea_alba,4.695335e+00,1.118849e+03,2.800000e-01,3.500000e+01,9.500000e+02,1.000000e+03,1.222685e-01,3.136500e+02,False,2.830885e+03,8.591220e-01,3.889461e-02,5.610863e+02,7.146513e+03,2.977883e+05,2.288839e-02,1.000000e+00,7.146513e+03,False,True,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,False,False,False,False,False,False,False,True
Trematomus_nicolai,4.867781e+02,5.947881e+04,2.000000e-01,4.200000e-03,1.473000e+02,6.248000e+02,2.843029e+00,2.717500e+02,True,3.311697e+02,5.033602e-01,4.560932e-02,2.794227e+01,8.074075e+00,5.057238e+05,2.000000e-03,1.056697e+00,9.542150e+00,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True
Caretta_caretta_MED,2.873589e+01,6.163285e+01,2.800000e-01,1.559000e+01,5.200000e+04,8.700000e+04,5.241823e-01,2.941500e+02,False,8.950190e+02,7.334300e-01,7.213700e-02,1.350470e+01,2.232000e+04,5.858000e+07,1.522700e-03,1.000000e+00,2.232000e+04,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,True
Streptocephalus_vitreus,1.250000e+00,3.000000e+01,1.700000e-01,5.882353e-06,2.588235e-03,7.647059e-03,1.050000e+01,2.931500e+02,True,1.797926e+02,9.881697e-01,4.090894e-02,8.740149e+03,2.849449e-04,3.444236e-01,2.000000e-03,7.606781e+00,3.399326e-01,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False
Threskiornis_aethiopicus,5.103625e+00,1.799147e+03,2.800000e-01,3.950000e+01,1.353275e+03,1.424500e+03,4.606628e-02,3.137500e+02,False,8.511740e+03,9.827542e-01,2.234928e-02,2.913096e+03,2.516979e+02,7.847928e+03,1.191699e-01,1.000000e+00,2.516979e+02,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,False,False,False,True
Pseudochaenichthys_georgianus,4.472977e+02,5.442122e+04,2.000000e-01,4.500000e-02,1.300000e+03,2.800000e+03,6.599631e+00,2.730500e+02,True,5.582854e+02,7.272447e-01,1.315028e-01,2.261183e+02,5.022185e+01,7.504336e+06,2.000000e-03,6.309737e+00,1.445776e+04,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True
Trygonoptera_personata,2.788574e+02,4.854030e+03,2.000000e-01,7.560000e+01,5.323062e+02,1.316010e+03,3.955476e-03,2.951500e+02,False,1.889523e+02,8.339940e-01,2.735853e-02,1.951028e+01,3.655235e+04,3.309894e+05,2.000000e-03,1.000000e+00,3.655235e+04,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True
Gambusia_holbrooki,1.800447e+01,5.476360e+02,2.000000e-01,3.100000e-03,7.374986e-02,7.300000e+00,2.739045e+00,3.006500e+02,True,3.680964e+01,8.391263e-01,2.257802e-02,1.776088e+01,2.363820e+00,6.380611e+01,2.000000e-03,1.029134e+00,2.582478e+00,False,False,True,False,False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True
Hyperoglyphe_antarctica,4.374281e+01,7.096055e+04,2.000000e-01,2.200000e-04,5.129677e+03,4.000000e+04,1.397960e+03,2.847500e+02,True,1.101044e+02,9.750334e-01,2.310200e-02,2.054835e+01,1.432819e-02,4.988437e+05,2.000000e-03,5.168342e+00,1.985871e+00,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,True
Urotrygon_aspidura,8.763275e+01,1.747866e+03,2.000000e-01,1.690028e+01,1.352022e+02,7.455000e+02,1.287284e-02,2.980500e+02,False,1.687307e+02,9.147612e-01,3.556679e-02,2.128226e+01,5.385465e+03,5.085958e+04,2.000000e-03,1.000000e+00,5.385465e+03,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True
