species,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hj,E_Hx,E_Hp,family,order,class,phylum,climate,ecozone,habitat,embryo,migrate,food,gender,reprod,ab,ah,aj,ax,ap,am,tg,tb,tj,tx,tp,Wwb,Wwj,Wwx,Wwp,Wwi,Lb,Lj,Lx,Lp,Li,d_V,Ri,T_typical,t_0,model,metamorphosis,weaning,foetus
Abramis_brama,4.010921e+02,6.636700e-01,1.641600e-02,2.334840e+01,5.228964e+03,4.116000e-08,5.484000e-01,5.485000e-01,,2.366000e+05,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,Cfb Dfb,THp,0iFr 0iFl,Fs Fh,Mp,biCi biHl,D,O,1.568040e+01,,,,1.336452e+03,6.603860e+03,,,,,1.320772e+03,2.800000e-03,,,3.190000e+02,6.050000e+03,,,,2.700000e+01,7.200000e+01,2.000000e-01,2.271399e+03,2.911500e+02,,abj,True,False,False
Achoerodus_viridis,1.481794e+02,5.215400e-01,9.932900e-02,5.697500e+00,5.238883e+03,2.801000e-10,3.065000e-01,3.066000e-01,,3.105000e+05,Labridae,Labriformes,Actinopterygii,Chordata,MB,MPSW,0jMp jiMr,Mp,,bjPz jiCi jiCvf,Hsff,O,2.195824e+00,,,,1.095000e+03,1.277500e+04,,,,,,2.604167e-04,,,7.000000e+01,3.600000e+03,3.000000e-01,,,2.000000e+01,7.200000e+01,2.000000e-01,9.589041e+03,2.931500e+02,,abj,True,False,False
Actinonaias_ligamentina,3.595064e+01,9.833500e-01,3.880600e-03,1.486380e+01,2.354299e+03,9.080000e-10,3.811000e-06,9.108000e-06,,5.763000e+01,Unionidae,Unionoida,Bivalvia,Mollusca,Cfa Dfa,THn,0jFp jiFr jiFl,Fbb,,bjTvf jiPp,D,O,2.247923e+01,,,,2.201147e+03,1.567927e+04,,,,,2.178667e+03,5.300000e-07,,,2.500000e+01,1.017000e+03,2.540000e-02,,,5.850000e+00,1.840000e+01,9.000000e-02,2.663704e+03,2.881500e+02,7.985400e+00,abj,True,False,False
Aegopinella_epipedostoma,2.732214e+01,9.691700e-01,1.209900e-02,1.540150e+02,3.917341e+03,2.736000e-07,5.540000e-02,1.641000e+00,,2.305000e+01,Gastrodontidae,Pulmonata,Gastropoda,Mollusca,Dfb,THp,0iTf,Thl,,biCi biSi,Hh,O,3.015461e+01,,,,3.437626e+02,8.805146e+02,,,,,3.136080e+02,5.128976e-04,,,,1.666667e-01,1.600000e-01,,,,1.100000e+00,1.500000e-01,4.542798e-02,2.946500e+02,0.000000e+00,abj,True,False,False
Aequipecten_opercularis,1.474086e+01,9.999700e-01,1.666900e-02,3.878750e+01,2.347980e+03,3.605000e-08,9.004000e-09,1.239000e-05,,6.447000e-01,Pectinidae,Pectinida,Bivalvia,Mollusca,MC,MAN MAE,0jMp jiMb,Mp,,biPp,Hh,O,3.211318e+00,,5.564372e+01,,9.601026e+02,9.568913e+03,,,5.243240e+01,,9.568913e+02,1.640000e-07,,,,1.070000e+02,,,,,9.000000e+00,9.000000e-02,6.270305e+03,2.831500e+02,,abj,True,False,False
Aglaoctenus_lagotis,7.909392e+00,8.572700e-01,6.203500e-03,2.514550e+01,4.434828e+03,3.764300e-07,1.546600e-01,4.930900e+00,,7.555950e+01,Lycosidae,Araneae,Arachnida,Arthropoda,A,TN,0jTf 0jTg 0iTi,Tnsf,,biCi,D,O,1.249986e+01,,,,1.597808e+02,2.336930e+02,,,,,1.472810e+02,2.670000e-04,,,9.700000e-02,7.200000e-01,6.200000e-02,,,4.430000e-01,8.600000e-01,1.700000e-01,5.081105e+00,2.998500e+02,,abj,True,False,False
Alburnoides_bipunctatus,1.378967e+02,6.917900e-01,5.974200e-02,3.338310e+01,5.178930e+03,5.777000e-08,3.590000e+00,3.591000e+00,,3.314000e+04,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,Cfb Dfb,THp,0iFr,Fg,Mp,biCii biSii,D,O,1.458659e+01,,,,1.611818e+03,3.194463e+03,,,,,1.597231e+03,3.100000e-03,,,,3.000000e+01,,,,,1.600000e+01,2.000000e-01,9.391251e+00,2.891500e+02,,abj,True,False,False
Alburnoides_eichwaldii_Kaboudval,4.605304e+03,6.983100e-01,1.211000e-02,4.724029e+03,5.223889e+03,5.728000e-07,1.775000e-01,1.776000e-01,,8.525000e+04,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,BWk BSk,THp,0iFr,Fg,Mp,biCii biSii,D,O,1.458659e+01,4.375976e+00,,,1.079407e+03,1.597231e+03,,,,,1.064821e+03,3.100000e-03,,,1.265004e+01,3.038107e+01,5.000000e-01,,,7.990000e+00,1.070000e+01,2.000000e-01,2.028510e+01,2.881500e+02,,abj,True,False,False
Alburnoides_eichwaldii_ShirAbad,2.519955e+03,7.259200e-01,1.539000e-02,2.094754e+03,5.238099e+03,4.175000e-07,2.566000e-01,2.675000e-01,,8.856000e+04,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,BWk BSk,THp,0iFr,Fg,Mp,biCii biSii,D,O,1.325994e+01,3.977981e+00,,,9.812354e+02,1.451963e+03,,,,,9.679754e+02,3.100000e-03,,,1.544633e+01,4.808959e+01,5.000000e-01,,,8.540000e+00,1.247000e+01,2.000000e-01,1.375273e+01,2.881500e+02,,abj,True,False,False
Alburnoides_eichwaldii_Tajan,6.140524e+02,9.090700e-01,2.711200e-02,2.195715e+02,5.225819e+03,1.275000e-06,2.330000e-01,2.331000e-01,,1.239000e+04,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,BWk BSk,THp,0iFr,Fg,Mp,biCii biSii,D,O,1.605659e+01,4.816977e+00,,,1.188188e+03,1.758197e+03,,,,,1.172131e+03,3.100000e-03,,,1.046250e+01,1.218424e+02,5.000000e-01,,,7.500000e+00,1.700000e+01,2.000000e-01,1.109091e+01,2.881500e+02,,abj,True,False,False
Alburnoides_eichwaldii_ZarrinGol,7.612278e+01,9.785800e-01,9.985700e-02,3.424930e+01,5.203402e+03,3.034000e-07,2.734000e-01,3.878000e-01,,6.513000e+02,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,BWk BSk,THp,0iFr,Fg,Mp,biCii biSii,D,O,1.605659e+01,4.816977e+00,,,1.188188e+03,1.758197e+03,,,,,1.172131e+03,3.100000e-03,,,1.418032e+01,3.972000e+01,5.000000e-01,,,8.300000e+00,1.170000e+01,2.000000e-01,1.390629e+02,2.881500e+02,,abj,True,False,False
Alburnus_baliki,1.021669e+02,4.780100e-01,6.936600e-02,1.473340e+01,5.237996e+03,1.083000e-08,1.570000e+01,1.571000e+01,,2.901000e+04,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,Csa,THp,0iFr,Fg,Mp,biCii biSii,D,O,1.097912e+01,,,,8.124549e+02,3.205903e+03,,,,,8.014757e+02,3.800000e-03,,,2.724607e+00,4.400000e+01,,,,6.330000e+00,1.600000e+01,2.000000e-01,1.247698e+01,2.921500e+02,,abj,True,False,False
Alosa_pseudoharengus,3.457517e+02,5.133700e-01,2.482100e-02,4.475280e+01,5.219774e+03,4.315000e-08,8.154000e-01,2.107000e+00,,7.945000e+05,Clupeidae,Clupeiformes,Actinopterygii,Chordata,Cfa Dfa Dwa MC,THn MAW,piMpe 0iFr,Fg,Mda,biPz,D,O,3.397861e-03,,,,2.807132e+03,4.355889e+03,,,,,2.807129e+03,6.900000e-04,,,1.061944e+03,1.700000e+03,,,,2.650000e+01,3.100000e+01,2.000000e-01,7.438205e+02,2.901500e+02,,abj,True,False,False
Alosa_sapidissima,1.772710e+03,6.287000e-01,3.018000e-02,3.315000e+02,5.214000e+03,1.713000e-08,7.810000e-01,5.496000e+00,,7.224000e+06,Clupeidae,Clupeiformes,Actinopterygii,Chordata,MB MC Cfa Dfa,MAW THn,piMpe 0bFr piFr,Fg,Mda,biPz,D,O,1.367859e+01,,,,2.275629e+03,7.395794e+03,,,,,,5.978459e-03,,,6.520293e+02,3.600000e+03,9.000000e-01,,,4.300000e+01,7.600000e+01,2.000000e-01,1.054653e+03,2.881500e+02,,abj,True,False,False
Amblygaster_sirm,6.382882e+02,9.506300e-01,2.378600e-02,3.288580e+02,5.231409e+03,3.361000e-09,1.356000e-02,6.364000e-02,,6.247000e+04,Clupeidae,Clupeiformes,Actinopterygii,Chordata,MA,MI MPSW,0iMpe 0iMr,Mpe,Mo,biPz,D,O,1.898303e+00,,,,2.309602e+02,1.847682e+03,,,,,,3.200000e-04,,,3.360768e+01,1.960000e+02,,,,1.500000e+01,2.700000e+01,2.000000e-01,5.758568e+02,2.981500e+02,,abj,True,False,False
Amphiura_filiformis,1.439180e+01,9.914600e-01,3.039900e-02,4.150950e+01,2.347901e+03,3.000000e-09,8.849000e-06,1.268000e-03,,1.770000e+02,Amphiuridae,Ophiurida,Ophiuroidea,Echinodermata,MC,MANE,0jMcp jiMb,Mp,,biP bjB biD,D,O,3.537313e+00,2.652984e+00,3.006716e+01,,3.964987e+03,3.304156e+04,,,,,,5.236000e-07,4.260553e-05,,4.775600e+00,5.846500e+00,7.500000e-03,3.250000e-02,,1.380000e-01,2.900000e-01,9.000000e-02,5.022548e+02,2.841500e+02,,abj,True,False,False
Anarhichas_denticulatus,4.216785e+02,7.329700e-01,1.713100e-02,2.302769e+02,5.224999e+03,2.594900e-07,5.147370e+01,1.314915e+05,,6.924138e+06,Anarhichadidae,Perciformes,Actinopterygii,Chordata,EF,MN,0bMcb bpMp piMd,Mnm,Mo,bjPz jiCi,D,O,1.609634e+03,,,,1.175033e+04,3.133420e+04,,,,,,9.740981e-02,,,6.234228e+03,3.200000e+04,2.000000e+00,,,8.000000e+01,1.380000e+02,2.000000e-01,2.170153e+01,2.761500e+02,,abj,True,False,False
Anarhichas_minor,3.556813e+01,7.430300e-01,7.355100e-03,2.005630e+01,5.244123e+03,5.694000e-09,8.774000e+01,5.758000e+05,,8.836000e+05,Anarhichadidae,Perciformes,Actinopterygii,Chordata,EF,MN MAN,0bMcb bpMp piMd,Mnm,Mo,bjPz jiCi,D,O,3.886813e+02,,,,3.310269e+03,9.930808e+03,,,,,,8.700000e-02,,,7.960000e+02,2.790000e+04,2.250000e+00,,,5.500000e+01,1.800000e+02,2.000000e-01,7.443503e+01,2.766500e+02,,abj,True,False,False
Aphanopus_carbo,3.429957e+03,9.707500e-01,2.026600e-02,1.877965e+03,5.232559e+03,1.120000e-07,2.854000e-03,4.725000e-02,,6.399000e+04,Trichiuridae,Scombriformes,Actinopterygii,Chordata,MB MC,MANE,0iMp,Mp,Mo,bjPz jiCi jiCvf,D,O,2.941349e+00,,,,9.763851e+03,1.746559e+04,,,,,9.760909e+03,5.200000e-04,,,4.999618e+02,3.362000e+03,,,,8.000000e+01,1.510000e+02,2.000000e-01,1.603152e+02,2.816500e+02,,abj,True,False,False
Archosargus_probatocephalus,1.808545e+02,9.942500e-01,8.384900e-02,2.311420e+01,5.220953e+03,1.102000e-09,5.952000e-03,1.091000e-01,,1.828000e+04,Sparidae,Spariformes,Actinopterygii,Chordata,MA MB,MAW MAg,bjMp jiMd,Mp,,bjPz jiCi,Hsm,O,1.010302e+00,,,,4.572603e+02,7.300000e+03,,,,,4.562500e+02,2.680000e-04,,,6.980000e+02,1.275000e+04,,,,3.500000e+01,9.100000e+01,2.000000e-01,3.872609e+02,2.931500e+02,,abj,True,False,False
Argopecten_purpuratus,5.186611e+01,9.719000e-01,3.876000e-02,5.168000e+01,2.374000e+03,5.544000e-08,2.859000e-06,4.535000e-04,,7.557000e+01,Pectinidae,Pectinida,Bivalvia,Mollusca,MB,MPE,0jMp jiMb,Mp,,biPp,D,O,4.839344e+00,,3.387541e+01,,9.289326e+01,2.678307e+03,,,2.903606e+01,,8.805392e+01,1.482222e-06,1.088889e-05,,1.777778e+00,2.137778e+02,1.000000e-02,3.880000e-02,,2.000000e+00,1.100000e+01,9.000000e-02,6.084888e+05,2.891500e+02,,abj,True,False,False
