species,ab,ap,am,d_V,Wwb,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,h_a,E_Hb,E_Hp
Phoenicopterus_ruber,5.472348e+00,7.093394e+00,2.366727e+03,2.800000e-01,9.400000e+01,2.200000e+03,1.859107e-02,3.126500e+02,False,False,1.528734e+04,9.968500e-01,2.228200e-02,5.589694e+03,9.746000e-33,6.199000e+02,2.421000e+03
Peromyscus_melanocarpus,2.890152e+01,4.727182e+01,1.059825e+02,3.000000e-01,4.500000e+00,4.600000e+01,4.257619e-02,3.097500e+02,False,True,2.516947e+03,9.743600e-01,2.889300e-02,1.638547e+03,2.573000e-08,3.262000e+02,1.971000e+04
Circus_cyaneus,1.262288e+01,1.737526e+01,8.016757e+02,2.800000e-01,1.980000e+01,5.300000e+02,1.066516e-01,3.141500e+02,False,False,1.174687e+04,9.925700e-01,2.743100e-02,5.808304e+03,1.738000e-13,2.838000e+02,2.295000e+04
Haematopus_bachmani,5.833665e+00,1.032916e+01,2.015910e+03,2.800000e-01,3.250000e+01,5.484000e+02,5.759187e-02,3.141500e+02,False,False,1.982287e+03,9.933300e-01,9.282000e-02,3.908194e+02,3.684000e-16,7.852000e+02,2.601000e+04
Perdix_perdix,4.899480e+00,6.747602e+00,2.505526e+02,2.800000e-01,9.250000e+00,3.860000e+02,3.320660e-01,3.138500e+02,False,False,3.431389e+03,9.886800e-01,7.034000e-02,9.543832e+02,2.699000e-11,2.604000e+02,6.537000e+03
Molothrus_rufoaxillaris,2.245595e+00,6.623783e+00,3.995097e+02,2.800000e-01,3.300000e+00,4.800000e+01,3.829695e-01,3.147500e+02,False,False,4.020508e+03,9.132400e-01,2.903400e-02,2.790249e+03,7.098000e-13,2.373000e+02,3.607000e+03
Pica_pica,4.287045e+00,1.450282e+01,9.632622e+02,2.800000e-01,7.000000e+00,1.850000e+02,1.351657e-01,3.147500e+02,False,False,1.515675e+03,9.548800e-01,2.929500e-02,5.282844e+02,1.194000e-12,5.325000e+02,1.793000e+04
Chiropodomys_gliroides,7.024229e+00,2.965494e+01,2.944233e+02,3.000000e-01,2.800000e+00,2.900000e+01,5.380009e-02,3.101500e+02,False,True,1.302935e+03,9.626100e-01,2.724900e-02,8.066751e+02,8.808000e-10,3.234000e+02,2.094000e+04
Steatornis_caripensis,4.803469e+00,2.056485e+01,2.191583e+03,2.800000e-01,1.400000e+01,4.150000e+02,5.475495e-02,3.120500e+02,False,False,3.457981e+03,9.884700e-01,2.542400e-02,6.078045e+02,9.999000e-13,3.636000e+02,3.775000e+04
Pomacentrus_amboinensis,1.853940e+00,1.362646e+02,1.015032e+03,2.000000e-01,2.900000e-03,3.830000e+01,1.837183e+01,3.016500e+02,True,False,7.437422e+01,9.845300e-01,5.498100e-02,7.275800e+01,7.773000e-10,1.299000e-01,3.826000e+02
Millardia_meltada,1.481073e+01,2.470604e+01,9.657829e+01,3.000000e-01,2.400000e+00,6.600000e+01,3.322452e-01,3.116500e+02,False,True,6.132701e+03,9.647300e-01,2.635500e-02,4.706388e+03,1.229000e-08,1.587000e+02,2.603000e+04
Rhynchophanes_mccownii,2.449740e+00,6.098230e+00,2.663398e+02,2.800000e-01,2.030000e+00,2.540000e+01,1.576933e-01,3.147500e+02,False,False,1.252346e+03,9.653000e-01,3.780900e-02,7.483992e+02,6.437000e-12,1.559000e+02,2.361000e+03
Cinnyris_talatala,2.653885e+00,7.944195e+00,4.438996e+02,2.800000e-01,1.400000e+00,7.100000e+00,6.758285e-02,3.147500e+02,False,False,8.101826e+02,9.029900e-01,3.435900e-02,6.270027e+02,7.347000e-14,4.362000e+02,3.649000e+03
Epomops_buettikoferi,1.726599e+02,2.232259e+02,2.198651e+03,3.000000e-01,5.000000e+01,1.210000e+02,1.983034e-02,3.076500e+02,False,True,8.976074e+02,6.496500e-01,3.076200e-02,2.001478e+02,1.906000e-15,9.938000e+04,7.724000e+05
Elephas_maximus,1.782020e+02,9.923196e+02,5.921362e+03,3.000000e-01,1.070000e+05,3.178000e+06,2.212329e-03,3.089500e+02,False,True,1.521906e+03,9.455300e-01,2.756100e-02,2.040630e+01,2.801000e-12,6.793000e+06,1.312000e+08
Rhacophorus_moltrechti,6.327677e+00,6.422592e+01,5.081125e+03,2.800000e-01,3.600000e-02,6.400000e+00,2.597850e+00,2.981500e+02,False,False,1.978545e+03,7.555900e-01,3.145800e-02,1.769864e+03,5.069000e-10,1.644000e+01,2.134000e+04
Anaxyrus_fowleri,3.163838e+00,1.761361e+03,2.109836e+04,2.800000e-01,4.200000e-03,5.830000e+01,1.450350e+01,2.881500e+02,False,False,1.673745e+03,6.044700e-01,2.526500e-02,5.792893e+02,5.443000e-10,2.081000e+00,4.279000e+05
Chlamydochaera_jefferyi,2.960102e+00,9.454415e+00,4.438996e+02,2.800000e-01,4.000000e+00,5.100000e+01,4.505523e-02,3.147500e+02,False,False,1.321348e+03,9.702900e-01,4.295800e-02,6.229184e+02,2.530000e-12,3.005000e+02,5.452000e+03
Amazona_agilis,4.244432e+00,1.304770e+01,2.811543e+03,2.800000e-01,1.400000e+01,2.122500e+02,5.054164e-02,3.119500e+02,False,False,8.906697e+02,9.870300e-01,8.623000e-02,2.049130e+02,2.803000e-21,8.529000e+02,2.401000e+04
Ovis_ammon,1.444543e+02,2.275693e+02,9.786119e+02,3.000000e-01,3.400000e+03,7.000000e+04,1.328412e-02,3.111500e+02,False,True,3.728148e+03,8.990800e-01,2.773400e-01,1.188597e+02,8.126000e-18,1.847000e+06,1.362000e+08
Pelophylax_ridibundus,8.000000e+00,1.766197e+03,6.446721e+03,2.800000e-01,6.300000e-03,8.000000e+01,1.166252e+01,2.881500e+02,False,False,3.726137e+02,5.148400e-01,6.940400e-02,5.441860e+01,1.385000e-08,2.042000e+01,2.315000e+05
Pygoscelis_papua,7.281006e+00,1.974517e+01,7.885658e+02,2.800000e-01,1.270000e+02,5.715000e+03,3.297125e-02,3.113500e+02,False,False,1.484351e+04,9.975100e-01,1.000000e-01,2.390390e+03,1.929000e-12,5.768000e+02,2.148000e+05
Sialia_currucoides,2.653885e+00,9.950865e+00,3.995097e+02,2.800000e-01,3.140000e+00,2.960000e+01,2.252762e-01,3.147500e+02,False,False,6.464288e+02,8.362300e-01,6.135900e-02,2.411506e+02,2.684000e-13,2.440000e+03,4.323000e+04
Acrocephalus_palustris,2.347667e+00,6.725855e+00,4.350216e+02,2.800000e-01,1.200000e+00,1.260000e+01,9.912151e-02,3.147500e+02,False,False,1.204669e+03,9.543100e-01,3.446800e-02,9.159652e+02,4.759000e-12,1.328000e+02,1.868000e+03
Dama_dama,1.490263e+02,2.448126e+02,1.934373e+03,3.000000e-01,3.000000e+03,5.000000e+04,1.395801e-02,3.117500e+02,False,True,9.023231e+02,9.308400e-01,1.670300e-01,2.716600e+01,2.248000e-12,1.207000e+06,2.000000e+07
Fregata_minor,1.021505e+01,2.737619e+01,2.071877e+03,2.800000e-01,1.000000e+02,1.460000e+03,2.075413e-02,3.138500e+02,False,False,2.244761e+04,9.934800e-01,3.215700e-02,9.499999e+03,9.948000e-18,1.327000e+03,2.634000e+05
Thripadectes_holostictus,3.062175e+00,1.072400e+01,6.658494e+02,2.800000e-01,5.000000e+00,4.560000e+01,2.252762e-02,3.147500e+02,False,False,1.377552e+03,9.682500e-01,4.231400e-02,6.789244e+02,3.167000e-13,3.875000e+02,5.413000e+03
Physeter_macrocephalus,1.638703e+02,8.755628e+02,6.845352e+03,3.000000e-01,1.000000e+06,1.400000e+07,2.249702e-03,3.091500e+02,False,True,2.726324e+03,9.145400e-01,7.288100e-02,1.892600e+01,3.107000e-13,1.113000e+08,1.455000e+09
Pterodroma_hypoleuca,8.951822e+00,2.327474e+01,2.012728e+03,2.800000e-01,3.900000e+01,3.600000e+02,1.530262e-02,3.105500e+02,False,False,2.385547e+03,9.923100e-01,7.198800e-02,5.972956e+02,8.321000e-14,1.128000e+03,5.057000e+04
Ardeola_idae,4.939861e+00,1.031879e+01,8.068388e+02,2.800000e-01,2.150000e+01,2.530000e+02,5.391412e-02,3.126500e+02,False,False,1.842841e+04,9.916200e-01,2.418500e-02,1.400090e+04,3.136000e-12,4.476000e+02,2.050000e+04
Antigone_vipio,6.130362e+00,1.644611e+01,2.420516e+03,2.800000e-01,1.163000e+02,4.663000e+03,3.718215e-02,3.126500e+02,False,False,6.342094e+03,9.951600e-01,4.000000e-02,1.112847e+03,8.289000e-15,1.063000e+03,7.644000e+04
Hemicentetes_semispinosus,5.320903e+01,1.061891e+02,2.610595e+02,3.000000e-01,1.150000e+01,1.800000e+02,8.273977e-02,3.081500e+02,False,True,1.006365e+03,8.674800e-01,5.147200e-02,2.447371e+02,5.237100e-10,6.428228e+03,4.573754e+05
Desmognathus_quadramaculatus,7.867730e+01,1.485235e+03,8.790984e+03,2.800000e-01,4.770000e-02,1.460000e+01,3.839161e-02,2.881500e+02,False,False,6.387905e+01,8.797300e-01,4.934100e-02,2.347970e+01,5.217000e-09,3.939000e+01,1.833000e+03
Poospiza_ornata,2.041450e+00,5.179151e+00,3.995097e+02,2.800000e-01,1.590000e+00,1.180000e+01,7.659389e-02,3.147500e+02,False,False,8.744403e+02,9.718700e-01,5.193500e-02,5.694467e+02,9.958000e-13,1.553000e+02,1.610000e+03
Cirrhinus_cirrhosus,2.421747e+00,3.559969e+02,4.419689e+03,2.000000e-01,5.236000e-04,1.270000e+04,5.656507e+03,3.011500e+02,True,False,1.193913e+02,9.073800e-01,1.981700e-02,1.688460e+01,2.051000e-10,1.215000e-01,6.265000e+05
Anaxyrus_boreas,3.483537e+00,1.356553e+03,4.197500e+03,2.800000e-01,4.200000e-03,9.290000e+01,1.424658e+01,2.881500e+02,False,False,5.642755e+02,7.936500e-01,4.611100e-02,1.408249e+02,3.977000e-09,2.829000e+00,3.541000e+05
Podocnemis_expansa,2.336503e+01,1.085676e+03,4.886631e+03,3.000000e-01,9.183351e+00,9.000000e+04,5.177391e-01,3.001500e+02,False,False,5.305070e+02,9.204600e-01,4.709400e-02,1.478000e+01,5.629000e-10,8.845000e+03,1.332000e+07
Urocitellus_columbianus,2.158897e+01,1.142956e+02,5.562398e+02,3.000000e-01,7.000000e+00,4.800000e+02,7.550700e-02,3.086500e+02,False,True,8.750139e+03,9.782900e-01,5.398900e-02,3.050668e+03,2.029000e-10,1.997000e+02,6.238000e+05
Dryomys_nitedula,1.626453e+01,9.472292e+01,3.216794e+02,3.000000e-01,1.730000e+00,5.600000e+01,4.588419e-02,3.106500e+02,False,True,1.819465e+03,9.364200e-01,1.765200e-02,1.104846e+03,8.246000e-10,2.109000e+02,1.216000e+05
Chlidonias_hybrida,8.214891e+00,1.078375e+01,9.845140e+02,2.800000e-01,1.300000e+01,1.000000e+02,6.399096e-02,3.141500e+02,False,False,1.468866e+04,9.948900e-01,1.228900e-01,8.435467e+03,5.516000e-14,2.320000e+02,1.339000e+04
Otonyctomys_hatti,2.803399e+01,4.308081e+01,3.922920e+02,3.000000e-01,3.600000e+00,3.100000e+01,1.937332e-01,3.106500e+02,False,True,4.875966e+03,9.290900e-01,3.836800e-02,3.769836e+03,2.235000e-18,7.111000e+02,8.408000e+04
Bufotes_viridis,1.000000e+01,9.225000e+02,3.650000e+03,2.800000e-01,4.200000e-03,1.673000e+02,2.191781e+01,2.931500e+02,False,False,2.589735e+02,7.876000e-01,4.665200e-02,4.671940e+01,8.211000e-09,4.414000e+00,1.413000e+05
Papasula_abbotti,8.642030e+00,3.487677e+01,2.253101e+03,2.800000e-01,6.000000e+01,1.550000e+03,7.101325e-03,3.151500e+02,False,False,2.441614e+04,9.983900e-01,3.630800e-02,9.499934e+03,2.061000e-13,1.685000e+02,8.996000e+04
Merops_bulocki,4.822632e+00,8.619875e+00,4.619980e+02,2.800000e-01,2.500000e+00,3.480000e+01,9.090949e-02,3.127500e+02,False,False,8.815749e+03,9.947300e-01,7.879200e-02,6.808983e+03,3.746000e-13,3.551000e+01,4.081000e+03
Acrocephalus_arundinaceus,2.858030e+00,7.601067e+00,4.483386e+02,2.800000e-01,2.000000e+00,2.570000e+01,1.126381e-01,3.147500e+02,False,False,1.502734e+03,9.575500e-01,2.999400e-02,1.007170e+03,6.244000e-12,1.657000e+02,2.506000e+03
Ictinia_mississippiensis,1.242252e+01,1.807400e+01,5.250742e+02,2.800000e-01,1.700000e+01,3.110000e+02,4.266064e-02,3.141500e+02,False,False,2.074157e+03,9.950700e-01,7.644600e-02,5.287251e+02,4.159000e-13,3.107000e+02,1.816000e+04
Lophocebus_albigena,5.491673e+01,3.740004e+02,2.871753e+03,3.000000e-01,4.250000e+02,6.975000e+03,5.014359e-03,3.104500e+02,False,True,3.057816e+02,9.106900e-01,2.125700e-02,2.081600e+01,1.895000e-12,1.450000e+05,4.536000e+06
Amphiura_filiformis,3.537313e+00,3.964987e+03,3.304156e+04,9.000000e-02,5.236000e-07,5.846500e+00,5.022548e+02,2.841500e+02,True,False,1.439180e+01,9.914600e-01,3.039900e-02,4.150950e+01,3.000000e-09,8.849000e-06,1.770000e+02
Dipodomys_nitratoides,3.121426e+01,5.093210e+01,5.724897e+02,3.000000e-01,3.180000e+00,3.550000e+01,5.624555e-02,3.101500e+02,False,True,3.615776e+03,9.756900e-01,3.950500e-02,2.622567e+03,2.671000e-11,2.256000e+02,3.105000e+04
Cacatua_moluccensis,7.875024e+00,1.656365e+01,4.637215e+03,2.800000e-01,1.670000e+01,8.500000e+02,2.837910e-02,3.119500e+02,False,False,2.180955e+04,9.987400e-01,6.916000e-02,8.489056e+03,5.409000e-26,3.532000e+01,1.428000e+04
Anthus_hellmayri,2.755957e+00,6.951721e+00,3.950707e+02,2.800000e-01,2.000000e+00,1.875000e+01,9.011046e-02,3.147500e+02,False,False,9.678621e+02,9.665000e-01,3.592600e-02,6.084946e+02,5.508000e-13,1.644000e+02,2.143000e+03
Bucephala_clangula,8.146149e+00,2.075843e+01,9.621281e+02,2.800000e-01,3.810000e+01,8.000000e+02,2.172268e-01,3.133500e+02,False,False,1.161669e+04,9.582100e-01,1.454000e-02,6.149172e+03,9.153000e-13,3.663000e+03,1.555000e+05
Myotis_emarginatus,4.343434e+01,1.662829e+02,2.232154e+03,3.000000e-01,2.500000e+00,8.500000e+00,1.016955e-02,3.079500e+02,False,True,5.602728e+03,9.766800e-01,1.963500e-02,9.401540e+03,3.136000e-12,2.885000e+02,8.604000e+03
Mysis_mixta,2.778917e+02,7.497833e+02,9.437832e+02,1.700000e-01,3.058824e-03,5.676471e-02,3.814435e-02,2.831500e+02,True,False,1.142064e+02,6.483000e-01,1.409000e-02,4.000000e+02,2.166000e-05,3.404000e+00,4.741000e+01
Sporophila_beltoni,2.449740e+00,6.098230e+00,2.663398e+02,2.800000e-01,1.200000e+00,1.000000e+01,4.505523e-02,3.147500e+02,False,False,1.026316e+03,9.766800e-01,3.642800e-02,8.191404e+02,8.624000e-12,7.861000e+01,8.235000e+02
Planigale_tenuirostris,1.715068e+01,7.659340e+01,4.700928e+02,3.000000e-01,2.350000e-02,4.300000e+00,1.327397e-01,3.089500e+02,False,True,5.108021e+02,9.881200e-01,1.911700e-02,5.149767e+02,7.498000e-14,6.498000e-01,2.090000e+03
Scalopus_aquaticus,3.463063e+01,8.978954e+01,1.802956e+02,3.000000e-01,5.355000e+00,5.000000e+01,4.991803e-02,3.114500e+02,False,True,2.708674e+03,8.156100e-01,6.229600e-02,1.176620e+03,2.088000e-10,3.159000e+03,8.460000e+05
Mirounga_leonina,4.509968e+01,2.617118e+02,1.866464e+03,3.000000e-01,4.250000e+04,4.000000e+05,1.339431e-02,3.112500e+02,False,True,6.014316e+02,7.318000e-01,6.820100e-02,7.719100e+00,4.653000e-12,8.446000e+07,7.925000e+08
Ctenodactylus_vali,6.095740e+01,1.435779e+02,4.986672e+02,3.000000e-01,1.990000e+01,1.745000e+02,2.326201e-02,3.095500e+02,False,True,3.381148e+03,8.438000e-01,3.531200e-02,1.261893e+03,2.524000e-10,8.973000e+03,1.221000e+06
Pan_troglodytes,5.719579e+01,9.003966e+02,5.415118e+03,3.000000e-01,1.821000e+03,4.498400e+04,4.766418e-03,3.088500e+02,False,True,2.302186e+02,9.441800e-01,2.760400e-02,7.924800e+00,1.141000e-12,4.045000e+05,2.546000e+07
Daphnia_obtusa,1.745456e+00,6.732473e+00,2.485197e+01,1.700000e-01,8.701706e-06,1.223529e-03,8.772779e+00,2.951500e+02,False,False,2.741429e+02,7.180900e-01,1.710400e-02,3.162144e+03,3.340000e-04,4.875000e-03,1.824000e-01
Cavia_aperea,3.657973e+01,5.063484e+01,4.159552e+02,3.000000e-01,5.966000e+01,6.370000e+02,1.803079e-01,3.121500e+02,False,True,1.978294e+03,7.965400e-01,2.573500e-02,4.378412e+02,7.409000e-12,3.697000e+04,4.739000e+05
Hylomyscus_stella,2.292422e+01,3.217964e+01,2.667020e+02,3.000000e-01,1.500000e+00,2.000000e+01,6.749105e-02,3.091500e+02,False,True,2.366900e+03,9.769900e-01,2.490300e-02,2.115099e+03,1.509000e-09,8.963000e+01,2.888000e+03
