species,ab/m,ap/m,am,d_V,Wwb/i,Wwbjx/i,Wwp/i,Wwi,Ri,T_typical,acceleration,weaning,foetus,p_Am,kap,v,p_M,E_G,h_a,E_Hb/bjx,E_Hbjx/p,E_Hp
Abramis_brama,2.374429e-03,2.023744e-01,6.603860e+03,2.000000e-01,4.628099e-07,4.628099e-07,5.272727e-02,6.050000e+03,2.271399e+03,2.911500e+02,,False,,4.010921e+02,6.636700e-01,1.641600e-02,2.334840e+01,5.228964e+03,4.116000e-08,9.998177e-01,2.318259e-06,2.366000e+05
Achoerodus_viridis,1.718845e-04,8.571429e-02,1.277500e+04,2.000000e-01,7.233796e-08,7.233796e-08,1.944444e-02,3.600000e+03,9.589041e+03,2.931500e+02,,False,,1.481794e+02,5.215400e-01,9.932900e-02,5.697500e+00,5.238883e+03,2.801000e-10,9.996738e-01,9.874396e-07,3.105000e+05
Acipenser_persicus,9.603778e-04,2.557445e-01,1.423500e+04,2.000000e-01,1.395134e-06,1.395134e-06,4.000000e-01,7.000000e+04,3.013000e+02,2.931500e+02,,False,,5.620473e+02,5.657100e-01,4.375900e-02,1.232640e+01,5.242185e+03,8.726000e-10,1.000000e+00,1.448381e-06,3.613000e+07
Acipenser_ruthenus,5.696823e-04,1.815862e-01,2.254813e+04,2.000000e-01,2.187500e-07,2.187500e-07,4.562500e-02,6.400000e+03,1.842797e+02,2.881500e+02,,False,,2.214462e+02,7.804000e-01,5.178900e-02,1.187580e+01,5.279748e+03,1.871000e-08,1.000000e+00,3.601460e-06,2.740000e+05
Actinonaias_ligamentina,1.433691e-03,1.403858e-01,1.567927e+04,9.000000e-02,5.211406e-10,5.211406e-10,2.458210e-02,1.017000e+03,2.663704e+03,2.881500e+02,,False,,3.595064e+01,9.833500e-01,3.880600e-03,1.486380e+01,2.354299e+03,9.080000e-10,4.184234e-01,1.580427e-07,5.763000e+01
Aglaoctenus_lagotis,5.348837e-02,6.837209e-01,2.336930e+02,1.700000e-01,3.708333e-04,3.708333e-04,1.347222e-01,7.200000e-01,5.081105e+00,2.998500e+02,,False,,7.909392e+00,8.572700e-01,6.203500e-03,2.514550e+01,4.434828e+03,3.764300e-07,3.136547e-02,6.525850e-02,7.555950e+01
Aldabrachelys_gigantea,9.776037e-04,1.430231e-01,4.449036e+04,3.000000e-01,4.113208e-04,4.113208e-04,1.250000e-01,1.590000e+05,7.911827e-02,2.971500e+02,,False,,7.484542e+01,8.901600e-01,6.381100e-02,1.297300e+00,7.851046e+03,4.295000e-12,1.000000e+00,2.070263e-03,2.391000e+07
Alle_alle,1.110855e-02,1.575932e-02,7.805677e+02,2.800000e-01,1.314985e-01,1.314985e-01,8.562691e-01,1.635000e+02,2.075413e-02,3.138500e+02,,False,,9.911631e+03,9.953700e-01,2.649200e-02,6.827502e+03,7.323246e+03,5.151000e-14,1.000000e+00,4.018526e-02,7.881000e+03
Alopias_pelagicus,4.675325e-02,2.701299e-01,7.637143e+03,2.000000e-01,8.431731e-02,8.431731e-02,5.382374e-01,1.373000e+05,5.041152e-03,2.998500e+02,,False,,6.022727e+02,5.805300e-01,3.872100e-02,1.131670e+01,5.235351e+03,1.975000e-10,1.000000e+00,1.023143e-01,7.389000e+07
Alopias_vulpinus,6.800000e-02,5.480000e-01,6.796051e+03,2.000000e-01,2.569378e-02,2.569378e-02,5.091899e-01,2.938000e+05,7.357214e-03,2.963500e+02,,False,,9.718533e+02,6.627600e-01,3.823000e-02,1.855490e+01,5.232035e+03,2.108000e-09,1.000000e+00,2.954145e-02,1.134000e+08
