species,ab/m,ap/m,am,d_V,Wwb/i,Wwbjx/i,Wwp/i,Wwi,Ri,T_typical,acceleration,weaning,foetus,p_Am,kap,v,p_M,E_G,h_a,E_Hb/bjx,E_Hbjx/p,E_Hp
Eulamprus_quoyii,7.129651e-03,3.770682e-02,5.556072e+03,3.000000e-01,2.320574e-02,2.320574e-02,2.631579e-01,4.180000e+01,1.079900e-02,2.991500e+02,,False,,1.686566e+02,8.520800e-01,2.833500e-02,5.030240e+01,7.827881e+03,1.118000e-08,1.000000e+00,5.883866e-02,1.438000e+04
Homarus_gammarus,2.043556e-02,1.204356e-01,7.019414e+04,1.700000e-01,1.666667e-06,2.566667e-05,5.516667e-02,6.000000e+03,9.359755e+00,2.811500e+02,,False,,1.716380e+02,8.957600e-01,2.075100e-02,2.428930e+01,4.400000e+03,4.083000e-09,1.352335e-01,1.748109e-04,8.329000e+04
Oncorhynchus_mykiss,8.093513e-03,6.999391e-02,1.749147e+04,2.000000e-01,6.322411e-06,6.322411e-06,1.377953e-01,2.540000e+04,8.090469e+01,2.886500e+02,,False,,2.511589e+03,6.191600e-01,3.245300e-02,3.438835e+02,5.267556e+03,4.004000e-06,5.068493e-02,2.200721e-04,3.881000e+06
Chanos_chanos,1.183409e-03,2.000000e-01,2.428623e+03,2.000000e-01,2.544270e-08,2.544270e-08,3.214286e-01,1.400000e+04,2.161719e+04,3.021500e+02,,False,,7.724968e+02,7.455000e-01,4.969000e-02,3.923000e+01,5.200000e+03,6.052000e-10,7.077372e-01,2.034190e-07,3.539000e+06
Heteronotia_binoei_SM6,5.177216e-03,8.989088e-03,5.475000e+03,3.000000e-01,3.449265e-02,3.449265e-02,5.104141e-01,5.435400e+00,5.190283e-02,2.991500e+02,,False,,5.181988e+01,9.044800e-01,6.920100e-03,3.559390e+01,7.920539e+03,4.950000e-09,1.000000e+00,6.695745e-02,1.410000e+03
Procavia_capensis,1.251786e-01,2.435576e-01,9.896096e+02,3.000000e-01,1.645000e-01,1.645000e-01,7.075000e-01,4.000000e+03,3.031498e-02,3.100500e+02,,True,,5.753717e+02,4.183000e-01,1.265900e-02,2.946380e+01,7.825457e+03,1.302000e-10,5.958312e-01,3.495646e-01,5.627000e+06
Brachidontes_pharaonis,7.534247e-04,1.254110e-01,1.460000e+03,9.000000e-02,1.328546e-08,2.621117e-06,5.434783e-02,1.545600e+00,1.208408e+03,2.931500e+02,,False,,8.202124e+00,9.830000e-01,1.868000e-02,1.424000e+01,2.478000e+03,4.156000e-08,1.189728e-01,1.530282e-05,2.163000e+00
Streptocephalus_vitreus,4.166667e-02,5.083333e-01,3.000000e+01,1.700000e-01,7.692308e-04,7.692308e-04,3.384615e-01,7.647059e-03,1.050000e+01,2.931500e+02,,False,,1.798657e+02,9.881800e-01,4.080900e-02,8.740149e+03,4.447769e+03,7.497000e-05,8.430095e-04,9.782672e-01,3.451000e-01
Menidia_extensa,5.479452e-03,3.388128e-01,9.979813e+02,2.000000e-01,6.626506e-05,6.626506e-05,1.506024e-01,3.320000e+00,4.509102e-01,2.968500e+02,,False,,1.543337e+01,9.946200e-01,4.707900e-02,3.062900e+01,5.223292e+03,2.713000e-08,3.789374e-02,8.606424e-03,1.837000e+01
Chromis_chromis,1.341004e-03,1.847043e-01,3.285000e+03,2.000000e-01,1.522777e-05,7.980818e-04,3.424956e-01,2.292000e+01,2.000000e+02,2.951500e+02,,False,,4.383932e+01,8.885900e-01,3.527500e-02,3.054350e+01,5.204230e+03,6.876000e-09,6.025341e-02,1.087627e-04,6.676000e+03
Pelophylax_perezi,8.709367e-04,2.949886e-01,3.985246e+03,2.800000e-01,6.471495e-05,1.263482e-02,2.465331e-01,6.490000e+01,8.531469e+00,2.881500e+02,,False,,2.470745e+02,6.309000e-01,4.765600e-02,4.670820e+01,7.306681e+03,8.095000e-08,4.281996e-03,3.625354e-02,6.358000e+04
Micropterus_dolomieu,5.268704e-04,7.692308e-02,6.004965e+03,2.000000e-01,7.074074e-08,7.074074e-08,3.240741e-02,5.400000e+03,9.135773e+01,2.981500e+02,,False,,2.095235e+02,9.979000e-01,1.411100e-02,1.875760e+01,5.222485e+03,9.992000e-10,9.998779e-01,1.278558e-06,6.408000e+02
Pomacentrus_coelestis,2.500000e-02,3.062500e-01,7.415761e+01,2.000000e-01,2.710280e-04,6.915888e-03,9.813084e-02,1.070000e+01,1.837183e+01,3.016500e+02,,False,,1.101028e+02,9.715700e-01,4.850000e-02,1.700136e+02,5.226641e+03,1.363000e-06,2.344835e-02,4.769694e-02,1.993000e+02
Trachurus_mediterraneus,8.219178e-05,5.008219e-02,1.966784e+04,2.000000e-01,1.662679e-07,1.662679e-07,1.997608e-02,1.672000e+03,2.847288e+02,2.901500e+02,,False,,2.386942e+02,9.664200e-01,2.648000e-02,3.843110e+01,5.230412e+03,7.532000e-10,3.855638e-01,1.513229e-05,2.948000e+03
Biomphalaria_glabrata,3.611111e-02,1.394444e-01,3.600000e+02,1.500000e-01,1.650809e-04,5.957447e-02,1.872340e-01,2.350000e+00,1.370000e+02,2.931500e+02,,False,,1.848408e+02,5.410000e-01,2.103000e-02,8.688000e+02,3.950000e+03,5.001000e-07,1.363887e-03,3.427358e-01,1.060000e+03
Stagnicola_palustris,3.333333e-02,1.777778e-01,3.600000e+02,1.500000e-01,2.419943e-04,5.691123e-02,5.269558e-01,2.467000e-01,2.304151e+01,2.931500e+02,,False,,8.558485e+01,8.959000e-01,1.722000e-02,1.031000e+03,3.914000e+03,3.907000e-07,2.628350e-03,5.362771e-02,1.155000e+02
Dicologlossa_cuneata,9.132420e-04,4.269406e-01,2.647396e+03,2.000000e-01,1.390989e-06,1.390989e-06,2.976615e-01,9.921000e+01,9.624797e+01,2.913500e+02,,False,,3.641489e+01,9.353800e-01,2.161900e-02,2.613100e+01,5.219388e+03,3.979000e-08,2.973554e-02,1.011706e-04,1.196000e+04
Pelophylax_bedriagae,1.826484e-03,1.684932e-01,3.640523e+03,2.800000e-01,5.833333e-05,6.481481e-03,1.851852e-01,1.080000e+02,1.648115e+01,2.951500e+02,,False,,1.249999e+02,6.165300e-01,8.111200e-02,1.733460e+01,7.324523e+03,1.596000e-09,8.387458e-03,3.369387e-02,7.951000e+04
Lepidochelys_olivacea,1.225024e-03,3.400000e-01,1.825000e+04,3.000000e-01,4.250000e-04,4.250000e-04,1.122500e+00,4.000000e+04,1.780822e-01,2.931500e+02,,False,,9.719230e+02,8.942900e-01,5.756400e-02,3.238500e+01,7.354518e+03,3.273000e-10,1.000000e+00,1.873532e-04,2.554000e+07
Porcellio_scaber,2.333333e-02,2.900000e-01,1.500000e+03,1.700000e-01,4.796163e-03,4.796163e-03,5.995204e-01,8.340000e-02,2.600000e-01,2.931500e+02,,False,,3.471825e+01,8.443800e-01,2.356000e-02,7.529510e+01,4.437018e+03,2.087000e-08,1.000000e+00,2.985264e-03,9.433000e+01
Smutsia_gigantea,1.523288e-02,9.523288e-02,2.767984e+03,3.000000e-01,1.557632e-02,1.557632e-02,2.492212e-01,3.210000e+04,9.031845e-03,3.065500e+02,,True,,4.186975e+02,9.769100e-01,3.443700e-02,1.810900e+01,7.848619e+03,1.699000e-11,4.783223e-01,1.160439e-01,6.102000e+05
Hydromys_chrysogaster,5.339859e-02,9.993640e-02,6.172465e+02,3.000000e-01,3.694118e-02,1.764706e-01,5.094118e-01,8.500000e+02,1.011657e-01,3.097500e+02,,True,,9.289840e+02,9.610400e-01,2.075300e-01,1.106089e+02,7.836110e+03,4.272000e-20,1.332625e-01,1.647677e-01,3.142000e+05
Mercenaria_mercenaria,1.009923e-05,3.000000e-02,7.426307e+04,9.000000e-02,1.609756e-10,6.097561e-07,2.032520e-02,1.366667e+02,5.318929e+04,2.881500e+02,,False,,1.773398e+00,9.805000e-01,2.288400e-02,4.727100e+00,2.405338e+03,1.153000e-11,3.504246e-04,2.108815e-05,1.452000e+02
Natator_depressus,1.691762e-03,2.676056e-01,1.687048e+04,3.000000e-01,1.704150e-04,1.704150e-04,6.329114e-01,9.480000e+04,3.481089e-01,2.981500e+02,,False,,7.862490e+02,8.459400e-01,1.261900e-01,1.837570e+01,7.815625e+03,1.874000e-11,1.000000e+00,6.340058e-04,5.899000e+07
