species,ab/m,abjx/m,ap/m,am,d_V,Wwb/i,Wwbjx/i,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,E_G,h_a,E_Hb/bjx,E_Hbjx/p,E_Hp
Phoenicopterus_ruber,2.312201e-03,2.312201e-03,2.997132e-03,2.366727e+03,2.800000e-01,4.272727e-02,4.272727e-02,2.200000e+03,1.859107e-02,3.126500e+02,False,False,1.528734e+04,9.968500e-01,2.228200e-02,5.589694e+03,7.321664e+03,9.746000e-33,1.000000e+00,2.560512e-01,2.421000e+03
Peromyscus_melanocarpus,2.727010e-01,3.273458e-01,4.460344e-01,1.059825e+02,3.000000e-01,9.782609e-02,9.782609e-02,4.600000e+01,4.257619e-02,3.097500e+02,False,True,2.516947e+03,9.743600e-01,2.889300e-02,1.638547e+03,7.844107e+03,2.573000e-08,8.717263e-02,1.898529e-01,1.971000e+04
Circus_cyaneus,1.574562e-02,1.574562e-02,2.167368e-02,8.016757e+02,2.800000e-01,3.735849e-02,3.735849e-02,5.300000e+02,1.066516e-01,3.141500e+02,False,False,1.174687e+04,9.925700e-01,2.743100e-02,5.808304e+03,7.317669e+03,1.738000e-13,1.000000e+00,1.236601e-02,2.295000e+04
Haematopus_bachmani,2.893813e-03,2.893813e-03,5.123822e-03,2.015910e+03,2.800000e-01,5.926331e-02,5.926331e-02,5.484000e+02,5.759187e-02,3.141500e+02,False,False,1.982287e+03,9.933300e-01,9.282000e-02,3.908194e+02,7.319905e+03,3.684000e-16,1.000000e+00,3.018839e-02,2.601000e+04
Perdix_perdix,1.955470e-02,1.955470e-02,2.693088e-02,2.505526e+02,2.800000e-01,2.396373e-02,2.396373e-02,3.860000e+02,3.320660e-01,3.138500e+02,False,False,3.431389e+03,9.886800e-01,7.034000e-02,9.543832e+02,7.328894e+03,2.699000e-11,1.000000e+00,3.983479e-02,6.537000e+03
Molothrus_rufoaxillaris,5.620878e-03,9.273846e-03,1.657978e-02,3.995097e+02,2.800000e-01,6.875000e-02,6.875000e-02,4.800000e+01,3.829695e-01,3.147500e+02,False,False,4.020508e+03,9.132400e-01,2.903400e-02,2.790249e+03,7.302793e+03,7.098000e-13,1.702296e-01,3.864708e-01,3.607000e+03
Pica_pica,4.450548e-03,7.985679e-03,1.505594e-02,9.632622e+02,2.800000e-01,3.783784e-02,3.783784e-02,1.850000e+02,1.351657e-01,3.147500e+02,False,False,1.515675e+03,9.548800e-01,2.929500e-02,5.282844e+02,7.319606e+03,1.194000e-12,8.573499e-02,3.464027e-01,1.793000e+04
Chiropodomys_gliroides,2.385759e-02,4.212243e-02,1.007221e-01,2.944233e+02,3.000000e-01,9.655172e-02,3.448276e-01,2.900000e+01,5.380009e-02,3.101500e+02,False,True,1.302935e+03,9.626100e-01,2.724900e-02,8.066751e+02,7.846387e+03,8.808000e-10,1.092199e-01,1.414040e-01,2.094000e+04
Steatornis_caripensis,2.191781e-03,2.191781e-03,9.383562e-03,2.191583e+03,2.800000e-01,3.373494e-02,3.373494e-02,4.150000e+02,5.475495e-02,3.120500e+02,False,False,3.457981e+03,9.884700e-01,2.542400e-02,6.078045e+02,7.323709e+03,9.999000e-13,1.000000e+00,9.631788e-03,3.775000e+04
Pomacentrus_amboinensis,1.826484e-03,1.826484e-03,1.342466e-01,1.015032e+03,2.000000e-01,7.571802e-05,1.932115e-03,3.830000e+01,1.837183e+01,3.016500e+02,True,False,7.437422e+01,9.845300e-01,5.498100e-02,7.275800e+01,5.220324e+03,7.773000e-10,2.407339e-02,1.410350e-02,3.826000e+02
