species,ab,ap,am,d_V,Wwb,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,h_a,E_Hb_p,E_Hp
Bufo_japonicus,2.097296e+01,1.193104e+03,5.274590e+03,2.800000e-01,4.200000e-03,4.170000e+02,5.605175e+00,2.881500e+02,False,False,3.584772e+02,9.675000e-01,2.137700e-01,5.022470e+01,1.612000e-08,1.909832e-05,4.292000e+04
Geronticus_eremita,4.325449e+00,1.126994e+01,1.853175e+03,2.800000e-01,3.700000e+01,1.202000e+03,5.325993e-02,3.121500e+02,False,False,1.248867e+04,9.969300e-01,8.086400e-02,3.428426e+03,6.187000e-18,4.374635e-03,5.141000e+04
Archboldia_papuensis,5.409842e+00,1.599046e+01,6.658494e+02,2.800000e-01,1.700000e+01,1.250000e+02,2.252762e-02,3.147500e+02,False,False,1.322715e+03,9.609900e-01,3.241000e-02,4.866261e+02,3.784000e-13,9.570470e-02,1.490000e+04
Gopherus_agassizii,4.796528e+01,3.857071e+03,1.587497e+04,3.000000e-01,2.750000e+01,2.473000e+03,3.164731e-02,2.971500e+02,False,False,9.198365e+01,5.274500e-01,4.085200e-02,3.823500e+00,3.649000e-11,1.163621e-02,1.204000e+07
Chlorodrepanis_virens,2.858030e+00,1.015501e+01,5.326795e+02,2.800000e-01,1.300000e+00,1.200000e+01,8.447856e-02,3.147500e+02,False,False,6.895264e+02,9.135200e-01,3.259200e-02,4.460705e+02,7.484000e-14,6.848436e-02,4.988000e+03
Pipilo_chlorurus,2.449740e+00,6.827928e+00,3.418027e+02,2.800000e-01,3.800000e+00,2.940000e+01,1.802209e-01,3.147500e+02,False,False,9.188770e+02,9.102600e-01,5.956500e-02,4.056732e+02,9.853000e-12,8.567622e-02,1.501000e+04
Chlidonias_hybrida,8.214891e+00,1.078375e+01,9.845140e+02,2.800000e-01,1.300000e+01,1.000000e+02,6.399096e-02,3.141500e+02,False,False,1.468866e+04,9.948900e-01,1.228900e-01,8.435467e+03,5.516000e-14,1.732636e-02,1.339000e+04
Pycnogonum_litorale,5.138109e+01,5.170222e+02,5.274590e+03,1.700000e-01,2.522321e-07,7.700000e-02,9.384615e+01,2.881500e+02,True,False,9.368246e+00,9.517000e-01,5.472000e-04,2.440000e+02,3.298000e-08,4.018616e-06,2.095000e+00
Bartramia_longicauda,2.954184e+00,6.871690e+00,4.219346e+02,2.800000e-01,1.800000e+01,1.682500e+02,8.532128e-02,3.141500e+02,False,False,1.391550e+03,9.850400e-01,9.423800e-02,3.684566e+02,5.950000e-13,4.749700e-02,2.497000e+04
Rhodeus_amarus,2.071728e+01,4.201005e+02,2.100502e+03,2.000000e-01,2.000000e-03,8.630000e+00,3.237321e-01,2.931500e+02,True,False,4.700735e+01,9.035800e-01,2.974700e-02,3.774540e+01,4.050000e-08,1.411339e-03,5.662000e+02
Girardinus_falcatus,1.500373e+01,6.541625e+01,5.476360e+02,2.000000e-01,8.400000e-03,7.800000e-01,5.478091e-01,3.006500e+02,True,False,1.863785e+02,8.787400e-01,1.191200e-02,5.090865e+02,3.276000e-08,8.890568e-03,3.308000e+02
Tyto_alba,8.142892e+00,1.624480e+01,1.199853e+03,2.800000e-01,1.500000e+01,3.340000e+02,2.130397e-01,3.121500e+02,False,False,1.435661e+04,9.743100e-01,2.022300e-02,9.499994e+03,1.058000e-13,1.115306e-02,6.886000e+04
Ostorhinchus_doederleini,2.317425e+00,3.476138e+01,1.705625e+02,2.000000e-01,3.800000e-04,1.530000e+01,5.911142e+01,3.016500e+02,True,False,4.688620e+01,9.648000e-01,2.415200e-02,6.958070e+01,2.296000e-07,1.941777e-04,2.645000e+02
Argenteohyla_siemersi,4.847953e+00,7.632063e+02,5.561294e+03,2.800000e-01,2.700000e-03,3.420000e+01,9.747371e+00,2.971500e+02,False,False,8.307324e+02,6.186700e-01,2.327100e-02,3.205571e+02,1.881000e-10,5.803746e-06,3.577000e+05
Gyps_africanus,8.889551e+00,2.909308e+01,1.162188e+03,2.800000e-01,2.000000e+02,6.200000e+03,1.695079e-02,3.116500e+02,False,False,7.954131e+03,9.967300e-01,9.894800e-02,1.009245e+03,3.733000e-13,3.410667e-03,4.181000e+05
Furcifer_pardalis,1.270011e+02,2.399791e+02,1.004367e+03,3.000000e-01,6.900000e-01,2.260000e+01,1.553217e-01,3.001500e+02,False,False,3.855506e+02,7.271700e-01,1.911700e-02,1.567137e+02,4.669000e-13,3.224124e-02,2.454000e+04
Melanitta_perspicillata,1.122034e+01,1.828469e+01,4.453754e+02,2.800000e-01,4.380000e+01,8.590000e+02,1.493122e-01,3.141500e+02,False,False,1.153479e+04,9.862300e-01,5.236300e-02,3.729700e+03,5.938000e-12,5.550497e-03,2.416000e+05
Amazona_agilis,4.244432e+00,1.304770e+01,2.811543e+03,2.800000e-01,1.400000e+01,2.122500e+02,5.054164e-02,3.119500e+02,False,False,8.906697e+02,9.870300e-01,8.623000e-02,2.049130e+02,2.803000e-21,3.552270e-02,2.401000e+04
Phalaenoptilus_nuttallii,3.739438e+00,7.361618e+00,6.295695e+02,2.800000e-01,3.840000e+00,5.200000e+01,3.176774e-02,3.109500e+02,False,False,6.455863e+03,9.962300e-01,4.362900e-02,4.869416e+03,3.727000e-12,2.716787e-02,1.656000e+03
Antrostomus_vociferus,3.648232e+00,7.097928e+00,7.491877e+02,2.800000e-01,5.400000e+00,5.650000e+01,3.176774e-02,3.109500e+02,False,False,1.499260e+04,9.977300e-01,7.530900e-02,1.234816e+04,9.661000e-14,1.122420e-02,2.810000e+03
Chionis_albus,5.761465e+00,1.269822e+01,1.381045e+03,2.800000e-01,3.200000e+01,8.380000e+02,5.213443e-02,3.143500e+02,False,False,1.001459e+04,9.931300e-01,1.753900e-02,4.736769e+03,2.735000e-14,1.531628e-02,2.893000e+04
Lepadogaster_lepadogaster,2.225009e+01,6.953154e+02,4.402573e+03,2.000000e-01,3.225600e-03,6.300000e+00,2.793821e-01,2.901500e+02,False,False,8.409098e+01,9.589000e-01,4.848000e-02,4.884000e+01,5.237000e-09,1.759845e-03,3.606000e+02
Oxyurella_longicaudis,1.744492e+00,5.688562e+00,4.399155e+01,1.700000e-01,5.857221e-06,3.800000e-05,6.945779e-01,2.961500e+02,False,False,4.663197e+01,6.366600e-01,2.078100e-02,1.027718e+03,1.327000e-05,2.491866e-01,3.934000e-02
Sula_nebouxii,6.327201e+00,2.175940e+01,1.013895e+03,2.800000e-01,4.600000e+01,1.580000e+03,3.550662e-02,3.151500e+02,False,False,3.879200e+04,9.968600e-01,6.209200e-02,1.498206e+04,1.658000e-12,1.060135e-03,2.378000e+05
Latonopsis_australis,9.315265e-01,1.863053e+00,2.040487e+01,1.700000e-01,1.218819e-05,3.117647e-04,9.017456e+00,3.021500e+02,False,False,1.669242e+02,6.639800e-01,2.072500e-02,2.373174e+03,8.620000e-06,1.299647e-01,9.341000e-02
Leptopogon_amaurocephalus,2.858030e+00,1.051986e+01,4.882896e+02,2.800000e-01,1.700000e+00,1.300000e+01,5.631904e-02,3.147500e+02,False,False,1.234823e+03,9.145700e-01,2.684100e-02,9.432321e+02,4.218000e-12,8.251134e-02,3.528000e+03
Holothuria_scabra,6.327677e-01,2.315930e+02,9.238408e+03,9.000000e-02,4.200000e-06,2.000000e+03,7.360575e+04,2.981500e+02,True,False,1.099942e+01,9.830400e-01,4.699300e-02,1.153840e+01,6.711000e-12,1.696976e-08,9.128000e+03
Cyprinodon_bovinus,3.796606e+00,1.024962e+02,3.397712e+02,2.000000e-01,1.400000e-03,3.820000e+00,4.525205e+00,3.011500e+02,True,False,7.574190e+01,9.474000e-01,2.756500e-02,5.249680e+01,7.047000e-08,8.400146e-04,2.744000e+02
Trichoglossus_euteles,4.040705e+00,1.293026e+01,9.439087e+02,2.800000e-01,5.500000e+00,7.370000e+01,5.085238e-02,3.116500e+02,False,False,6.226784e+03,9.874900e-01,1.838200e-02,5.591931e+03,3.244000e-13,1.564433e-02,1.164000e+04
Pseudemydura_umbrina,5.491236e+01,5.083941e+03,4.926038e+04,3.000000e-01,5.200000e+00,4.170000e+02,1.015015e-02,2.981500e+02,False,False,2.232984e+02,6.486200e-01,2.572300e-02,1.893600e+01,9.561000e-11,1.907810e-02,5.467000e+05
Daphnia_cephalata,8.572572e-01,2.391854e+00,2.751690e+01,1.700000e-01,5.079759e-05,3.976471e-03,9.593039e+00,3.001500e+02,False,False,2.517025e+02,8.068400e-01,2.595400e-02,1.945060e+03,1.810000e-05,9.115970e-02,2.104000e-01
Sterna_sumatrana,6.577980e+00,9.746190e+00,1.238308e+03,2.800000e-01,7.100000e+00,1.120000e+02,3.113119e-02,3.138500e+02,False,False,1.473977e+04,9.983800e-01,4.765000e-02,1.111137e+04,1.376000e-13,8.805547e-03,3.173000e+03
Anatololacerta_danfordi,4.247460e+01,5.703901e+02,3.943900e+03,3.000000e-01,2.447589e-01,6.900000e+00,1.977738e-02,2.991500e+02,False,False,4.504402e+01,7.787000e-01,3.306500e-02,1.965360e+01,1.236000e-09,1.114555e-01,2.968000e+03
Carcharodon_carcharias,2.505297e+02,4.156515e+03,8.313031e+03,2.000000e-01,3.500000e+04,3.324000e+06,5.052309e-02,2.971500e+02,False,False,2.192341e+03,7.930000e-01,1.176100e-01,2.008000e+01,1.822000e-09,4.405730e-02,2.583000e+08
Pristiophorus_cirratus,5.860656e+02,1.172131e+03,8.790984e+03,2.000000e-01,8.419961e+02,8.500000e+04,8.531469e-03,2.881500e+02,False,False,8.040876e+02,8.446000e-01,1.329000e-01,2.053000e+01,2.675000e-08,1.688172e-01,2.604000e+06
Stelgidopteryx_ruficollis,2.858030e+00,9.790161e+00,2.619008e+02,2.800000e-01,1.800000e+00,1.900000e+01,1.351657e-01,3.147500e+02,False,False,7.006144e+02,9.153300e-01,3.863000e-02,3.729751e+02,2.985000e-11,5.595383e-02,9.011000e+03
Hemiphaga_novaeseelandiae,4.892995e+00,9.808664e+00,9.698484e+02,2.800000e-01,1.860000e+01,5.900000e+02,2.062178e-02,3.137800e+02,False,False,6.872130e+03,9.993800e-01,1.651200e-01,1.586113e+03,6.487000e-19,2.923077e-03,1.027000e+04
Hippoglossus_stenolepis,2.711177e+01,2.759479e+04,1.263519e+05,2.000000e-01,2.000000e-02,3.630000e+05,8.705847e+02,2.781500e+02,True,False,7.727316e+02,4.226000e-01,3.365000e-02,3.451350e+01,3.701000e-08,3.373032e-07,4.954000e+07
Crassostrea_corteziensis,3.480222e+00,2.031184e+01,3.581525e+04,9.000000e-02,4.551661e-08,1.000000e+02,1.222943e+05,2.981500e+02,True,False,8.651069e+00,6.052500e-01,2.556000e-02,2.575280e+01,9.139000e-10,1.245019e-06,2.861000e+01
Rhabdotorrhinus_exarhatus,5.289936e+00,1.365768e+01,1.527112e+03,2.800000e-01,1.800000e+01,4.200000e+02,4.911230e-02,3.132500e+02,False,False,1.451463e+04,9.951400e-01,2.996700e-02,8.118307e+03,2.919000e-16,5.136064e-03,3.491000e+04
Philomachus_pugnax,8.415254e+00,9.571239e+00,9.329443e+02,2.800000e-01,1.000000e+01,1.100000e+02,8.532128e-02,3.141500e+02,False,False,1.249120e+04,9.937500e-01,4.351800e-02,9.222238e+03,5.341000e-18,7.315768e-02,2.429000e+03
Sialia_mexicana,2.858030e+00,1.015501e+01,3.861927e+02,2.800000e-01,3.700000e+00,2.760000e+01,1.689571e-01,3.147500e+02,False,False,3.053221e+03,6.178900e-01,2.704000e-02,1.630557e+03,7.537000e-13,1.005977e-01,2.175000e+04
Pteroglossus_bailloni,2.918586e+00,9.490579e+00,9.423769e+02,2.800000e-01,6.200000e+00,1.200000e+02,5.252676e-02,3.120000e+02,False,False,3.807572e+03,9.917300e-01,2.687700e-02,2.204626e+03,1.414000e-13,1.897023e-02,6.953000e+03
Eunectes_murinus,8.649889e+01,4.857246e+02,4.857246e+03,3.000000e-01,3.330000e+02,2.500000e+05,6.176340e-01,3.021500e+02,False,False,1.342126e+03,3.439000e-01,2.530800e-02,1.497400e+01,3.439000e-10,1.254893e-02,4.598000e+07
Cathartes_aura,6.917585e+00,1.700094e+01,1.020705e+03,2.800000e-01,6.000000e+01,1.552000e+03,4.075615e-02,3.136500e+02,False,False,6.288318e+03,9.925400e-01,2.192000e-02,1.926004e+03,8.019000e-13,1.695059e-02,5.201000e+04
Streptoprocne_rutila,5.360218e+00,1.166827e+01,9.096060e+02,2.800000e-01,2.300000e+00,1.080000e+02,7.036013e-02,3.120500e+02,False,False,3.244706e+03,9.984400e-01,1.909300e-01,1.058361e+03,6.137000e-13,1.890782e-03,6.574000e+03
Calidris_fuscicollis,2.633077e+00,4.752384e+00,3.281713e+02,2.800000e-01,5.000000e+00,4.580000e+01,8.532128e-02,3.141500e+02,False,False,2.546491e+04,9.936600e-01,3.423800e-02,3.458789e+04,1.099000e-13,2.008071e-02,5.204000e+03
Branchinecta_lindahli,7.291188e-01,7.564607e+00,2.278496e+01,1.700000e-01,9.200000e-06,2.176471e-02,1.097215e+02,2.941500e+02,True,False,2.866187e+02,9.339300e-01,3.630100e-02,7.329932e+03,2.077000e-04,5.064730e-04,3.167000e+00
