species,ab,ap,am,d_V,Wwb,Wwi,Ri,T_typical,metamorphosis,weaning,p_Am,kap,v,p_M,h_a,E_Hb_p,E_Hp,class_other,class_Actinopterygii,class_Aves,class_Mammalia,class_Reptilia,class_Amphibia,climate_A,climate_B,climate_C,climate_D,climate_E,habitat_T,habitat_F,habitat_S,habitat_M,migrate_T,food_other,food_P,food_O,food_H,food_C
Abramis_brama,1.568040e+01,1.336452e+03,6.603860e+03,2.000000e-01,2.800000e-03,6.050000e+03,2.271399e+03,2.911500e+02,True,False,4.010921e+02,6.636700e-01,1.641600e-02,2.334840e+01,4.116000e-08,2.317836e-06,2.366000e+05,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,True,True
Achoerodus_viridis,2.195824e+00,1.095000e+03,1.277500e+04,2.000000e-01,2.604167e-04,3.600000e+03,9.589041e+03,2.931500e+02,True,False,1.481794e+02,5.215400e-01,9.932900e-02,5.697500e+00,2.801000e-10,9.871176e-07,3.105000e+05,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,True
Actinonaias_ligamentina,2.247923e+01,2.201147e+03,1.567927e+04,9.000000e-02,5.300000e-07,1.017000e+03,2.663704e+03,2.881500e+02,True,False,3.595064e+01,9.833500e-01,3.880600e-03,1.486380e+01,9.080000e-10,6.612875e-08,5.763000e+01,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False
Aegopinella_epipedostoma,3.015461e+01,3.437626e+02,8.805146e+02,1.500000e-01,5.128976e-04,1.666667e-01,4.542798e-02,2.946500e+02,True,False,2.732214e+01,9.691700e-01,1.209900e-02,1.540150e+02,2.736000e-07,2.403471e-03,2.305000e+01,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True
Aequipecten_opercularis,3.211318e+00,9.601026e+02,9.568913e+03,9.000000e-02,1.640000e-07,1.070000e+02,6.270305e+03,2.831500e+02,True,False,1.474086e+01,9.999700e-01,1.666900e-02,3.878750e+01,3.605000e-08,1.396619e-08,6.447000e-01,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False
Aglaoctenus_lagotis,1.249986e+01,1.597808e+02,2.336930e+02,1.700000e-01,2.670000e-04,7.200000e-01,5.081105e+00,2.998500e+02,True,False,7.909392e+00,8.572700e-01,6.203500e-03,2.514550e+01,3.764300e-07,2.046864e-03,7.555950e+01,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
Alburnoides_bipunctatus,1.458659e+01,1.611818e+03,3.194463e+03,2.000000e-01,3.100000e-03,3.000000e+01,9.391251e+00,2.891500e+02,True,False,1.378967e+02,6.917900e-01,5.974200e-02,3.338310e+01,5.777000e-08,1.083283e-04,3.314000e+04,False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True
Alburnoides_eichwaldii_Kaboudval,1.458659e+01,1.079407e+03,1.597231e+03,2.000000e-01,3.100000e-03,3.038107e+01,2.028510e+01,2.881500e+02,True,False,4.605304e+03,6.983100e-01,1.211000e-02,4.724029e+03,5.728000e-07,2.082111e-06,8.525000e+04,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
Alburnoides_eichwaldii_ShirAbad,1.325994e+01,9.812354e+02,1.451963e+03,2.000000e-01,3.100000e-03,4.808959e+01,1.375273e+01,2.881500e+02,True,False,2.519955e+03,7.259200e-01,1.539000e-02,2.094754e+03,4.175000e-07,2.897471e-06,8.856000e+04,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
Alburnoides_eichwaldii_Tajan,1.605659e+01,1.188188e+03,1.758197e+03,2.000000e-01,3.100000e-03,1.218424e+02,1.109091e+01,2.881500e+02,True,False,6.140524e+02,9.090700e-01,2.711200e-02,2.195715e+02,1.275000e-06,1.880549e-05,1.239000e+04,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True
