Row,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hj,E_Hx,E_Hp,k_J,kap_R,kap_X,kap_P,family,order,class,phylum,climate,ecozone,habitat,embryo,migrate,food,gender,reprod,ab,ah,aj,ax,ap,am,tg,tb,tj,tx,tp,Wwb,Wwj,Wwx,Wwp,Wwi,Lb,Lj,Lx,Lp,Li,Ri,Ni,GSI,NR,d_V,T_typical,f,t_0,model,completeness
Abatus_cordatus,41.9184491584311,0.77712,0.02722,13.8449,2393.8237,5.047e-06,0.4876,6.941,NaN,1403,0.002,0.95,0.8,0.1,Schizasteridae,Spatangoida,Echinoidea,Echinodermata,ME,MIS,0iMb,Mbf,,biP bjD,D,O,NaN,NaN,NaN,NaN,5749.57610896325,11467.7337692436,NaN,NaN,743.569952161003,NaN,NaN,NaN,0.0103,NaN,2.9,NaN,NaN,0.276,NaN,1.9,8,NaN,NaN,0.07,NaN,0.09,278.15,1,NaN,abj,2.5
Abbottina_rivularis,75.3092505280511,0.97055,0.020221,23.837,5215.8135,3.547e-07,0.0459,0.06955,NaN,89.34,0.002,0.95,0.8,0.1,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,Cfa,THp,0iFr 0iFc,Fs,Mp,biCi,D,O,18.0927665433463,NaN,NaN,NaN,NaN,1761.02927688571,NaN,NaN,NaN,NaN,NaN,0.00052,NaN,NaN,0.87,79,NaN,NaN,NaN,4.5,18.9,7.77272710889087,NaN,NaN,NaN,0.2,291.15,1,149.8737,abj,2.5
Ablennes_hians,201.398501756323,0.9964,0.022797,17.9765,5237.1062,1.614e-09,0.00354,0.02936,NaN,1083,0.002,0.95,0.8,0.1,Belonidae,Beloniformes,Actinopterygii,Chordata,MB,MC,biMcp,Ms,Mo,biCvf,D,O,1.95456924560254,NaN,NaN,NaN,NaN,2675.31665491847,NaN,NaN,NaN,NaN,NaN,0.00052,NaN,NaN,144,4200,NaN,NaN,NaN,47.4,140,179.418013608796,NaN,NaN,NaN,0.2,301.05,1,NaN,abj,2.8
Abra_segmentum,8.26667378817204,0.93,0.020926,25.2041,2349.9631,7.505e-07,0.0006014,0.01146,NaN,10.94,0.002,0.95,0.8,0.1,Semelidae,Cardiida,Bivalvia,Mollusca,MC,MAE MAm,0jMp jiMb jiMi,Mp,,bjPp jiD,D,O,NaN,NaN,NaN,NaN,NaN,853.371348225839,NaN,NaN,NaN,NaN,NaN,4e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9,1.9,48.9597195929658,NaN,NaN,NaN,0.09,288.15,1,NaN,abj,2.1
Abralia_trigonura,109.48428387965,0.98081,0.0095145,1009.8108,5492.358,1.526e-10,0.001511,2.628,NaN,14.09,0.002,0.95,0.8,0.1,Enoploteuthidae,Oegopsida,Cephalopoda,Mollusca,MA,MP,0jMp jiMd,Mp,,bjPz jiCi,D,Os,NaN,NaN,NaN,NaN,NaN,246.956482699288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08,NaN,NaN,1.4,4,NaN,11000,NaN,NaN,0.21,291.15,1,NaN,abj,2.3
Abraliopsis_morisii,144.888157453174,0.61504,0.020611,17.8381,5492.4179,2.598e-05,0.954,8.97,NaN,1127,0.002,0.95,0.8,0.1,Enoploteuthidae,Oegopsida,Cephalopoda,Mollusca,MA MB,MAE MAm,0iMp,Mp,,bjPz jiCi jiCvf,D,Os,NaN,NaN,NaN,NaN,NaN,273.41954664043,NaN,NaN,NaN,NaN,NaN,0.00068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2,7,NaN,10000,NaN,NaN,0.21,294.15,1,NaN,abj,2.5
Abramis_brama,401.092069191014,0.66367,0.016416,23.3484,5228.964,4.116e-08,0.5484,0.5485,NaN,236600,0.0012452,0.95,0.8,0.1,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,Cfb Dfb,THp,0iFr 0iFl,Fs Fh,Mp,biCi biHl,D,O,15.6803976709001,NaN,NaN,NaN,NaN,6603.85978832139,NaN,NaN,NaN,NaN,1320.77195766428,0.0028,NaN,NaN,319,6050,NaN,NaN,NaN,27,72,2271.39892135911,NaN,NaN,NaN,0.2,291.15,1,NaN,abj,2.5
Abroscopus_superciliaris,663.006068752479,0.95822,0.03479,533.064,7316.5423,4.147e-12,96.03,NaN,631.4,1472,0.021838,0.95,0.8,0.1,Cisticolidae,Passeriformes,Aves,Chordata,A,TPi,0iThf 0iTa 0iTd,Tnpfm,,biCi,Dg,O,2.24559490204167,NaN,NaN,NaN,NaN,443.899619700011,NaN,NaN,NaN,1.70262867830141,5.10788603490424,0.78,NaN,NaN,NaN,6.5,NaN,NaN,NaN,NaN,NaN,0.0720883699373874,NaN,NaN,NaN,0.28,314.75,1,NaN,std,2.5
Abudefduf_vaigiensis,717.167834909036,0.53098,0.0019181,636.6858,5233.1119,4.694e-08,0.2181,3.407,NaN,44590,0.002,0.95,0.8,0.1,Pomacentridae,OvalentariaIncSed,Actinopterygii,Chordata,MC,MI MPW,0iMr,Mnm,,biCi,D,O,9.99358410844093,NaN,NaN,NaN,NaN,694.792038015417,NaN,NaN,NaN,NaN,NaN,0.0017,NaN,NaN,50.5,242,NaN,NaN,NaN,12.6,20,NaN,NaN,NaN,NaN,0.2,301.35,1,NaN,abj,2.5
Acantharchus_pomotis,350.050387104542,0.99663,0.0094914,137.5402,5217.7681,8.24e-08,0.0003328,0.0003329,NaN,181.5,0.002,0.95,0.8,0.1,Centrarchidae,Centrarchiformes,Actinopterygii,Chordata,Cfa Dfa,THn,0iFl 0iFr 0iFp,Fnm,,biCi,D,O,NaN,NaN,NaN,NaN,NaN,1995.96269047514,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,18.9,137,NaN,NaN,NaN,11,21,11.4591320314486,NaN,NaN,NaN,0.2,294.15,1,NaN,abj,2.6
Acanthaster_planci,16.0582860194403,0.51028,0.00044905,14.6234,2352.8882,1.947e-09,0.0001469,0.03924,NaN,5171,0.002,0.95,0.6,0.1,Acanthasteridae,Valvatida,Asteroidea,Echinodermata,MA,MP MI,0jMcp jiMb,Mp,,biPz bjCia,D,O,NaN,NaN,16.8561944389828,NaN,NaN,2752.43911826021,NaN,NaN,NaN,NaN,323.816366854143,1.7e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,19,70,NaN,NaN,0.22,NaN,0.09,302.15,1,NaN,abj,2.6
Acanthis_flammea,1294.70960308047,0.92908,0.037653,907.6351,7320.7246,2.215e-12,211.9,NaN,1348,3305,0.03709,0.95,0.8,0.1,Fringillidae,Passeriformes,Aves,Chordata,Dfc ET,TH,0iTht 0iThh,Tnpf,Ml,biCi biHs,Dg,O,2.04144991094697,NaN,NaN,NaN,NaN,541.557536034014,NaN,NaN,NaN,1.33777967580825,4.01333902742476,1.3,NaN,NaN,NaN,14.2,NaN,NaN,NaN,NaN,NaN,0.225276156054336,NaN,NaN,NaN,0.28,314.75,1,NaN,std,2.5
Acanthis_hornemanni,709.593021149771,0.95793,0.047468,432.1025,7335.3504,8.946e-13,197.8,NaN,1236,3203,0.017328,0.95,0.8,0.1,Fringillidae,Passeriformes,Aves,Chordata,Dfc ET,TH,0iTf,Tnpf,Ml,biCi biHn biHs,Dg,O,2.24559490204167,NaN,NaN,NaN,NaN,301.851741396008,NaN,NaN,NaN,1.58101234413703,4.74303703241108,1.3,NaN,NaN,NaN,12.7,NaN,NaN,NaN,NaN,NaN,0.101374270224451,NaN,NaN,NaN,0.28,314.75,1,NaN,std,2.5
