Row,p_Am,kap,v,p_M,E_G,h_a,E_Hb,E_Hj,E_Hx,E_Hp,k_J,kap_R,kap_X,kap_P,family,order,class,phylum,climate,ecozone,habitat,embryo,migrate,food,gender,reprod,ab,ah,aj,ax,ap,am,tg,tb,tj,tx,tp,Wwb,Wwj,Wwx,Wwp,Wwi,Lb,Lj,Lx,Lp,Li,Ri,Ni,GSI,NR,estim_z,estim_kap,estim_v,estim_p_M,estim_k_J,estim_E_Hb,estim_E_Hj,estim_E_Hp,d_V,T_typical,f,t_0,model,completeness
Abatus_cordatus,41.9184491584311,0.77712,0.02722,13.8449,2393.8237,5.047e-06,0.4876,6.941,NaN,1403,0.002,0.95,0.8,0.1,Schizasteridae,Spatangoida,Echinoidea,Echinodermata,ME,MIS,0iMb,Mbf,,biP bjD,D,O,NaN,NaN,NaN,NaN,5749.57610896325,11467.7337692436,NaN,NaN,743.569952161003,NaN,NaN,NaN,0.0103,NaN,2.9,NaN,NaN,0.276,NaN,1.9,8,NaN,NaN,0.07,NaN,1,1,1,1,0,1,1,1,0.09,278.15,1,NaN,abj,2.5
Abbottina_rivularis,53.6175320846939,0.971489133026326,0.0220913131194359,21.5179088147305,5226.31388443581,2.6488049004066e-07,0.0527192393290196,0.192016514869265,NaN,128.863864771242,0.002,0.95,0.8,0.1,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,Cfa,THp,0iFr 0iFc,Fs,Mp,biCi,D,O,18.0927665433463,NaN,NaN,NaN,NaN,1761.02927688571,NaN,NaN,NaN,NaN,NaN,0.00052,NaN,NaN,0.87,79,NaN,NaN,NaN,4.5,18.9,7.77272710889087,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,291.15,1,153.832270723871,abj,2.5
Ablennes_hians,231.831215254105,0.996901987317395,0.0223239992519656,21.2677761305934,5227.56915304464,1.47602298623961e-09,0.00260450375647897,0.0225746976939212,NaN,955.472281361649,0.002,0.95,0.8,0.1,Belonidae,Beloniformes,Actinopterygii,Chordata,MB,MC,biMcp,Ms,Mo,biCvf,D,O,1.95456924560254,NaN,NaN,NaN,NaN,2675.31665491847,NaN,NaN,NaN,NaN,NaN,0.00052,NaN,NaN,144,4200,NaN,NaN,NaN,47.4,140,179.418013608796,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,301.05,1,NaN,abj,2.8
Abra_segmentum,8.26667378817204,0.93,0.020926,25.2041,2349.9631,7.505e-07,0.0006014,0.01146,NaN,10.94,0.002,0.95,0.8,0.1,Semelidae,Cardiida,Bivalvia,Mollusca,MC,MAE MAm,0jMp jiMb jiMi,Mp,,bjPp jiD,D,O,NaN,NaN,NaN,NaN,NaN,853.371348225839,NaN,NaN,NaN,NaN,NaN,4e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9,1.9,48.9597195929658,NaN,NaN,NaN,1,0,1,1,0,1,1,1,0.09,288.15,1,NaN,abj,2.1
Abralia_trigonura,109.48428387965,0.98081,0.0095145,1009.8108,5492.358,1.526e-10,0.001511,2.628,NaN,14.09,0.002,0.95,0.8,0.1,Enoploteuthidae,Oegopsida,Cephalopoda,Mollusca,MA,MP,0jMp jiMd,Mp,,bjPz jiCi,D,Os,NaN,NaN,NaN,NaN,NaN,246.956482699288,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.08,NaN,NaN,1.4,4,NaN,11000,NaN,NaN,1,1,1,1,0,1,1,1,0.21,291.15,1,NaN,abj,2.3
Abraliopsis_morisii,144.888157453174,0.61504,0.020611,17.8381,5492.4179,2.598e-05,0.954,8.97,NaN,1127,0.002,0.95,0.8,0.1,Enoploteuthidae,Oegopsida,Cephalopoda,Mollusca,MA MB,MAE MAm,0iMp,Mp,,bjPz jiCi jiCvf,D,Os,NaN,NaN,NaN,NaN,NaN,273.41954664043,NaN,NaN,NaN,NaN,NaN,0.00068,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2,7,NaN,10000,NaN,NaN,1,1,1,1,0,1,1,1,0.21,294.15,1,NaN,abj,2.5
Abramis_brama,469.51008871911,0.62164324787015,0.0145337927904851,28.0275641923116,5208.2421106767,3.27200040924679e-08,0.549493002607385,0.549493004056424,NaN,242260.145127358,0.00156257960670169,0.95,0.8,0.1,Leuciscidae,Cypriniformes,Actinopterygii,Chordata,Cfb Dfb,THp,0iFr 0iFl,Fs Fh,Mp,biCi biHl,D,O,15.6803976709001,NaN,NaN,NaN,NaN,6603.85978832139,NaN,NaN,NaN,NaN,1320.77195766428,0.0028,NaN,NaN,319,6050,NaN,NaN,NaN,27,72,2271.39892135911,NaN,NaN,NaN,1,1,1,1,1,1,1,1,0.2,291.15,1,NaN,abj,2.5
Abroscopus_superciliaris,852.227337959589,0.947561879536933,0.0316662545358543,742.535587026053,7313.4844398213,4.19841221261421e-12,103.106259408849,NaN,695.611468218637,1507.58483095253,0.0302122763508428,0.95,0.8,0.1,Cisticolidae,Passeriformes,Aves,Chordata,A,TPi,0iThf 0iTa 0iTd,Tnpfm,,biCi,Dg,O,2.24559490204167,NaN,NaN,NaN,NaN,443.899619700011,NaN,NaN,NaN,1.70262867830141,5.10788603490424,0.78,NaN,NaN,NaN,6.5,NaN,NaN,NaN,NaN,NaN,0.0720883699373874,NaN,NaN,NaN,1,1,1,1,1,1,0,1,0.28,314.75,1,NaN,std,2.5
Abudefduf_vaigiensis,717.167834909036,0.53098,0.0019181,636.6858,5233.1119,4.694e-08,0.2181,3.407,NaN,44590,0.002,0.95,0.8,0.1,Pomacentridae,OvalentariaIncSed,Actinopterygii,Chordata,MC,MI MPW,0iMr,Mnm,,biCi,D,O,9.99358410844093,NaN,NaN,NaN,NaN,694.792038015417,NaN,NaN,NaN,NaN,NaN,0.0017,NaN,NaN,50.5,242,NaN,NaN,NaN,12.6,20,NaN,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,301.35,1,NaN,abj,2.5
Acantharchus_pomotis,350.050387104542,0.99663,0.0094914,137.5402,5217.7681,8.24e-08,0.0003328,0.0003329,NaN,181.5,0.002,0.95,0.8,0.1,Centrarchidae,Centrarchiformes,Actinopterygii,Chordata,Cfa Dfa,THn,0iFl 0iFr 0iFp,Fnm,,biCi,D,O,NaN,NaN,NaN,NaN,NaN,1995.96269047514,NaN,NaN,NaN,NaN,NaN,0.00018,NaN,NaN,18.9,137,NaN,NaN,NaN,11,21,11.4591320314486,NaN,NaN,NaN,1,1,1,1,0,1,1,1,0.2,294.15,1,NaN,abj,2.6
