Row,init_loss,z_i,kap_i,v_i,p_M_i,E_Hb_i,E_Hp_i,final_loss,z_f,kap_f,v_f,p_M_f,E_Hb_f,E_Hp_f,convergence,n_runs,n_iter,execution_time,error,error_message
Siphateles_bicolor,0.544200774463481,3.9585,0.48785,0.038462,11.85,2.948,27360,0.538487412054073,3.9222635144783,0.489414252560293,0.038462,12.4971646665566,2.91140191897482,30646.4270621276,0,14,7000,391.8485605,0,
Macquaria_novemaculeata,0.00377681250653765,9.1934,0.90548,0.022034,17.5668,0.07566,235700,0.0037720028472691,9.20847015327295,0.905217167789564,0.022034,17.5912124969383,0.0757549663073345,237807.156281026,0,1,500,41.4912853,0,
Prionotus_albirostris,0.00449617876410243,0.4157,0.76608,0.024208,17.6135,1.192,16080,0.00448607587067917,0.415439843548704,0.766051193785141,0.024208,17.6120641920798,1.19270529683241,16088.9978565572,0,1,500,40.8465014,0,
Decapterus_macrosoma,0.00207521831796393,5.5665,0.87892,0.020405,18.5145,0.168,21300,0.00207239989487829,5.56537421202692,0.879240819710054,0.0203836802583632,18.5640813468438,0.167017122988547,21239.0952497835,0,1,500,33.7781064,0,
Etropus_crossotus,0.00270655838606794,0.8263,0.81699,0.020139,19.0174,0.06346,3076,0.00270653188388882,0.826299883456274,0.816990892040727,0.0201402869548848,19.0167840056068,0.0634563471944619,3075.64069101479,0,1,500,35.1508308,0,
Myripristis_murdjan,0.014300897631692,10.3989,0.52629,0.025302,20.2341,0.2827,155200,0.0143008307402754,10.3988674491294,0.526289843752448,0.025302,20.2341367844829,0.282670508710571,155248.806566115,0,1,500,23.9014658,0,
Cerastoderma_edule,0.0218090548905398,0.81002,0.95304,0.011957,14.2471,2.319e-05,10.12,0.0218076789982756,0.810064812016334,0.953024683062714,0.0119580921247443,14.2453476648582,2.3195887531912e-05,10.1206791275882,1,1,485,28.8537484,0,
Acipenser_stellatus,0.507392781000064,9.2641,0.62152,0.024371,680.0263,0.7495,154000000,0.507320114523601,9.25326674912916,0.621555926562028,0.0243361815115879,678.635301140984,0.743498755622571,153145049.841579,0,1,500,19.3183099,0,
Mormyrus_kannume,0.672450638353874,5.3883,0.92109,0.016843,12.2484,1.118,49240,0.672433208269899,5.39393496499399,0.921243589799944,0.0169249756582907,12.216486912376,1.11847669783936,49216.31347177,0,1,500,39.4800964,0,
Mysis_mixta,0.174316175973253,0.1418,0.46806,0.0096358,398.0036,7.506,74.48,0.174278308563118,0.141708098397791,0.465694729226436,0.00959134666030215,398.94286662478,7.55295004932609,74.3062095941096,0,1,500,30.8836187,0,
