VO2_ml_g_h,temperature_C,mass_g
0.002085919,15,362.4
0.006957514,21,362.4
0.01929228,25,362.4
0.03080439,31,362.4
0.002556972,15,288.2
0.007311692,21,288.2
0.01694881,25,288.2
0.02668169,31,288.2
0.001478324,15,297.2
0.005955151,21,297.2
0.01790451,25,297.2
0.03496208,31,297.2
0.001204873,15,277.3
0.006027985,21,277.3
0.01742385,25,277.3
0.02480775,31,277.3
0.001312231,15,322
0.005149532,21,322
0.01897694,25,322
0.02305341,31,322
0.002410638,15,293.5
0.008921721,21,293.5
0.01756489,25,293.5
0.02747758,31,293.5
0.001236561,15,269.3
0.006155903,21,269.3
0.01767426,25,269.3
0.02939617,31,269.3
0.002687078,15,308.7
0.005811912,21,308.7
0.01850031,25,308.7
0.03345558,31,308.7
