Row,bijection_flag,feasible,infeasibility_flag,error_message
Abbottina_rivularis,6a,0,,
Ablennes_hians,6a,0,,
Abramis_brama,error,0,,"Matrix dimensions must agree."
Abroscopus_superciliaris,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Acanthis_flammea,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Acanthis_hornemanni,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Acanthisitta_chloris,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Acanthiza_chrysorrhoa,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Acanthiza_inornata,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Acanthochromis_polyacanthus,6a,0,,
Acanthoclinus_littoreus,6a,0,,
Acanthocybium_solandri,6a,0,,
Acanthodactylus_boskianus,error,0,,"Integration interval contains NaN."
Acanthodactylus_harranensis,error,0,,"Integration interval contains NaN."
Acanthogobius_flavimanus,6a,0,,
Acanthopagrus_arabicus,6a,0,,
Acanthopagrus_australis,6a,0,,
Acarichthys_heckelii,6,0,,
Accipiter_cooperii,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Accipiter_fasciatus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Accipiter_nisus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Achoerodus_gouldii,98,0,,
Achoerodus_viridis,98,0,,
Achondrostoma_arcasii,6a,0,,
Acipenser_baerii,6,0,,
Acipenser_gueldenstaedtii,8,0,,
Acipenser_medirostris,6a,0,,
Acipenser_persicus,error,0,,"Integration interval contains NaN."
Acipenser_ruthenus,8,0,,
Acipenser_stellatus,8,0,,
Acipenser_sturio,8,0,,
Acipenser_transmontanus,6,0,,
Acridotheres_cristatellus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Acridotheres_tristis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Acrocephalus_arundinaceus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Acrocephalus_melanopogon,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Acrocephalus_palustris,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Acrocephalus_scirpaceus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Acrocheilus_alutaceus,6,0,,
Acroteriobatus_annulatus,6a,0,,
Actinonaias_ligamentina,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Index in position 1 exceeds array bounds. Index must not exceed 2."
Actitis_macularius,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Acyrtops_beryllinus,6a,0,,
Aegolius_acadicus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aegotheles_cristatus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aerodramus_bartschi,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aerodramus_brevirostris,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aerodramus_fuciphagus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aerodramus_hirundinaceus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aerodramus_spodiopygius,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aeronautes_saxatalis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aethaloperca_rogaa,6a,0,,
Aethia_cristatella,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aethia_psittacula,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aethia_pusilla,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aethia_pygmaea,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aethotaxis_mitopteryx,error,0,,"Initial function value must be finite and real."
Aetobatus_flagellum,6a,0,,
Aetobatus_narinari,6a,0,,
Aetomylaeus_bovinus,6a,0,,
Afrotis_afra,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Agapornis_personatus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Agapornis_roseicollis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Agelaioides_badius,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Agelaius_phoeniceus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aglaoctenus_lagotis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Index in position 1 exceeds array bounds. Index must not exceed 2."
Ailuroedus_crassirostris,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aix_galericulata,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Alaskozetes_antarcticus,6,0,,
Alauda_arvensis,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Alburnoides_eichwaldii_Kaboudval,error,0,,"Matrix dimensions must agree."
Alburnoides_eichwaldii_ShirAbad,6,0,,
Alburnoides_eichwaldii_Tajan,6,0,,
Alburnoides_eichwaldii_ZarrinGol,error,0,,"Index in position 1 exceeds array bounds. Index must not exceed 2."
Alburnus_alburnus,6a,0,,
Alburnus_baliki,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Matrix dimensions must agree."
Alca_torda,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Aldabrachelys_gigantea,6,0,,
Alectoris_chukar,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Alectoris_graeca,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Alectoris_rufa,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Alectura_lathami,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Alepes_djedaba,error,0,,"Initial function value must be finite and real."
Alepes_kleinii,6a,0,,
Alestes_baremoze,6a,0,,
Alestes_dentex,6a,0,,
Alle_alle,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
Alligator_sinensis,6,0,,
Allocyttus_niger,error,0,,"Integration interval contains NaN."
Allocyttus_verrucosus,6a,0,,
Allothunnus_fallai,6a,0,,
Alona_iheringula,6,0,,
Alopias_pelagicus,error,0,,"FZERO cannot continue because supplied function_handle ==> fnget_kap failed with the error below.   Integration interval contains NaN."
