Row,data_split,deb_loss,convergence,n_runs,n_iter,execution_time,error,error_message
Calcarius_lapponicus,test,0.103265854677055,0,1,500,22.0306055,0,
Larus_argentatus,test,0.185986311160129,0,1,500,27.3981905,0,
Nototheniops_larseni,test,0.11516464510143,0,1,500,21.1266357,0,
Isurus_oxyrinchus,test,0.176884345524947,0,1,500,15.9845272,0,
Gallotia_atlantica,test,0.0746539181756683,0,1,500,18.8021101,0,
Acanthis_flammea,test,0.110573925166676,0,1,500,23.2281732,0,
Kajikia_audax,test,0.0232781606137614,0,1,500,28.9107347,0,
Trichiurus_lepturus,test,0,0,0,0,0,0,
Gallotia_galloti,test,0.0989427682984261,0,1,500,15.8492732,0,
Orectolobus_halei,test,0.0204104494755831,0,1,500,17.9492166,0,
Strigops_habroptila,test,0.141868074398786,0,1,500,66.2563948,0,
Pyrrholaemus_sagittatus,test,0.11628773365115,0,1,500,36.2596984,0,
Lithobates_clamitans,test,0.0659300966029089,0,1,500,30.7653666,0,
Loricariichthys_anus,test,0,0,0,0,0,0,
Clangula_hyemalis,test,0.109330168596319,0,1,500,54.7015559,0,
Smutsia_temminckii,test,0.0750355613743621,0,1,500,32.2957551,0,
Morone_mississippiensis,test,0,0,0,0,0,0,
Puffinus_baroli,test,0.0976782570756092,0,1,500,51.9660681,0,
Bos_primigenius_Angus,test,0.26957169385142,0,1,500,41.2804073,0,
Cyprideis_torosa,test,0.307174708519546,0,1,500,50.3104892,0,
Graptemys_ouachitensis,test,0.19660337040938,0,1,500,48.4151865,0,
Centrocercus_urophasianus,test,0.102289834433691,0,1,500,103.0962672,0,
Paroreomyza_montana,test,0.10381510983209,0,1,500,65.2256308,0,
Sepia_officinalis,test,0.314518833992866,0,1,500,73.2506261,0,
Oedura_monilis,test,0.0552394434528801,0,1,500,62.4623662,0,
Tadorna_cana,test,0.121567307028674,0,1,500,104.8574466,0,
Gadus_macrocephalus,test,3.20489356554629,0,1,500,101.8129853,0,
Glaniopsis_hanitschi,test,0.0773118178118522,0,1,500,65.0957461,0,
Hydromys_chrysogaster,test,0.138143237676358,0,1,500,96.4133591,0,
Pipilo_chlorurus,test,0.135304853105189,0,1,500,79.4081045,0,
Silurus_triostegus,test,0.0155388483094253,0,1,500,89.192649,0,
Myioborus_miniatus,test,0.108951941734296,0,1,500,77.9637012,0,
Promerops_cafer,test,0.129998577710366,0,1,500,96.7659361,0,
Macropus_parma,test,0.213210779572875,0,1,500,86.763173,0,
Anous_cerulea,test,0.0280724179767156,0,1,500,100.7440826,0,
Lagorchestes_hirsutus,test,0.111878395368049,0,1,500,83.8086134,0,
Arenaria_melanocephala,test,0.104136431367743,0,1,500,113.0174578,0,
Urobatis_halleri,test,0.125994215759426,0,1,500,99.0049415,0,
Micralestes_acutidens,test,0.0300084557097992,0,1,500,93.1884211,0,
Sillago_vittata,test,0.117547344519591,0,1,500,94.5712308,0,
Euryceros_prevostii,test,0.107294940545441,0,1,500,95.3156673,0,
Caprimulgus_europaeus,test,0.113386917975156,0,1,500,95.6420059,0,
Atlantoraja_castelnaui,test,0.0224847267550252,0,1,500,92.5828011,0,
Magumma_parva,test,0.106438143282731,0,1,500,95.3143131,0,
Schilbe_mandibularis,test,0.0532424562772828,1,1,475,93.2172072,0,
Lithognathus_mormyrus,test,0.115651292212941,0,1,500,98.7022398,0,
Enicognathus_ferrugineus,test,0.173597030716197,0,1,500,100.8725296,0,
Rallus_elegans,test,0.197075829108735,0,1,500,99.7878437,0,
Mimus_polyglottos,test,0.103102316396719,0,1,500,73.73857,0,
Latimeria_chalumnae,test,0.116368162645649,0,1,500,58.0792146,0,
Neophocaena_phocaenoides,test,0.128944080727878,0,1,500,70.9133911,0,
Petromyzon_marinus,test,0.00294307078760701,0,1,500,72.1130938,0,
Oreortyx_pictus,test,0.108537243860493,0,1,500,69.3472068,0,
Dermatemys_mawii,test,0.167925725599684,0,1,500,66.7182883,0,
Acipenser_medirostris,test,0.100961089890141,0,1,500,73.2277945,0,
Ctenophorus_ornatus,test,0.866544335444521,0,1,500,74.0899662,0,
Asio_flammeus,test,0.109082513220448,0,1,500,87.2679156,0,
Maccullochella_ikei,test,0.0942743914073107,0,1,500,77.2575948,0,
Merops_apiaster,test,0.11203813608462,0,1,500,74.3912959,0,
Gallinago_gallinago,test,0.081710401084409,0,1,500,75.3393189,0,
Phylloscopus_sibilatrix,test,0.103129476593399,0,1,500,67.9110662,0,
Puffinus_gavia,test,0.11142956183282,0,1,500,68.5476208,0,
Pegusa_lascaris,test,0.229370212842549,0,1,500,83.5125737,0,
Struthio_camelus,test,0.169555760502111,0,1,500,72.5952783,0,
Ortalis_vetula,test,0.152288448058431,0,1,500,96.2319398,0,
Toxostoma_rufum,test,0.103966998481913,0,1,500,87.1912065,0,
Cyanoramphus_novaezelandiae,test,0.38677781799066,0,1,500,90.4419607,0,
Daphnia_cephalata,test,0.112116568836762,1,1,484,64.7600864,0,
