Row,data_split,deb_loss,convergence,n_runs,n_iter,execution_time,error,error_message
Ablennes_hians,test,0.022362771989121,0,14,7000,358.617064,0,
Acanthogobius_flavimanus,test,0.203531229152447,0,10,5000,133.9580811,0,
Acanthopagrus_arabicus,test,0.0476100063279791,0,4,2000,99.3173171,0,
Achoerodus_gouldii,test,0,0,0,0,4320,1,"Maximum execution time exceeded"
Acipenser_ruthenus,test,0.203070131439367,0,4,2000,71.7597622,0,
Acipenser_sturio,test,0,0,0,0,1.1197882,1,"The logical indices contain a true value outside of the array bounds."
Acrocheilus_alutaceus,test,0.0996434375521313,0,7,3500,122.2865365,0,
Aethaloperca_rogaa,test,0.0282764979698612,0,4,2000,77.1339675,0,
Alaskozetes_antarcticus,test,0,0,0,0,4320,1,"Maximum execution time exceeded"
Ammodytes_personatus,test,0.0942609780730165,0,7,3500,123.0750543,0,
Amphiprion_ocellaris,test,0.245372833953598,0,3,1500,71.0129913,0,
Anchoa_panamensis,test,0.0545675796310651,0,8,4000,136.4761118,0,
Anolis_gundlachi,test,0.0769267598504153,0,3,1500,38.5999848,0,
Apeltes_quadracus,test,0.261749550160823,1,24,11604,488.4877627,0,
Astyanax_bimaculatus,test,0.00406568300877515,0,9,4500,363.8261994,0,
Auxis_thazard,test,0.125569718826554,0,11,5500,447.1045266,0,
Batagur_affinis,test,0.0554523984517937,0,6,3000,103.6305104,0,
Brachymystax_lenok,test,0.0878677456376526,0,11,5500,172.1013188,0,
Cancer_pagurus,test,1.15863479076095,0,16,8000,1110.0255471,0,
Caranx_ignobilis,test,0.0281822260222111,0,5,2500,171.4100007,0,
Cephalopholis_microprion,test,0.107020031748917,0,10,5000,191.0813263,0,
Chiromantis_rufescens,test,0.00947456497701539,0,14,7000,233.4800414,0,
Chorismus_antarcticus,test,0.0792952067364083,0,10,5000,148.6215212,0,
Chydorus_pubescens,test,0.122281665116417,0,8,4000,204.8420446,0,
Citharinus_citharus,test,0.0369639513912794,0,8,4000,154.0049464,0,
Crotalus_oreganus,test,0.0728189367421932,0,7,3500,148.3826349,0,
Ctenophorus_adelaidensis,test,0.414457611733561,0,8,4000,133.2966596,0,
Cynoscion_regalis,test,0.0399139226160206,0,19,9500,343.6409025,0,
Daphnia_obtusa,test,0.103830589679939,0,7,3500,79.3976846,0,
Deania_calceus,test,0.253799851517287,0,7,3500,159.6286053,0,
Decapterus_punctatus,test,0.0315987021689471,0,13,6500,331.99297,0,
Desmognathus_brimleyorum,test,0,0,0,0,0.4408384,1,"The logical indices contain a true value outside of the array bounds."
Dicologlossa_cuneata,test,0.0362614021678634,0,15,7500,228.4851203,0,
Dorosoma_cepedianum,test,0.249714723856808,0,10,5000,331.6598254,0,
Elliptio_arca,test,0,0,0,0,4320,1,"Maximum execution time exceeded"
Emydura_macquarii,test,0.0635105626976364,0,6,3000,80.6062763,0,
Encrasicholina_devisi,test,0.216815928593523,0,8,4000,125.3448896,0,
Epinephelus_coioides,test,0.205204231166052,0,6,3000,196.6796237,0,
Epinephelus_maculatus,test,0.0841570880590183,0,5,2500,81.6864219,0,
Eremophilus_mutisii,test,0.0939764928508867,0,7,3500,166.7726984,0,
Eretmochelys_imbricata,test,0.309669605429748,0,7,3500,70.8750994,0,
Esox_niger,test,0.0991233617654775,0,9,4500,114.2000885,0,
Etheostoma_trisella,test,0,0,0,0,4320,1,"Maximum execution time exceeded"
Eubleekeria_splendens,test,0.0196066379156183,0,15,7500,277.2845709,0,
Fundulus_heteroclitus,test,0.169417784986748,0,5,2500,68.6668598,0,
Fusconaia_cuneolus,test,0,0,0,0,4320,1,"Maximum execution time exceeded"
Gallotia_stehlini,test,0.0871661692060332,0,5,2500,70.9850334,0,
Gambelia_sila,test,0.173866612671405,0,13,6500,584.0585974,0,
Gasterosteus_aculeatus,test,0.141889822154714,0,5,2500,107.0791918,0,
Gloydius_blomhoffii,test,0.163174880627679,0,10,5000,170.6063149,0,
Glyptemys_muhlenbergii,test,0.138671405084409,0,8,4000,119.1444534,0,
Gobius_vittatus,test,0.234596559521589,0,5,2500,63.429774,0,
Halosauropsis_macrochir,test,1.05377324382919,0,25,12500,369.0203259,0,
Hemibagrus_baramensis,test,0.259265612289928,0,11,5500,172.820439,0,
Hemitriakis_japanica,test,0.0751209620594142,0,3,1500,53.6945872,0,
Hippocampus_erectus,test,0.691013580067311,1,15,7046,566.6030751,0,
Hippocampus_hippocampus,test,0.21517695171591,1,135,32767,2085.7103691,0,
Hippoglossoides_platessoides,test,0,0,0,0,63.185882,1,"Arrays have incompatible sizes for this operation."
Homopus_signatus,test,1.05463019447059,0,6,3000,62.2247752,0,
Hypanus_guttatus,test,0.100121523360623,0,3,1500,65.4516965,0,
Hyperolius_viridiflavus,test,0,0,0,0,0.4697379,1,"Incorrect dimensions for matrix multiplication. Check that the number of columns in the first matrix matches the number of rows in the second matrix. To operate on each element of the matrix individually, use TIMES (.*) for elementwise multiplication."
Ictalurus_punctatus,test,0,0,0,0,4320,1,"Maximum execution time exceeded"
Karalla_dussumieri,test,0.276749502423858,0,36,18000,722.9605963,0,
Lampetra_planeri,test,0.455418284775236,0,42,21000,853.0570305,0,
Lates_longispinis,test,0.00650435361516807,0,5,2500,91.6149822,0,
Lates_stappersii,test,0.00290626174808236,0,4,2000,58.1868881,0,
Latris_lineata,test,0.0487186251084497,1,4,1985,562.7236951,0,
Lepidogobius_lepidus,test,0.0151666894530994,0,6,3000,72.4830742,0,
Leptomysis_lingvura,test,0.205569259023481,0,7,3500,160.3538738,0,
Liopholis_inornata,test,0.250312125593492,1,5,2423,69.2839251,0,
