Row,data_split,deb_loss,convergence,n_runs,n_iter,execution_time,error,error_message
Orectolobus_maculatus,test,0.0067952021218449,0,3,1500,54.4570543,0,
Grus_monacha,test,0.110135398067923,0,13,6500,407.3686189,0,
Palaemonetes_pugio,test,0.108939467348777,0,4,2000,111.3638704,0,
Brycon_moorei,test,0.133541723918846,0,10,5000,239.641262,0,
Platichthys_stellatus,test,0.208346087401189,0,4,2000,114.1542206,0,
Petrochelidon_ariel,test,0.0645343741570418,0,9,4500,263.6336467,0,
Certhia_familiaris,test,0.12460694475089,0,5,2500,170.6757493,0,
Decapterus_punctatus,test,0.0294502917496633,0,9,4500,262.196798,0,
Chanos_chanos,test,0.606192080426473,0,16,8000,407.878909,0,
Achondrostoma_arcasii,test,0.0312571290072084,0,39,19500,907.9277303,0,
Ictinia_mississippiensis,test,0.106727326899853,0,9,4500,242.7690787,0,
Chamelea_gallina,test,0.131810749131444,0,13,6500,245.1570304,0,
Sceloporus_grammicus,test,0.865149164098807,0,5,2500,100.5778474,0,
Caranx_ignobilis,test,0.0482817262127402,0,20,10000,609.1192223,0,
Cyanocorax_beecheii,test,0.10295686813634,0,14,7000,443.8758108,0,
Photopectoralis_bindus,test,0.0417954391684847,0,3,1500,44.8724161,0,
Pyxicephalus_adspersus,test,0,0,0,0,1.0145288,1,"Incorrect dimensions for matrix multiplication. Check that the number of columns in the first matrix matches the number of rows in the second matrix. To operate on each element of the matrix individually, use TIMES (.*) for elementwise multiplication."
Cistothorus_palustris,test,0.0991765550390835,0,5,2500,163.4237607,0,
Sargocentron_diadema,test,0.0351571328838343,1,3,1250,37.5230221,0,
Dipturus_batis,test,0.112875872034348,0,6,3000,154.2768585,0,
Gyps_coprotheres,test,0.100483713337095,0,11,5500,386.5456906,0,
Microcarbo_coronatus,test,0.103508047632684,0,14,7000,354.4333127,0,
Gazza_minuta,test,0.0291127578529263,0,15,7500,289.2330963,0,
Gobius_ophiocephalus,test,0.0302875883508872,1,3,1374,34.1654046,0,
Cinnyris_jugularis,test,0.102620274112415,0,16,8000,346.6190358,0,
Bathyraja_macloviana,test,0.177870437741048,0,4,2000,75.8351224,0,
Pellona_harroweri,test,0.0445718096688274,0,13,6500,206.2066749,0,
Coilia_nasus,test,0.178120309459553,0,4,2000,88.2008775,0,
