Row,data_split,deb_loss,convergence,n_runs,n_iter,execution_time,error,error_message
Orectolobus_maculatus,test,0.00679520359290489,0,4,2000,127.7629055,0,
Grus_monacha,test,0.111429283643688,0,7,3500,426.6094057,0,
Palaemonetes_pugio,test,0.10896149330869,0,3,1500,118.8939661,0,
Brycon_moorei,test,0.13061909245781,0,10,5000,496.0545623,0,
Platichthys_stellatus,test,0.208346663194162,0,4,2000,161.857684,0,
Petrochelidon_ariel,test,0.108868270998062,0,14,7000,708.9259159,0,
Certhia_familiaris,test,0.126993539669725,0,5,2500,275.0315478,0,
Decapterus_punctatus,test,0.0610471077756357,1,11,5346,645.2938195,0,
Trichomycterus_itacarambiensis,test,0,0,0,0,4320,1,"Maximum execution time exceeded"
Chanos_chanos,test,0,0,0,0,4320,1,"Maximum execution time exceeded"
Achondrostoma_arcasii,test,0.0424124859054912,0,47,23500,2383.4114279,0,
Ictinia_mississippiensis,test,0.106653097901547,0,11,5500,598.1605505,0,
Chamelea_gallina,test,0.131727965693316,0,13,6500,473.0284767,0,
Sceloporus_grammicus,test,0.86514916410348,0,4,2000,116.5375689,0,
Caranx_ignobilis,test,0.0525021688148276,0,6,3000,419.2791103,0,
Cyanocorax_beecheii,test,0.118536553929603,0,14,7000,921.8975198,0,
Photopectoralis_bindus,test,0.0370035907745862,0,3,1500,87.5410401,0,
Pyxicephalus_adspersus,test,0,0,0,0,0.6906886,1,"Incorrect dimensions for matrix multiplication. Check that the number of columns in the first matrix matches the number of rows in the second matrix. To operate on each element of the matrix individually, use TIMES (.*) for elementwise multiplication."
Cistothorus_palustris,test,0.0979947244933293,0,7,3500,341.0616415,0,
Sargocentron_diadema,test,0.0351571328838199,1,2,905,48.0753855,0,
Dipturus_batis,test,0.112878204459684,0,5,2500,198.5959225,0,
Gyps_coprotheres,test,0.102614740590908,0,19,9500,1451.729546,0,
Microcarbo_coronatus,test,0.102611194886381,0,16,8000,807.5687484,0,
Gazza_minuta,test,0.0171269691928248,0,5,2500,176.932988,0,
Gobius_ophiocephalus,test,0.0302875883515155,0,3,1500,76.9295261,0,
Cinnyris_jugularis,test,0.107445614330996,0,13,6500,564.7108798,0,
Bathyraja_macloviana,test,0.177870444857619,0,4,2000,117.7242739,0,
Pellona_harroweri,test,0,0,0,0,4320,1,"Maximum execution time exceeded"
Coilia_nasus,test,0.178120450056004,0,5,2500,155.4903953,0,
Pelecanoides_georgicus,test,0.0243482129659901,0,8,4000,384.9246451,0,
Dendroplex_picus,test,0.11830198757742,0,12,6000,567.4554195,0,
Neoceratodus_forsteri,test,0.469911180596873,0,4,2000,122.9398733,0,
Trygonoptera_mucosa,test,0.0454554131894897,0,5,2500,201.368319,0,
Cnidoglanis_macrocephalus,test,0.01424844320777,0,7,3500,277.4269782,0,
Hydromedusa_maximiliani,test,0.146347221384505,0,4,2000,111.9384982,0,
Phalacrocorax_brasilianus,test,0.120965809037312,0,13,6500,636.7124422,0,
Larimichthys_polyactis,test,0,0,0,0,4320,1,"Maximum execution time exceeded"
Dissostichus_mawsoni,test,0.858909233875593,0,26,13000,1708.4852517,0,
Astyanax_bimaculatus,test,0.00499331877268699,0,5,2500,417.4292647,0,
Calidris_himantopus,test,0.102139602490337,0,9,4500,442.9508026,0,
Torpedo_marmorata,test,0.165269829835106,0,16,8000,712.7244191,0,
Apeltes_quadracus,test,0.120461378260733,0,15,7500,652.946126,0,
Oxyura_jamaicensis,test,0,0,0,0,118.2344277,1,"Arrays have incompatible sizes for this operation."
Anthus_rubescens,test,0.101688308894049,0,13,6500,757.3198918,0,
Pleurodeles_waltl,test,0,0,0,0,1.3329426,1,"The logical indices contain a true value outside of the array bounds."
Neotrygon_annotata,test,0.0380936159455303,0,5,2500,216.3432576,0,
Stolephorus_commersonnii,test,0.0764178328657378,0,6,3000,196.9286208,0,
Turdus_olivaceus,test,0.107881582466077,0,10,5000,697.5693655,0,
Gymnorhinus_cyanocephalus,test,0.111771752202772,0,10,5000,708.6338013,0,
Acanthogobius_flavimanus,test,0.203600430774712,0,8,4000,209.4023789,0,
Calyptorhynchus_lathami,test,0.119040703472455,0,30,15000,1614.0410457,0,
Malacoraja_senta,test,0.0854860347804415,0,3,1500,165.4562036,0,
Brycinus_leuciscus,test,0.0283678824886292,0,8,4000,314.2884517,0,
Crocodylus_moreletii,test,0.631357645649893,0,6,3000,123.0248115,0,
Petromyzon_marinus,test,0.00294306868254167,0,9,4500,339.044134,0,
Pellonula_leonensis,test,0.00662928744259308,0,12,6000,362.4563853,0,
Procnias_averano,test,0.106649627832906,0,11,5500,627.5112739,0,
Entosphenus_tridentatus,test,0.0219574909559682,0,4,2000,152.3079777,0,
Melanitta_perspicillata,test,0.137473887779444,0,18,9000,765.5730084,0,
Ichthyomyzon_castaneus,test,0.00837380065405049,1,4,1957,153.9254358,0,
Parma_microlepis,test,0.0887807854454179,0,21,10500,1264.0282678,0,
Pomadasys_kaakan,test,0.146621717890497,0,5,2500,276.9079638,0,
Sitta_europaea,test,0.0973164985736438,0,11,5500,520.6558434,0,
