Row,data_split,deb_loss,convergence,n_runs,n_iter,execution_time,error,error_message
Cochlearius_cochlearius,test,0.168117673143892,0,1,500,24.705931,0,
Wallabia_bicolor,test,0.151366837468664,1,1,486,22.1843854,0,
Ammodytes_personatus,test,0.0821220442903434,0,1,500,17.3437811,0,
Typhlonarke_aysoni,test,0.115143682313372,1,1,403,17.0120986,0,
Ctenophorus_adelaidensis,test,0.414408247783953,0,1,500,15.1412254,0,
Spheniscus_demersus,test,0.101020688524702,0,1,500,24.919511,0,
Acanthiza_chrysorrhoa,test,0.10271493833333,0,1,500,21.7610633,0,
Urogymnus_polylepis,test,0.112070139226004,0,1,500,16.6924077,0,
Branchinella_thailandensis,test,0.160704401300215,0,1,500,100.4191803,0,
Gyrinophilus_palleucus,test,0.367842143425737,1,1,341,10.4330171,0,
Myiobius_atricaudus,test,0.0403420622142978,0,1,500,28.2063617,0,
Sardinella_gibbosa,test,0.114799403628919,0,1,500,19.455489,0,
Hemitriakis_japanica,test,0.0751209617516876,0,1,500,25.8654619,0,
Fulmarus_glacialis,test,0.169179037468146,0,1,500,34.3570766,0,
Cinclus_leucocephalus,test,0.112939441735195,0,1,500,26.9299982,0,
Tersina_viridis,test,0.11343915010451,0,1,500,25.15543,0,
Crocodylus_siamensis,test,0.0471248757008722,0,1,500,22.9708578,0,
Phylloscopus_sibilatrix,test,0.101395619180507,0,1,500,27.9376362,0,
Melanitta_perspicillata,test,0.136199229219599,0,1,500,26.4459843,0,
Alaskozetes_antarcticus,test,0.72812108594506,1,1,149,10.2408998,0,
Mohoua_novaeseelandiae,test,0.0998561010893254,0,1,500,18.0110849,0,
Achoerodus_gouldii,test,0.0946678739596598,0,1,500,18.0577387,0,
Pseudoseisura_lophotes,test,0.107581954554625,0,1,500,26.1491699,0,
Hypsibius_convergens,test,1.04417004146841,1,1,318,15.6837716,0,
Branchotenthes_octohamatus,test,1.0532534056708,0,1,500,24.2378823,0,
Himatione_sanguinea,test,0.113545701400339,0,1,500,22.4309595,0,
Acanthogobius_flavimanus,test,0.203528389151852,0,1,500,14.6087208,0,
Crocodylus_niloticus,test,0.0506240321182144,1,1,481,15.9918689,0,
Argya_squamiceps,test,0.134303125996093,0,1,500,26.7041214,0,
Cancer_pagurus,test,0.287834121241585,0,1,500,219.0162953,0,
Aethia_pusilla,test,0.101327904794156,0,1,500,36.9798705,0,
Desmognathus_brimleyorum,test,0.36451987817149,1,1,353,9.5372844,0,
Branta_canadensis,test,0.188288831902785,0,1,500,24.4907851,0,
Chondestes_grammacus,test,0.103002484212965,0,1,500,27.123312,0,
Gallus_gallus_WL,test,0.228491672147168,0,1,500,18.5004753,0,
Glyptemys_muhlenbergii,test,0.138669610241283,0,1,500,18.8472476,0,
Archilochus_alexandri,test,0.0403939172442367,1,1,287,20.5894043,0,
Sakesphorus_canadensis,test,0.127308459674022,0,1,500,25.6112018,0,
Gasterosteus_aculeatus,test,0.142603316015111,0,1,500,25.3407131,0,
Calidris_melanotos,test,0.113729467907045,0,1,500,29.2545269,0,
Orectolobus_maculatus,test,0.00679520211392187,1,1,476,17.6930273,0,
Phalacronotus_micronemus,test,0.00804348301954373,0,1,500,16.9625365,0,
Megascops_kennicottii,test,0.114791057086578,0,1,500,26.7855989,0,
Buphagus_erythrorhynchus,test,0.114465191591835,0,1,500,25.1929584,0,
Platichthys_flesus,test,0.0958567548677245,0,1,500,33.3000414,0,
Astyanax_bimaculatus,test,0.00392613583904039,0,1,500,39.2280919,0,
Dendrobaena_octaedra,test,1.88078525696217,1,1,322,9.5141332,0,
Serinus_canaria,test,0.113523240430951,0,1,500,21.3523037,0,
Dermatemys_mawii,test,0.167925725599682,1,1,474,18.2848406,0,
Taeniopygia_guttata,test,0.140144396789152,0,1,500,29.7923474,0,
Stolephorus_carpentariae,test,0.21090130420926,0,1,500,16.7859125,0,
Lagopus_muta,test,0.148887088139825,0,1,500,40.8075051,0,
Acridotheres_cristatellus,test,0.120415276038467,0,1,500,26.2459518,0,
Emberiza_citrinella,test,0.12401817684201,1,1,266,21.9834512,0,
Boa_constrictor,test,0.614200548518832,0,1,500,16.5725208,0,
Morone_mississippiensis,test,0.0812680548852323,0,1,500,17.4642081,0,
Cirrhinus_cirrhosus,test,0.00983611792218085,0,1,500,14.3876034,0,
Spinus_pinus,test,0.112986041437695,0,1,500,20.2758595,0,
Lagostrophus_fasciatus,test,0.060127745041384,0,1,500,10.3319075,0,
Melanitta_deglandi,test,0.139596205767838,0,1,500,19.0181199,0,
Seiurus_aurocapilla,test,0.109657786042101,0,1,500,32.4067007,0,
Girardinus_denticulatus,test,0.147499143785204,0,1,500,31.7362998,0,
Membras_martinica,test,0.0822754123390114,1,1,363,17.2175416,0,
Daphnia_cephalata,test,0.112116568836761,1,1,369,11.4410342,0,
Hippocampus_erectus,test,0.172115417211409,0,1,500,39.5345509,0,
Ramphastos_dicolorus,test,0.125251451585189,0,1,500,29.6048598,0,
Gallinula_melanops,test,0.157028233508326,0,1,500,53.4406102,0,
Stolephorus_indicus,test,0.0982358387773764,0,1,500,20.6071157,0,
Pennahia_argentata,test,0.09032472574175,0,1,500,33.8318419,0,
Phacellodomus_ruber,test,0.121179556166836,0,1,500,25.5381663,0,
Acipenser_persicus,test,0.0932830821302459,0,1,500,17.7179116,0,
Daphnia_obtusa,test,0.103830589216007,1,1,308,7.8137872,0,
Macrobiotus_hufelandii,test,0.167916308948916,0,1,500,27.4368366,0,
Hippoglossoides_platessoides,test,0.0319244097507214,0,1,500,47.4775431,0,
Stegastes_flavilatus,test,0.0634166533793483,0,1,500,25.8583718,0,
Liopholis_inornata,test,0.250312125593491,1,1,379,14.105667,0,
Mormyrus_longirostris,test,0.014600336904382,0,1,500,15.1368421,0,
Turdus_olivaceus,test,0.107894375523821,0,1,500,33.9687539,0,
Setophaga_petechia,test,0.10501681056408,0,1,500,25.0763606,0,
Thunnus_albacares,test,0.0941122694363948,0,1,500,18.1012193,0,
Nycticorax_nycticorax,test,0.159730500000425,0,1,500,23.1462363,0,
Macquaria_ambigua,test,0.0689146776567536,0,1,500,21.5264486,0,
Trematomus_eulepidotus,test,0.0929107224303019,0,1,500,25.1602689,0,
Salamandrina_perspicillata,test,0.377548809957367,1,1,412,11.4149906,0,
Leptomysis_lingvura,test,0.205569259023441,1,1,339,11.8921551,0,
Platichthys_stellatus,test,0.208346066428714,0,1,500,21.9123539,0,
Lophophanes_cristatus,test,0.0965420849704112,0,1,500,20.3940152,0,
Oriolus_sagittatus,test,0.104778210687606,0,1,500,28.0796219,0,
Synodontis_membranaceus,test,0.00461639964580941,0,1,500,14.6429749,0,
Plethodon_kentucki,test,0.0739784804387915,1,1,279,12.8271664,0,
Myadestes_obscurus,test,0.113596496513952,0,1,500,28.48292,0,
Halosauropsis_macrochir,test,0.368949992225379,0,1,500,18.6212627,0,
Pernis_apivorus,test,0.103140772262316,0,1,500,29.7730263,0,
Gloydius_blomhoffii,test,0.163746557631538,0,1,500,18.3443873,0,
Stelgidopteryx_ruficollis,test,0.113213451654426,0,1,500,26.6555819,0,
Siniperca_chuatsi,test,0.868961257249657,0,1,500,13.8860984,0,
Mobula_birostris,test,0.106352579110702,1,1,404,14.3418833,0,
Acipenser_ruthenus,test,0.203070131439236,1,1,378,11.7097278,0,
Alepes_djedaba,test,0.0285515615788236,0,1,500,22.2181543,0,
Plagioscion_squamosissimus,test,0.144118340329825,1,1,361,77.2196542,0,
Hypanus_guttatus,test,0.100050103913243,0,1,500,27.2897721,0,
Palaemon_elegans,test,0.155022800277582,0,1,500,19.9867592,0,
Chiromantis_rufescens,test,0.00927478064984649,0,1,500,16.919571,0,
Porphyrio_martinica,test,0.118710789182195,0,1,500,28.9553495,0,
Ablennes_hians,test,0.00818355237063995,0,1,500,24.4551041,0,
Mareca_americana,test,0.101734799703797,0,1,500,29.6123015,0,
Fundulus_heteroclitus,test,0.127740093824378,0,1,500,25.9223301,0,
Xiphias_gladius,test,0.273166576445404,0,1,500,21.7670133,0,
Dendroplex_picus,test,0.117269618725954,0,1,500,26.9149085,0,
Phascolarctos_cinereus,test,0.528443693628791,0,1,500,13.1155712,0,
Aerodramus_fuciphagus,test,0.0907518777554884,0,1,500,21.2112231,0,
Aquila_chrysaetos,test,0.0989857952555053,0,1,500,25.3431677,0,
Pholidoscelis_exsul,test,0.692319646397565,0,1,500,10.9098363,0,
Tyto_alba,test,0.0956836274038819,0,1,500,34.6752046,0,
Pterodroma_hypoleuca,test,0.095344217979266,0,1,500,26.748194,0,
Trygonoptera_mucosa,test,0.0454538102101347,0,1,500,24.5330311,0,
Percilia_irwini,test,0.00163117702621476,0,1,500,21.0351084,0,
Lanius_excubitor,test,0.104509803430703,1,1,291,31.3222754,0,
Ardea_herodias,test,0.117852502336969,0,1,500,61.244781,0,
Sillago_sihama,test,0.0216540238233227,0,1,500,18.5463763,0,
Rhincodon_typus,test,0.0706244396464907,0,1,500,24.3917386,0,
Acanthopagrus_arabicus,test,0.0457662602329537,0,1,500,22.5088104,0,
Cinnyris_jugularis,test,0.10512517141511,0,1,500,22.3984954,0,
Porzana_carolina,test,0.11168466441295,0,1,500,26.3946281,0,
Pelecanus_onocrotalus,test,0.182454926439101,0,1,500,63.5222571,0,
Paleosuchus_trigonatus,test,0.133349086924829,0,1,500,22.6052268,0,
Lampornis_clemenciae,test,0.0975132912933624,0,1,500,22.1009316,0,
Forpus_passerinus,test,0.0356637240523989,0,1,500,27.116418,0,
Podocnemis_expansa,test,0.129469252423176,0,1,500,14.6824566,0,
Symsagittifera_roscoffensis,test,0.103710070453291,1,1,314,19.2462073,0,
Spiza_americana,test,0.104141919289282,0,1,500,33.304343,0,
Sylvia_atricapilla,test,0.109102554056762,0,1,500,32.4884773,0,
Oncorhynchus_gilae,test,0.111568540243223,0,1,500,20.6650022,0,
Anolis_gundlachi,test,0.0769267598504108,1,1,354,9.353838,0,
Emberizoides_ypiranganus,test,0.102538853460631,0,1,500,26.6372368,0,
Gerlachea_australis,test,0.128331415592071,0,1,500,29.7734585,0,
Plethodon_cinereus,test,0.121577094977314,1,1,328,13.4174543,0,
Eudyptes_pachyrhynchus,test,0.113138085603957,0,1,500,23.6033159,0,
Dorosoma_cepedianum,test,0.26576172882436,0,1,500,43.5588609,0,
Cypseloides_cherriei,test,0.124956374182117,0,1,500,27.3645989,0,
Plectropomus_maculatus,test,0.0746903313364688,0,1,500,17.6593613,0,
Cypsiurus_balasiensis,test,0.0365638443875509,1,1,275,25.2697295,0,
Junco_phaeonotus,test,0.116255313238113,0,1,500,25.3268656,0,
Fregetta_tropica,test,0.096444264098542,0,1,500,24.2190789,0,
Paralabrax_auroguttatus,test,0.0281847344258462,0,1,500,37.5551763,0,
Cerastoderma_edule,test,0.0203468429790644,0,1,500,13.3407857,0,
Stegastes_acapulcoensis,test,0.0372853573908976,0,1,500,29.3457432,0,
Liparis_pulchellus,test,0.0576073525509583,1,1,424,26.4371265,0,
Sporophila_beltoni,test,0.112014759143507,0,1,500,25.7318064,0,
Anthus_rubescens,test,0.104253741006978,0,1,500,27.8087687,0,
Balaeniceps_rex,test,0.140752832175642,0,1,500,31.4428235,0,
Urosphena_squameiceps,test,0.107243353365427,0,1,500,33.8775735,0,
Francolinus_francolinus,test,0.103033375627353,0,1,500,21.1340912,0,
Rana_macrocnemis,test,0.274906018533452,0,1,500,20.0327002,0,
Gallotia_stehlini,test,0.0871661691796664,1,1,459,15.5869384,0,
Phoeniconaias_minor,test,0.113224202563903,0,1,500,15.9231632,0,
Malurus_splendens,test,0.104022458819996,0,1,500,27.3968086,0,
Calcarius_pictus,test,0.112817120169548,0,1,500,25.6714693,0,
Lepidochelys_kempii,test,0.116228860611991,1,1,406,10.1789649,0,
Cynoglossus_zanzibarensis,test,0.0769634927836971,0,1,500,23.8826608,0,
Paralabrax_clathratus,test,0.0293563163143153,1,1,354,14.7995469,0,
Poecilia_latipinna,test,0.136702883320162,1,1,424,14.3761687,0,
Sterna_forsteri,test,0.104972024066738,0,1,500,28.4629977,0,
Octopus_cyanea,test,1.36403089098563,0,1,500,58.4863367,0,
Phalacrocorax_brasilianus,test,0.120179122923111,0,1,500,28.2872878,0,
Apteryx_mantelli,test,0.0599942594579464,0,1,500,16.6904505,0,
Rhizoprionodon_oligolinx,test,0.00968066702527334,1,1,292,24.4225886,0,
Manis_pentadactyla,test,0.158655651368011,1,1,402,12.6621011,0,
Raja_microocellata,test,0.0941151225378883,1,1,404,13.8711787,0,
Diomedea_epomophora,test,0.117790285227612,0,1,500,48.5551023,0,
Karalla_dussumieri,test,0.0310395822663932,0,1,500,19.3206497,0,
Rissa_tridactyla,test,0.171357164214177,0,1,500,42.8208067,0,
Lampetra_planeri,test,0.56120367985731,1,1,56,9.6115933,0,
Pterodroma_macroptera,test,0.105687818865108,0,1,500,28.1617261,0,
Neoniphon_sammara,test,0.0251992233185033,1,1,401,11.8361077,0,
Chorismus_antarcticus,test,0.0791475756430546,0,1,500,13.9370392,0,
Phorcus_lineatus,test,0.0976249358915465,1,1,298,8.670155,0,
Pristipomoides_sieboldii,test,0.0243415742495522,0,1,500,17.1307905,0,
Aethaloperca_rogaa,test,0.0554541830323506,0,1,500,19.6496835,0,
Astrapia_mayeri,test,0.108374896522897,0,1,500,24.7336192,0,
Setophaga_townsendi,test,0.102271639196386,0,1,500,23.3362217,0,
Pristis_zijsron,test,0.0173757071893748,1,1,339,26.7623421,0,
Sceloporus_occidentalis,test,0.197513232021075,1,1,372,9.6853802,0,
Emydura_macquarii,test,0.063510138147045,0,1,500,14.9807537,0,
Ilyocryptus_spinifer,test,0.107072183452516,1,1,454,28.2292991,0,
Deania_calceus,test,0.253799832459617,0,1,500,26.5627168,0,
Raja_radula,test,0.0835418008023341,0,1,500,22.7543222,0,
Egretta_gularis,test,0.105102569445754,0,1,500,30.4371106,0,
Caiman_crocodilus,test,0.156432356309265,0,1,500,22.8304975,0,
Cynoscion_regalis,test,0.0399136411853507,0,1,500,18.438443,0,
Tangara_parzudakii,test,0.114789951427556,0,1,500,23.1175514,0,
Sterna_paradisaea,test,0.110888719977254,0,1,500,26.9336616,0,
Neoceratodus_forsteri,test,0.469911180596233,1,1,386,12.9469658,0,
Philomachus_pugnax,test,0.124885691849718,0,1,500,65.7212568,0,
Amphiprion_ocellaris,test,0.295402937213789,0,1,500,18.2365165,0,
Lates_stappersii,test,0.00446893986725519,0,1,500,16.2841503,0,
Lates_longispinis,test,0.00638822596019322,0,1,500,13.9324683,0,
Euproctus_platycephalus,test,0.213001901867084,0,1,500,18.3791313,0,
Macroramphosus_scolopax,test,0.0621818033546695,1,1,352,6.7661293,0,
Streptocephalus_torvicornis,test,0.149073570277076,0,1,500,42.1164918,0,
Syngnathus_fuscus,test,0.0283507658180859,0,1,500,16.1608521,0,
Rhabdotorrhinus_corrugatus,test,0.104868336339492,0,1,500,30.4326627,0,
Crotalus_oreganus,test,0.0728178889290306,0,1,500,21.1665931,0,
Calyptorhynchus_lathami,test,0.118403305027786,0,1,500,27.7381031,0,
Stegastes_nigricans,test,0.00689758748036157,0,1,500,15.2901289,0,
Toxostoma_longirostre,test,0.102228279166709,0,1,500,28.5616257,0,
Lagenorhynchus_albirostris,test,0.0612584403800919,0,1,500,16.871233,0,
Decapterus_punctatus,test,0.0411269765454486,0,1,500,28.7263679,0,
Rissa_brevirostris,test,0.131236612745965,0,1,500,33.713623,0,
Hirundo_neoxena,test,0.0962999395571231,0,1,500,28.0471891,0,
Macroramphosus_gracilis,test,0.0632601614936858,1,1,366,7.1080257,0,
Cephalopholis_microprion,test,0.0735315012074317,0,1,500,21.9434237,0,
Homopus_signatus,test,1.0546296198007,0,1,500,10.4426747,0,
Zosterisessor_ophiocephalus,test,0.00440579825464137,0,1,500,17.6342662,0,
Antrostomus_vociferus,test,0.128702023649505,0,1,500,29.7156486,0,
Osmerus_dentex,test,0.231232417759684,1,1,334,9.905794,0,
Salpa_thompsoni,test,0.382577901528852,1,1,295,45.5441206,0,
Phoebastria_immutabilis,test,0.143310567853708,0,1,500,25.3883087,0,
Tetraogallus_himalayensis,test,0.104517808675352,0,1,500,24.3151691,0,
Fregata_minor,test,0.0980768997127508,0,1,500,29.2721076,0,
Octopus_vulgaris,test,0.860138045226339,1,1,76,28.5913447,0,
Citharinus_citharus,test,0.0365413307345653,0,1,500,16.0364331,0,
Ptychocheilus_oregonensis,test,0.0811031898845207,0,1,500,16.3690672,0,
Sterna_hirundo,test,0.104752026203892,0,1,500,24.5329857,0,
Limnodromus_griseus,test,0.112614078498543,0,1,500,21.936011,0,
Coracopsis_barklyi,test,0.13700337361829,0,1,500,24.2588178,0,
Chlorothraupis_carmioli,test,0.144225876022236,0,1,500,27.4427256,0,
Acrocheilus_alutaceus,test,0.100056490240023,0,1,500,16.8022404,0,
Encrasicholina_devisi,test,0.216819221190459,0,1,500,16.7661537,0,
Pomacentrus_moluccensis,test,0.0855577972159644,0,1,500,21.47593,0,
Cereopsis_novaehollandiae,test,0.0377573878246179,0,1,500,25.3883607,0,
Latris_lineata,test,0.102439477548824,0,1,500,161.6114895,0,
Dendrocygna_autumnalis,test,0.708737757681345,0,1,500,23.0523964,0,
Pagellus_bellottii,test,0.00586561164705623,0,1,500,37.5684873,0,
Spizella_pallida,test,0.109271262298543,0,1,500,24.1149254,0,
Rastrelliger_faughni,test,0.0297869442232353,0,1,500,15.7443824,0,
Ictalurus_punctatus,test,0.569714560899019,0,1,500,47.2668346,0,
Micrurus_corallinus,test,0.130754496905289,0,1,500,14.3577986,0,
Eubleekeria_splendens,test,0.0179580762311585,0,1,500,17.3474906,0,
Triturus_cristatus,test,0.0898197454347673,1,1,475,15.5644994,0,
Physella_gyrina,test,0.628266851537182,0,1,500,19.7329937,0,
Maccullochella_peelii,test,0.1222743092556,0,1,500,41.9763134,0,
Hemibagrus_baramensis,test,0.259218461128529,0,1,500,21.086973,0,
Urechis_caupo,test,0.555465729402104,1,1,311,8.8226502,0,
Turdus_eremita,test,0.109748673877128,0,1,500,25.9307039,0,
Gallinago_gallinago,test,0.0817086188021053,1,1,304,29.4287946,0,
Pandion_haliaetus,test,0.106695865292696,0,1,500,51.9884593,0,
Pelophylax_epeiroticus,test,0.0423474565373066,0,1,500,20.1946023,0,
Eretmochelys_imbricata,test,0.309663659380136,0,1,500,10.6443649,0,
Quiscalus_quiscula,test,0.111491936102195,0,1,500,28.437553,0,
Setophaga_kirtlandii,test,0.102543763040937,0,1,500,21.0013127,0,
Acrocephalus_scirpaceus,test,0.106212370807988,0,1,500,25.8973379,0,
Trematomus_hansoni,test,0.104198041203028,0,1,500,62.6677568,0,
Thymallus_baicalensis,test,0.187909048760428,0,1,500,14.766909,0,
Scomberomorus_niphonius,test,0.0400311983740581,0,1,500,25.0156095,0,
Calotriton_asper,test,0.29508341033503,0,1,500,24.644735,0,
Macropus_antilopinus,test,0.0559520646184438,0,1,500,14.7707326,0,
Lepidogobius_lepidus,test,0.0151666893258927,1,1,320,9.2868679,0,
Acridotheres_tristis,test,0.125558007205026,0,1,500,34.3723763,0,
Chanos_chanos,test,0.593068841830585,0,1,500,27.8041043,0,
Orectolobus_hutchinsi,test,0.0603427630200899,0,1,500,24.5068053,0,
Perna_viridis,test,0.566029121706351,0,1,500,28.2661889,0,
Ophiura_ophiura,test,0.180726629167588,1,1,300,14.0666075,0,
Dolloidraco_longedorsalis,test,0.0859740796975676,1,1,438,33.5082849,0,
Nipponia_nippon,test,0.107204473758627,0,1,500,46.3915074,0,
Mesitornis_variegatus,test,0.0416607038885364,0,1,500,14.3496575,0,
Epinephelus_coioides,test,0.309096985454878,1,1,105,24.8897663,0,
Pelagodroma_marina,test,0.0146385003430091,0,1,500,27.1994744,0,
Zosterops_virens,test,0.111046674471004,0,1,500,39.2116384,0,
Galeocerdo_cuvier,test,0.213202585738252,0,1,500,17.9039077,0,
Gammarus_pseudolimnaeus,test,0.256607480521291,0,1,500,45.7730202,0,
Passerina_cyanea,test,0.101438081860385,0,1,500,28.3089878,0,
Pipilo_maculatus,test,0.118999624349588,0,1,500,33.6163282,0,
Charadrius_pecuarius,test,0.115320267098941,0,1,500,21.5833922,0,
Myadestes_palmeri,test,0.10855131130915,0,1,500,27.5089357,0,
Brachymystax_lenok,test,0.0878676425290893,0,1,500,18.2888089,0,
Aplodontia_rufa,test,0.153336088539889,0,1,500,13.2413594,0,
Cinnyris_osea,test,0.105399228487428,0,1,500,26.0809839,0,
Apeltes_quadracus,test,0.116079321457838,0,1,500,22.6645676,0,
Gymnorhinus_cyanocephalus,test,0.120282666182287,0,1,500,25.119723,0,
Hyperolius_viridiflavus,test,0.145795310440424,1,1,391,10.8674735,0,
Limosa_limosa,test,0.1435436883622,0,1,500,25.2813328,0,
Lepidonotothen_squamifrons,test,0.0565857668918153,0,1,500,16.1623593,0,
Epinephelus_maculatus,test,0.0501963149624547,0,1,500,18.5823715,0,
Chydorus_pubescens,test,0.122281665100586,1,1,412,12.0790459,0,
Dendrocygna_bicolor,test,0.100833520255353,0,1,500,48.2023849,0,
Aneides_aeneus,test,0.289262331537257,1,1,370,8.7241136,0,
Parastromateus_niger,test,0.00396429444437138,0,1,500,19.1323352,0,
Tichodroma_muraria,test,0.0992483618662762,0,1,500,28.1706417,0,
Dromaius_novaehollandiae,test,0.113491059406508,0,1,500,22.0359327,0,
Mytilus_trossulus,test,0.101517614895612,1,1,424,14.9594473,0,
Batagur_affinis,test,0.0554512983947086,0,1,500,13.7353174,0,
Poospiza_ornata,test,0.104297275064821,0,1,500,27.421898,0,
Pecten_maximus,test,1.64266477863424,1,1,223,23.3299637,0,
Cyprideis_torosa,test,0.319516327462748,0,1,500,1142.9124768,0,
Bathyraja_macloviana,test,0.17866359927629,1,1,352,12.178659,0,
Calcarius_ornatus,test,0.110037196499378,0,1,500,30.6188061,0,
Paralaudakia_stoliczkana,test,0.0761597051448519,0,1,500,14.648791,0,
Ptychoramphus_aleuticus,test,0.108167966330051,0,1,500,33.7766313,0,
Anchoa_panamensis,test,0.0545649631405721,0,1,500,16.7050453,0,
Etheostoma_zonistium,test,0.12560273947193,0,1,500,13.0966227,0,
Rhabdotorrhinus_exarhatus,test,0.106230117876045,0,1,500,24.3714078,0,
Ardenna_tenuirostris,test,0.110538006957789,0,1,500,23.368114,0,
Puffinus_opisthomelas,test,0.0921191633271635,0,1,500,21.436665,0,
Caranx_ignobilis,test,0.0269976917745492,0,1,500,29.0376376,0,
Mytilaster_minimus,test,0.0601204672725679,0,1,500,21.616579,0,
Carcharias_taurus,test,0.501476173034923,0,1,500,20.8850663,0,
Manis_javanica,test,0.213641231477304,0,1,500,9.1448904,0,
Ctenotus_pantherinus,test,0.570655492540984,1,1,415,14.2188066,0,
Auxis_thazard,test,0.112767335823059,0,1,500,26.0270035,0,
Eremophilus_mutisii,test,0.0938939452933824,0,1,500,25.3925786,0,
Mya_arenaria,test,0.87773808271231,1,1,265,12.0371636,0,
Squalius_cephalus,test,0.489159890428087,1,1,64,29.9693148,0,
Elliptio_arca,test,0.0811813285056048,0,1,500,28.4732267,0,
Circus_aeruginosus,test,0.186288198283494,1,1,385,73.5437854,0,
Turdus_iliacus,test,0.124701070608387,0,1,500,34.2126638,0,
Anas_sparsa,test,0.108412348030576,0,1,500,44.8939315,0,
Cecropis_semirufa,test,0.105872160035109,0,1,500,23.9217943,0,
Leucophaeus_atricilla,test,0.106114896887867,0,1,500,93.8971485,0,
Hippocampus_hippocampus,test,0.0557236069576318,0,1,500,17.1219254,0,
Alburnoides_eichwaldii_ZarrinGol,test,0.626122918624654,0,1,500,21.5903115,0,
Puffinus_lherminieri,test,0.0955041996662223,0,1,500,23.1882127,0,
Stegastes_planifrons,test,0.0619396990756835,0,1,500,21.8746497,0,
Engraulis_capensis,test,0.147361394136066,0,1,500,19.2575023,0,
Esox_niger,test,0.0991233611024186,0,1,500,14.3110603,0,
Pogonocichla_stellata,test,0.125189307682146,0,1,500,30.0014829,0,
Tolmomyias_sulphurescens,test,0.0497001290490051,0,1,500,32.1004769,0,
Etheostoma_trisella,test,0,0,0,0,4320,1,Maximum execution time exceeded
Cyanocorax_beecheii,test,0.104096118540897,0,1,500,28.7759666,0,
Thamnocephalus_platyurus,test,0.136947932576809,0,1,500,27.5233889,0,
Catharus_bicknelli,test,0.109323347102307,0,1,500,26.7675961,0,
Oncorhynchus_nerka,test,0,0,0,0,4320,1,Maximum execution time exceeded
Lacerta_schreiberi,test,0.161884514566061,0,1,500,21.6746751,0,
Calidris_himantopus,test,0.103510190287082,0,1,500,26.0391332,0,
Crystallogobius_linearis,test,0.111477136864422,1,1,21,5.4701421,0,
