Row,data_split,deb_loss,convergence,n_runs,n_iter,execution_time,error,error_message
Acipenser_sturio,test,0.238155188121068,0,1,500,36.363943,0,
Cochlearius_cochlearius,test,0.168117673143892,0,1,500,26.9373854,0,
Wallabia_bicolor,test,0.151366837468664,1,1,486,17.7612344,0,
Ammodytes_personatus,test,0.0821220442903434,0,1,500,18.8537403,0,
Typhlonarke_aysoni,test,0.115143682313372,1,1,403,16.1485978,0,
Ctenophorus_adelaidensis,test,0.414408247783953,0,1,500,17.7979538,0,
Spheniscus_demersus,test,0.101020688524702,0,1,500,26.8876591,0,
Acanthiza_chrysorrhoa,test,0.10271493833333,0,1,500,28.7189365,0,
Urogymnus_polylepis,test,0.112070139226004,0,1,500,18.2914394,0,
Branchinella_thailandensis,test,0.160704401300215,0,1,500,97.2495792,0,
Gyrinophilus_palleucus,test,0.367842143425737,1,1,341,6.7218694,0,
Myiobius_atricaudus,test,0.0403420622142978,0,1,500,28.2434251,0,
Sardinella_gibbosa,test,0.114799403628919,0,1,500,20.0757617,0,
Hemitriakis_japanica,test,0.0751209617516876,0,1,500,21.2859197,0,
Fulmarus_glacialis,test,0.169179037468146,0,1,500,39.1285056,0,
Cinclus_leucocephalus,test,0.112939441735195,0,1,500,25.41961,0,
Tersina_viridis,test,0.11343915010451,0,1,500,23.3228479,0,
Crocodylus_siamensis,test,0.0471248757008722,0,1,500,16.8138834,0,
Phylloscopus_sibilatrix,test,0.101395619180507,0,1,500,27.2871378,0,
Melanitta_perspicillata,test,0.136199229219599,0,1,500,20.7224454,0,
Mohoua_novaeseelandiae,test,0.0998561010893254,0,1,500,20.6542016,0,
Pseudoseisura_lophotes,test,0.107581954554625,0,1,500,24.9099848,0,
Hypsibius_convergens,test,1.04417004146841,1,1,318,19.5074864,0,
Branchotenthes_octohamatus,test,1.0532534056708,0,1,500,20.9394558,0,
Himatione_sanguinea,test,0.113545701400339,0,1,500,24.0660522,0,
Acanthogobius_flavimanus,test,0.203528389151852,0,1,500,14.7550794,0,
Crocodylus_niloticus,test,0.0506240321182144,1,1,481,15.717085,0,
Argya_squamiceps,test,0.134303125996093,0,1,500,25.7435045,0,
Cancer_pagurus,test,0.287834121241585,0,1,500,215.1637188,0,
Aethia_pusilla,test,0.101327904794156,0,1,500,36.48375,0,
Desmognathus_brimleyorum,test,0.36451987817149,1,1,353,9.2539157,0,
Branta_canadensis,test,0.188288831902785,0,1,500,24.8081013,0,
Chondestes_grammacus,test,0.103002484212965,0,1,500,27.3856144,0,
Gallus_gallus_WL,test,0.228491672147168,0,1,500,17.4886807,0,
Glyptemys_muhlenbergii,test,0.138669610241283,0,1,500,17.6146467,0,
Archilochus_alexandri,test,0.0403939172442367,1,1,287,20.1925881,0,
Sakesphorus_canadensis,test,0.127308459674022,0,1,500,27.3268499,0,
Gasterosteus_aculeatus,test,0.142603316015111,0,1,500,22.9285416,0,
Calidris_melanotos,test,0.113729467907045,0,1,500,25.6879376,0,
Orectolobus_maculatus,test,0.00679520211392187,1,1,476,18.549965,0,
Megascops_kennicottii,test,0.114791057086578,0,1,500,25.1476788,0,
Buphagus_erythrorhynchus,test,0.114465191591835,0,1,500,23.8468542,0,
Platichthys_flesus,test,0.0958567548677245,0,1,500,32.8954391,0,
Astyanax_bimaculatus,test,0.0039269546693985,1,1,129,20.6173746,0,
Dendrobaena_octaedra,test,1.88078525696217,1,1,323,10.3422311,0,
Serinus_canaria,test,0.113523240430951,0,1,500,25.6241469,0,
Dermatemys_mawii,test,0.167925725599682,1,1,462,18.5869206,0,
Taeniopygia_guttata,test,0.140142212732696,0,1,500,28.9255872,0,
Stolephorus_carpentariae,test,0.21090130420926,0,1,500,16.0266251,0,
Lagopus_muta,test,0.148887100891755,1,1,423,30.1955578,0,
Acridotheres_cristatellus,test,0.120355246769829,0,1,500,26.4383285,0,
Emberiza_citrinella,test,0.124018158140382,1,1,236,20.4671652,0,
Boa_constrictor,test,0.614200548518832,0,1,500,17.4109841,0,
Cirrhinus_cirrhosus,test,0.00983611792218085,0,1,500,15.3927222,0,
Spinus_pinus,test,0.112986041437695,0,1,500,23.9442093,0,
Lagostrophus_fasciatus,test,0.060127745041384,0,1,500,9.9197456,0,
Melanitta_deglandi,test,0.139596205767838,0,1,500,20.3353068,0,
Seiurus_aurocapilla,test,0.109657786042101,0,1,500,27.5667986,0,
Girardinus_denticulatus,test,0.147499143785204,0,1,500,30.3684393,0,
Membras_martinica,test,0.0822754123390114,1,1,363,18.6679542,0,
Daphnia_cephalata,test,0.112116568836761,1,1,369,11.3629525,0,
Hippocampus_erectus,test,0.172115417211409,0,1,500,39.1739157,0,
Ramphastos_dicolorus,test,0.125465436991999,0,1,500,25.8222848,0,
Gallinula_melanops,test,0.157011173922492,0,1,500,57.6796975,0,
Pennahia_argentata,test,0.09032472574175,0,1,500,30.7854383,0,
Phacellodomus_ruber,test,0.121515954388045,0,1,500,27.1047008,0,
Daphnia_obtusa,test,0.103830589216007,1,1,308,8.3619603,0,
Macrobiotus_hufelandii,test,0.167916308948916,0,1,500,27.4865971,0,
Hippoglossoides_platessoides,test,0.0319244097507214,0,1,500,48.9891015,0,
Stegastes_flavilatus,test,0.0634166533793483,0,1,500,28.7699083,0,
Liopholis_inornata,test,0.250312125593491,1,1,398,15.0601789,0,
Mormyrus_longirostris,test,0.0145592901180201,0,1,500,15.0130177,0,
Turdus_olivaceus,test,0.107903037594599,0,1,500,33.3974574,0,
Setophaga_petechia,test,0.105063507328813,0,1,500,26.7455571,0,
Thunnus_albacares,test,0.0941122694363948,0,1,500,18.8773719,0,
Nycticorax_nycticorax,test,0.15976637427507,0,1,500,25.0314182,0,
Macquaria_ambigua,test,0.0689146776567536,0,1,500,19.4519524,0,
Trematomus_eulepidotus,test,0.0929107224303019,0,1,500,23.8120121,0,
Salamandrina_perspicillata,test,0.377548809957367,1,1,412,12.8371845,0,
