Row,data_split,deb_loss,convergence,n_restarts,n_iter,execution_time,error,error_message
Rogadius_asper,test,0,0,0,0,900,0,Maximum execution time exceeded
Glyptemys_insculpta,test,0.10240581390342,0,5,2500,106.6092531,0,
Chaetura_vauxi,test,0.107052983717832,0,5,2500,147.6118576,0,
Tyrannus_melancholicus,test,0.132037837535032,0,5,2500,168.4348109,0,
Diomedea_exulans,test,0.101553675478125,0,5,2500,205.8813674,0,
Syngnathus_abaster,test,0,0,0,0,900,0,Maximum execution time exceeded
Buteo_platypterus,test,0.151602284123226,0,5,2500,170.4212318,0,
Centronyx_henslowii,test,0.1307010408515,0,5,2500,140.8360947,0,
Plegadis_falcinellus,test,0.128527263739658,0,5,2500,131.8551526,0,
Parma_microlepis,test,0.0961785860386985,0,5,2500,396.7836478,0,
Microstomus_kitt,test,0.0758634599131576,0,5,2500,211.9621514,0,
Balaena_mysticetus,test,0,0,0,0,21.0936409,0,Matrix dimensions must agree.
Euphagus_cyanocephalus,test,0.105453983931826,0,5,2500,150.5327752,0,
Seiurus_aurocapilla,test,0.120912561711988,0,5,2500,140.2636106,0,
Lutjanus_synagris,test,0.127436902606539,0,5,2500,307.5681769,0,
Aythya_fuligula,test,0.10699978660871,0,5,2500,226.8166774,0,
Labeo_coubie,test,0.0812328576614405,0,5,2500,177.1149044,0,
Enteromius_liberiensis,test,0,0,0,0,900,0,Maximum execution time exceeded
Quintana_atrizona,test,0.230363206490795,1,5,2409,212.192532,0,
Acanthisitta_chloris,test,0.0934839584117344,0,5,2500,211.3053522,0,
Enicognathus_ferrugineus,test,0.207151801885635,0,5,2500,166.7674762,0,
Stercorarius_antarcticus,test,0.129387036421375,0,5,2500,155.797674,0,
Coenocorypha_pusilla,test,0.186475905406866,0,5,2500,146.8291529,0,
Trichoglossus_euteles,test,0.137507835725695,0,5,2500,147.8194905,0,
Cryodraco_antarcticus,test,0.24782887224196,0,5,2500,261.431263,0,
Calidris_fuscicollis,test,0.188138054030209,0,5,2500,157.7011579,0,
Pteroglossus_viridis,test,0.12815827890111,0,5,2500,151.8266357,0,
Thunnus_albacares,test,0.104002117779431,0,5,2500,185.1534727,0,
Chasmistes_liorus,test,0.195712469031395,0,5,2500,225.436431,0,
Cacatua_moluccensis,test,0.105597221453837,0,5,2500,127.9014724,0,
Anaxyrus_americanus,test,0.18664441586752,0,5,2500,83.2825555,0,
Certhia_familiaris,test,0.125545869124916,0,5,2500,138.4113969,0,
Pelecanus_erythrorhynchos,test,0.191823650437937,0,5,2500,226.3045645,0,
Mareca_strepera,test,0.208823779813734,0,5,2500,237.2591697,0,
Zosterisessor_ophiocephalus,test,0.00910258535880204,0,5,2500,68.5296851,0,
Pseudunio_auricularius,test,0,0,0,0,900,0,Maximum execution time exceeded
Ciconia_ciconia,test,0.113118049561963,0,5,2500,136.0641649,0,
Saucerottia_tobaci,test,0.100060396667218,0,5,2500,178.4564472,0,
Rana_iberica,test,0.138582942993011,0,5,2500,86.2418335,0,
Heteropneustes_fossilis,test,0,0,0,0,900,0,Maximum execution time exceeded
Turdus_merula,test,0.213903131342159,0,5,2500,187.2157315,0,
Turdus_torquatus,test,0.118550819675217,0,5,2500,115.6979922,0,
Pristis_pectinata,test,0.0690686596257102,1,4,1915,62.32923,0,
Trichiurus_lepturus,test,0.0868377432474165,0,5,2500,120.0035628,0,
Pellonula_leonensis,test,0.0116708567825235,0,5,2500,145.9222426,0,
Apteryx_mantelli,test,0.0881952977013313,0,5,2500,97.4170182,0,
Anthus_pratensis,test,0.109465713007509,0,5,2500,170.2727059,0,
Aethotaxis_mitopteryx,test,0,0,0,0,900,0,Maximum execution time exceeded
Sula_dactylatra,test,0.104301108597966,0,5,2500,165.195125,0,
Chlorospingus_flavigularis,test,0.295338057198986,0,5,2500,116.3650182,0,
Bombina_bombina,test,0.168262194785084,0,5,2500,71.522986,0,
Phasianus_colchicus,test,0.153954192945133,0,5,2500,90.4636278,0,
Milvus_milvus,test,0.118786434189223,0,5,2500,150.0685679,0,
Hydromys_chrysogaster,test,0,0,0,0,900,0,Maximum execution time exceeded
Pelobates_cultripes,test,0.0578043412002299,0,5,2500,90.3945128,0,
Mormyrus_kannume,test,0.673266564201912,1,5,2457,235.0334534,0,
Hyperolius_viridiflavus,test,0.145795310441786,0,5,2500,75.3270502,0,
Calamospiza_melanocorys,test,0.119994560505328,0,5,2500,116.8740122,0,
Nandinia_binotata,test,1.10925667339199,0,5,2500,65.0262959,0,
Diplectrum_formosum,test,0.110988668396751,1,4,1946,180.652739,0,
Zapteryx_exasperata,test,0,0,0,0,47.2025692,0,The logical indices contain a true value outside of the array bounds.
Acanthoclinus_littoreus,test,0.00988050036577228,0,5,2500,294.0803609,0,
Sillago_sihama,test,0.0226476695645866,0,5,2500,199.0899836,0,
Elusor_macrurus,test,0.0510187082880121,0,5,2500,75.869111,0,
Anolis_sagrei,test,0.519413621975662,1,5,2426,73.4183574,0,
Coreobagrus_ichikawai,test,0,0,0,0,900,0,Maximum execution time exceeded
Calidris_maritima,test,0.175185261768042,0,5,2500,99.3110904,0,
Daption_capense,test,0.219439861780874,0,5,2500,136.0590135,0,
Tachycineta_leucorrhoa,test,0.106633887371569,0,5,2500,101.9556103,0,
Chelus_fimbriata,test,0.313617114182291,1,5,2438,62.8898695,0,
Verasper_variegatus,test,0.121157310440896,0,5,2500,254.606681,0,
Anchoa_panamensis,test,0.0701347028118651,0,5,2500,171.6771022,0,
Coluber_constrictor,test,0.117979438833256,0,5,2500,101.5016388,0,
Pomacentrus_coelestis,test,0.434122233773243,0,5,2500,267.0090391,0,
Thripadectes_holostictus,test,0.118102025101215,0,5,2500,116.5586471,0,
Sauromalus_ater,test,NaN,0,5,1670,629.2438639,0,
Haliaeetus_pelagicus,test,0.146635102157572,0,5,2500,241.6521639,0,
Hippocampus_erectus,test,0,0,0,0,900,0,Maximum execution time exceeded
Pachyptila_belcheri,test,0.143576090327073,0,5,2500,125.2052971,0,
Picumnus_nebulosus,test,0.820030590608008,0,5,2500,131.402452,0,
Pagetopsis_maculatus,test,0,0,0,0,900,0,Maximum execution time exceeded
Orectolobus_ornatus,test,0.00881645858445766,0,5,2500,86.3333453,0,
Daphnia_projecta,test,0.130412652314621,0,5,2500,154.5427035,0,
Gymnarchus_niloticus,test,0.198566159369817,0,5,2500,167.5949083,0,
Piranga_rubra,test,0.127082155204103,0,5,2500,125.6507893,0,
Caranx_hippos,test,0,0,0,0,900,0,Maximum execution time exceeded
Prionotus_punctatus,test,0.0897968187557535,0,5,2500,447.7761829,0,
Sander_vitreus,test,0,0,0,0,900,0,Maximum execution time exceeded
Etheostoma_zonistium,test,0.12577958700528,0,5,2500,139.9802951,0,
Stolephorus_waitei,test,0,0,0,0,900,0,Maximum execution time exceeded
Pterodroma_incerta,test,0.122722285834461,0,5,2500,141.084503,0,
Pecten_maximus,test,0,0,0,0,900,0,Maximum execution time exceeded
Pimephales_promelas,test,15.4364893959499,0,5,2500,256.1951478,0,
Aerodramus_fuciphagus,test,0.097371472283347,0,5,2500,110.6589482,0,
Phataginus_tricuspis,test,0.169581085114659,0,5,2500,81.88859,0,
Corvus_brachyrhynchos,test,0.102566900271999,0,5,2500,196.2421163,0,
Leuconotopicus_borealis,test,0.140610080845118,0,5,2500,187.730416,0,
Pteroglossus_bailloni,test,0.128033085835224,0,5,2500,140.5710941,0,
Branta_hutchinsii,test,0.187456577286222,0,5,2500,124.3211834,0,
Pteroglossus_castanotis,test,0.1185433860282,0,5,2500,162.5162992,0,
Vanellus_vanellus,test,0.134614347475452,0,5,2500,128.5339071,0,
Octopus_joubini,test,20.83620434723,0,5,2500,793.3423479,0,
Campylorhynchus_brunneicapillus,test,0.110759573824407,0,5,2500,126.7441278,0,
Merops_apiaster,test,0.117647608189066,0,5,2500,140.0279492,0,
Rhodeus_amarus,test,0.0969965773084524,0,5,2500,112.2437426,0,
Elliptio_complanata,test,0,0,0,0,900,0,Maximum execution time exceeded
Diplodus_annularis,test,0.0578168572203552,0,5,2500,170.3495566,0,
Alburnus_baliki,test,0,0,0,0,900,0,Maximum execution time exceeded
Caenorhabditis_elegans,test,0,0,0,0,900,0,Maximum execution time exceeded
Coilia_ramcarati,test,0.0227936656334867,0,5,2500,236.4410219,0,
Mergus_serrator,test,0.144497995916017,0,5,2500,150.4215429,0,
Paranotothenia_magellanica,test,0.0585346363036084,0,5,2500,278.9166965,0,
Lybius_torquatus,test,0.119771591664144,0,5,2500,126.8617427,0,
Accipiter_cooperii,test,0.131456255404893,0,5,2500,221.2289788,0,
